county,precinct,office,district,party,candidate,votes
Carson City,101,President,,Constitution,Virgil Goode,5
Carson City,101,President,,,None Of These Candidates,14
Carson City,101,President,,Libertarian,Gary Johnson,15
Carson City,101,U.S. House,2,INDEPENDENT,Michael L. Haines,27
Carson City,101,U.S. House,2,INDEPENDENT AMERICAN,Russell Best,29
Carson City,101,U.S. Senate,,,David L. Vanderbeek,44
Carson City,101,U.S. Senate,,,None Of These Candidates,46
Carson City,101,"Supreme Court Justice, Seat F",,,None Of These Candidates,130
Carson City,101,"Supreme Court Justice, Seat C",,,None Of These Candidates,134
Carson City,101,"Supreme Court Justice, Seat G",,,None Of These Candidates,137
Carson City,101,School Trustee,2,,Donnie Moellendorf,208
Carson City,101,"Justice of the Peace, Dept. 1",,,Michael F. Bell,215
Carson City,101,University Board of Regents,9,,Michon Mackedon,247
Carson City,101,Cc 1,,,Yes,255
Carson City,101,Supervisor Ward 2,,,Dennis E. Johnson,283
Carson City,101,U.S. Senate,,Democratic,Shelley Berkley,286
Carson City,101,U.S. House,2,,Samuel Koepnick,288
Carson City,101,State Board of Education,2,,Donna Clontz,289
Carson City,101,School Trustee,7,,J. A. Mueller,292
Carson City,101,Supervisor Ward 4,,,Jim Shirk,295
Carson City,101,School Trustee,7,,Joe Cacioppo,316
Carson City,101,State Question No. 1,,,Yes,325
Carson City,101,President,,Republican,Mitt Romney,326
Carson City,101,Supervisor Ward 4,,,Molly Walt,343
Carson City,101,State Board of Education,2,,Dave Cook,344
Carson City,101,Supervisor Ward 2,,,Brad Bonkowski,349
Carson City,101,State Assembly,40,,Rich Dunn,355
Carson City,101,State Assembly,40,,Pete Livermore,358
Carson City,101,U.S. Senate,,Republican,Dean Heller,365
Carson City,101,U.S. House,2,Republican,Mark E. Amodei,375
Carson City,101,School Trustee,2,,Laurel Crossman,381
Carson City,101,State Question No. 1,,,No,388
Carson City,101,President,,DEMOCRAT,Barack Obama,389
Carson City,101,University Board of Regents,9,Republican,Ron Knecht,396
Carson City,101,"Justice of the Peace, Dept. 1",,,Tom Armstrong,412
Carson City,101,Cc 1,,,No,475
Carson City,101,"Supreme Court Justice, Seat G",,,Nancy M. Saitta,508
Carson City,101,"Supreme Court Justice, Seat C",,,Michael A. Cherry,524
Carson City,101,"Supreme Court Justice, Seat F",,,Michael L. Douglas,529
Carson City,103,President,,Constitution,Virgil Goode,5
Carson City,103,President,,,None Of These Candidates,5
Carson City,103,President,,Libertarian,Gary Johnson,6
Carson City,103,U.S. House,2,INDEPENDENT AMERICAN,Russell Best,13
Carson City,103,U.S. House,2,INDEPENDENT,Michael L. Haines,15
Carson City,103,U.S. Senate,,,David L. Vanderbeek,23
Carson City,103,U.S. Senate,,,None Of These Candidates,36
Carson City,103,"Supreme Court Justice, Seat F",,,None Of These Candidates,160
Carson City,103,"Supreme Court Justice, Seat C",,,None Of These Candidates,165
Carson City,103,"Supreme Court Justice, Seat G",,,None Of These Candidates,169
Carson City,103,"Justice of the Peace, Dept. 1",,,Michael F. Bell,188
Carson City,103,School Trustee,2,,Donnie Moellendorf,255
Carson City,103,School Trustee,7,,J. A. Mueller,265
Carson City,103,U.S. House,2,,Samuel Koepnick,285
Carson City,103,U.S. Senate,,Democratic,Shelley Berkley,311
Carson City,103,Supervisor Ward 2,,,Dennis E. Johnson,338
Carson City,103,State Question No. 1,,,Yes,358
Carson City,103,Cc 1,,,Yes,362
Carson City,103,State Board of Education,2,,Donna Clontz,374
Carson City,103,State Assembly,40,,Rich Dunn,382
Carson City,103,President,,DEMOCRAT,Barack Obama,402
Carson City,103,University Board of Regents,9,Republican,Ron Knecht,415
Carson City,103,Supervisor Ward 4,,,Jim Shirk,418
