year,state,county,precinct,office,district,party,candidate,votes
2016,NV,Carson City,Precinct 101,COUNTY QUESTION CC1,,,No,520
2016,NV,Carson City,Precinct 101,COUNTY QUESTION CC1,,,Yes,317
2016,NV,Carson City,Precinct 101,"Court Of Appeals Judge, Dept. 1",,,None Of These Candidates,193
2016,NV,Carson City,Precinct 101,"Court Of Appeals Judge, Dept. 1",,UNK,"TAO, JERRY",553
2016,NV,Carson City,Precinct 101,"Court Of Appeals Judge, Dept. 2",,UNK,"GIBBONS, MICHAEL",586
2016,NV,Carson City,Precinct 101,"Court Of Appeals Judge, Dept. 2",,,None Of These Candidates,183
2016,NV,Carson City,Precinct 101,"Court Of Appeals Judge, Dept. 3",,,None Of These Candidates,190
2016,NV,Carson City,Precinct 101,"Court Of Appeals Judge, Dept. 3",,UNK,"SILVER, ABBI",562
2016,NV,Carson City,Precinct 101,Mayor of Carson City,,UNK,"CARVER, CHRIS",338
2016,NV,Carson City,Precinct 101,Mayor of Carson City,,UNK,"CROWELL, ROBERT ""BOB""",418
2016,NV,Carson City,Precinct 101,President and Vice President of the United States,,UNK,"CASTLE, DARRELL",5
2016,NV,Carson City,Precinct 101,President and Vice President of the United States,,UNK,"CLINTON, HILLARY",354
2016,NV,Carson City,Precinct 101,President and Vice President of the United States,,UNK,"DE LA FUENTE, ROQUE ""ROCKY""",3
2016,NV,Carson City,Precinct 101,President and Vice President of the United States,,UNK,"JOHNSON, GARY",39
2016,NV,Carson City,Precinct 101,President and Vice President of the United States,,,None Of These Candidates,39
2016,NV,Carson City,Precinct 101,President and Vice President of the United States,,REP,"TRUMP, DONALD J.",419
2016,NV,Carson City,Precinct 101,School Trustee Dist. 5,,UNK,"REYNOLDS, STEVEN",278
2016,NV,Carson City,Precinct 101,School Trustee Dist. 5,,UNK,"WALKER, MICHAEL B.",394
2016,NV,Carson City,Precinct 101,School Trustee Dist. 6,,UNK,"HART, SUSAN",650
2016,NV,Carson City,Precinct 101,"State Assembly, District 40",40,UNK,"GREEDY, MICHAEL L.",305
2016,NV,Carson City,Precinct 101,"State Assembly, District 40",40,UNK,"KRAMER, AL",435
2016,NV,Carson City,Precinct 101,"State Assembly, District 40",40,UNK,"WAGNER, JOHN",75
2016,NV,Carson City,Precinct 101,"State Board of Education, Dist. 2",,UNK,"CARTER, DAVID W.",345
2016,NV,Carson City,Precinct 101,"State Board of Education, Dist. 2",,UNK,"HICKEY, PAT",354
2016,NV,Carson City,Precinct 101,STATE QUESTION NO.1,,,No,523
2016,NV,Carson City,Precinct 101,STATE QUESTION NO.1,,,Yes,321
2016,NV,Carson City,Precinct 101,STATE QUESTION NO.2,,,No,391
2016,NV,Carson City,Precinct 101,STATE QUESTION NO.2,,,Yes,454
2016,NV,Carson City,Precinct 101,STATE QUESTION NO.3,,,No,292
2016,NV,Carson City,Precinct 101,STATE QUESTION NO.3,,,Yes,527
2016,NV,Carson City,Precinct 101,STATE QUESTION NO.4,,,No,265
2016,NV,Carson City,Precinct 101,STATE QUESTION NO.4,,,Yes,559
2016,NV,Carson City,Precinct 101,"Supervisor, Ward 2",,UNK,"BONKOWSKI, BRAD",430
2016,NV,Carson City,Precinct 101,"Supervisor, Ward 2",,UNK,"WHITE, MAURICE",304
2016,NV,Carson City,Precinct 101,"Supervisor, Ward 4",,UNK,"BARRETTE, JOHN",383
2016,NV,Carson City,Precinct 101,"Supervisor, Ward 4",,UNK,"SHIRK, JIM",346
2016,NV,Carson City,Precinct 101,"Supreme Court Justice, Seat A",,UNK,"HARDESTY, JIM",582
2016,NV,Carson City,Precinct 101,"Supreme Court Justice, Seat A",,,None Of These Candidates,174
2016,NV,Carson City,Precinct 101,"Supreme Court Justice, Seat E",,,None Of These Candidates,189
2016,NV,Carson City,Precinct 101,"Supreme Court Justice, Seat E",,UNK,"PARRAGUIRRE, RON D.",571
2016,NV,Carson City,Precinct 101,"U.S. Representative in Congress, Dist. 2",,REP,"Amodei, Mark E.",450
2016,NV,Carson City,Precinct 101,"U.S. Representative in Congress, Dist. 2",,UNK,"EVANS, H.D. ""CHIP""",327
2016,NV,Carson City,Precinct 101,"U.S. Representative in Congress, Dist. 2",,UNK,"Everhart, John H.",26
2016,NV,Carson City,Precinct 101,"U.S. Representative in Congress, Dist. 2",,UNK,"KNIGHT, DREW",22
2016,NV,Carson City,Precinct 101,United States Senator,,DEM,"CORTEZ MASTO, CATHERINE",342
2016,NV,Carson City,Precinct 101,United States Senator,,UNK,"GUMINA, TONY",6
2016,NV,Carson City,Precinct 101,United States Senator,,UNK,"HECK, JOE",410
2016,NV,Carson City,Precinct 101,United States Senator,,UNK,"JONES, TOM",17
2016,NV,Carson City,Precinct 101,United States Senator,,,None Of These Candidates,40
2016,NV,Carson City,Precinct 101,United States Senator,,UNK,"SAWYER, THOMAS ""TOM""",28
2016,NV,Carson City,Precinct 101,United States Senator,,UNK,"WILLIAMS, JARROD M.",6
2016,NV,Carson City,Precinct 101,"University Board of Regents, Dist.  9",,UNK,"DEL CARLO, CAROL",351
2016,NV,Carson City,Precinct 101,"University Board of Regents, Dist.  9",,UNK,"LAFRANCE, SARA",380
2016,NV,Carson City,Precinct 103,COUNTY QUESTION CC1,,,No,528
2016,NV,Carson City,Precinct 103,COUNTY QUESTION CC1,,,Yes,401
2016,NV,Carson City,Precinct 103,"Court Of Appeals Judge, Dept. 1",,,None Of These Candidates,162
2016,NV,Carson City,Precinct 103,"Court Of Appeals Judge, Dept. 1",,UNK,"TAO, JERRY",659
2016,NV,Carson City,Precinct 103,"Court Of Appeals Judge, Dept. 2",,UNK,"GIBBONS, MICHAEL",681
2016,NV,Carson City,Precinct 103,"Court Of Appeals Judge, Dept. 2",,,None Of These Candidates,147
2016,NV,Carson City,Precinct 103,"Court Of Appeals Judge, Dept. 3",,,None Of These Candidates,159
2016,NV,Carson City,Precinct 103,"Court Of Appeals Judge, Dept. 3",,UNK,"SILVER, ABBI",647
2016,NV,Carson City,Precinct 103,Mayor of Carson City,,UNK,"CARVER, CHRIS",384
2016,NV,Carson City,Precinct 103,Mayor of Carson City,,UNK,"CROWELL, ROBERT ""BOB""",516
2016,NV,Carson City,Precinct 103,President and Vice President of the United States,,UNK,"CASTLE, DARRELL",6
2016,NV,Carson City,Precinct 103,President and Vice President of the United States,,UNK,"CLINTON, HILLARY",392
2016,NV,Carson City,Precinct 103,President and Vice President of the United States,,UNK,"DE LA FUENTE, ROQUE ""ROCKY""",1
2016,NV,Carson City,Precinct 103,President and Vice President of the United States,,UNK,"JOHNSON, GARY",25
2016,NV,Carson City,Precinct 103,President and Vice President of the United States,,,None Of These Candidates,37
2016,NV,Carson City,Precinct 103,President and Vice President of the United States,,REP,"TRUMP, DONALD J.",476
2016,NV,Carson City,Precinct 103,School Trustee Dist. 5,,UNK,"REYNOLDS, STEVEN",364
2016,NV,Carson City,Precinct 103,School Trustee Dist. 5,,UNK,"WALKER, MICHAEL B.",390
2016,NV,Carson City,Precinct 103,School Trustee Dist. 6,,UNK,"HART, SUSAN",696
2016,NV,Carson City,Precinct 103,"State Assembly, District 40",40,UNK,"GREEDY, MICHAEL L.",307
2016,NV,Carson City,Precinct 103,"State Assembly, District 40",40,UNK,"KRAMER, AL",554
2016,NV,Carson City,Precinct 103,"State Assembly, District 40",40,UNK,"WAGNER, JOHN",45
2016,NV,Carson City,Precinct 103,"State Board of Education, Dist. 2",,UNK,"CARTER, DAVID W.",365
2016,NV,Carson City,Precinct 103,"State Board of Education, Dist. 2",,UNK,"HICKEY, PAT",417
2016,NV,Carson City,Precinct 103,STATE QUESTION NO.1,,,No,578
2016,NV,Carson City,Precinct 103,STATE QUESTION NO.1,,,Yes,355
2016,NV,Carson City,Precinct 103,STATE QUESTION NO.2,,,No,531
2016,NV,Carson City,Precinct 103,STATE QUESTION NO.2,,,Yes,398
2016,NV,Carson City,Precinct 103,STATE QUESTION NO.3,,,No,452
2016,NV,Carson City,Precinct 103,STATE QUESTION NO.3,,,Yes,462
2016,NV,Carson City,Precinct 103,STATE QUESTION NO.4,,,No,361
2016,NV,Carson City,Precinct 103,STATE QUESTION NO.4,,,Yes,549
2016,NV,Carson City,Precinct 103,"Supervisor, Ward 2",,UNK,"BONKOWSKI, BRAD",489
2016,NV,Carson City,Precinct 103,"Supervisor, Ward 2",,UNK,"WHITE, MAURICE",364
2016,NV,Carson City,Precinct 103,"Supervisor, Ward 4",,UNK,"BARRETTE, JOHN",469
2016,NV,Carson City,Precinct 103,"Supervisor, Ward 4",,UNK,"SHIRK, JIM",389
2016,NV,Carson City,Precinct 103,"Supreme Court Justice, Seat A",,UNK,"HARDESTY, JIM",680
2016,NV,Carson City,Precinct 103,"Supreme Court Justice, Seat A",,,None Of These Candidates,157
2016,NV,Carson City,Precinct 103,"Supreme Court Justice, Seat E",,,None Of These Candidates,159
2016,NV,Carson City,Precinct 103,"Supreme Court Justice, Seat E",,UNK,"PARRAGUIRRE, RON D.",666
2016,NV,Carson City,Precinct 103,"U.S. Representative in Congress, Dist. 2",,REP,"Amodei, Mark E.",560
2016,NV,Carson City,Precinct 103,"U.S. Representative in Congress, Dist. 2",,UNK,"EVANS, H.D. ""CHIP""",343
2016,NV,Carson City,Precinct 103,"U.S. Representative in Congress, Dist. 2",,UNK,"Everhart, John H.",9
2016,NV,Carson City,Precinct 103,"U.S. Representative in Congress, Dist. 2",,UNK,"KNIGHT, DREW",13
2016,NV,Carson City,Precinct 103,United States Senator,,DEM,"CORTEZ MASTO, CATHERINE",389
2016,NV,Carson City,Precinct 103,United States Senator,,UNK,"GUMINA, TONY",7
2016,NV,Carson City,Precinct 103,United States Senator,,UNK,"HECK, JOE",503
2016,NV,Carson City,Precinct 103,United States Senator,,UNK,"JONES, TOM",11
2016,NV,Carson City,Precinct 103,United States Senator,,,None Of These Candidates,17
2016,NV,Carson City,Precinct 103,United States Senator,,UNK,"SAWYER, THOMAS ""TOM""",3
2016,NV,Carson City,Precinct 103,United States Senator,,UNK,"WILLIAMS, JARROD M.",1
2016,NV,Carson City,Precinct 103,"University Board of Regents, Dist.  9",,UNK,"DEL CARLO, CAROL",425
2016,NV,Carson City,Precinct 103,"University Board of Regents, Dist.  9",,UNK,"LAFRANCE, SARA",387
2016,NV,Carson City,Precinct 105,COUNTY QUESTION CC1,,,No,652
2016,NV,Carson City,Precinct 105,COUNTY QUESTION CC1,,,Yes,409
2016,NV,Carson City,Precinct 105,"Court Of Appeals Judge, Dept. 1",,,None Of These Candidates,198
2016,NV,Carson City,Precinct 105,"Court Of Appeals Judge, Dept. 1",,UNK,"TAO, JERRY",709
2016,NV,Carson City,Precinct 105,"Court Of Appeals Judge, Dept. 2",,UNK,"GIBBONS, MICHAEL",773
2016,NV,Carson City,Precinct 105,"Court Of Appeals Judge, Dept. 2",,,None Of These Candidates,150
2016,NV,Carson City,Precinct 105,"Court Of Appeals Judge, Dept. 3",,,None Of These Candidates,193
2016,NV,Carson City,Precinct 105,"Court Of Appeals Judge, Dept. 3",,UNK,"SILVER, ABBI",715
2016,NV,Carson City,Precinct 105,Mayor of Carson City,,UNK,"CARVER, CHRIS",441
2016,NV,Carson City,Precinct 105,Mayor of Carson City,,UNK,"CROWELL, ROBERT ""BOB""",567
2016,NV,Carson City,Precinct 105,President and Vice President of the United States,,UNK,"CASTLE, DARRELL",8
2016,NV,Carson City,Precinct 105,President and Vice President of the United States,,UNK,"CLINTON, HILLARY",375
2016,NV,Carson City,Precinct 105,President and Vice President of the United States,,UNK,"DE LA FUENTE, ROQUE ""ROCKY""",1
2016,NV,Carson City,Precinct 105,President and Vice President of the United States,,UNK,"JOHNSON, GARY",39
2016,NV,Carson City,Precinct 105,President and Vice President of the United States,,,None Of These Candidates,51
2016,NV,Carson City,Precinct 105,President and Vice President of the United States,,REP,"TRUMP, DONALD J.",608
2016,NV,Carson City,Precinct 105,School Trustee Dist. 5,,UNK,"REYNOLDS, STEVEN",372
2016,NV,Carson City,Precinct 105,School Trustee Dist. 5,,UNK,"WALKER, MICHAEL B.",452
2016,NV,Carson City,Precinct 105,School Trustee Dist. 6,,UNK,"HART, SUSAN",769
2016,NV,Carson City,Precinct 105,"State Assembly, District 40",40,UNK,"GREEDY, MICHAEL L.",295
2016,NV,Carson City,Precinct 105,"State Assembly, District 40",40,UNK,"KRAMER, AL",707
2016,NV,Carson City,Precinct 105,"State Assembly, District 40",40,UNK,"WAGNER, JOHN",47
2016,NV,Carson City,Precinct 105,"State Board of Education, Dist. 2",,UNK,"CARTER, DAVID W.",417
2016,NV,Carson City,Precinct 105,"State Board of Education, Dist. 2",,UNK,"HICKEY, PAT",450
2016,NV,Carson City,Precinct 105,STATE QUESTION NO.1,,,No,686
2016,NV,Carson City,Precinct 105,STATE QUESTION NO.1,,,Yes,387
2016,NV,Carson City,Precinct 105,STATE QUESTION NO.2,,,No,736
2016,NV,Carson City,Precinct 105,STATE QUESTION NO.2,,,Yes,335
2016,NV,Carson City,Precinct 105,STATE QUESTION NO.3,,,No,516
2016,NV,Carson City,Precinct 105,STATE QUESTION NO.3,,,Yes,537
2016,NV,Carson City,Precinct 105,STATE QUESTION NO.4,,,No,396
2016,NV,Carson City,Precinct 105,STATE QUESTION NO.4,,,Yes,655
2016,NV,Carson City,Precinct 105,"Supervisor, Ward 2",,UNK,"BONKOWSKI, BRAD",601
2016,NV,Carson City,Precinct 105,"Supervisor, Ward 2",,UNK,"WHITE, MAURICE",372
2016,NV,Carson City,Precinct 105,"Supervisor, Ward 4",,UNK,"BARRETTE, JOHN",516
2016,NV,Carson City,Precinct 105,"Supervisor, Ward 4",,UNK,"SHIRK, JIM",453
2016,NV,Carson City,Precinct 105,"Supreme Court Justice, Seat A",,UNK,"HARDESTY, JIM",768
2016,NV,Carson City,Precinct 105,"Supreme Court Justice, Seat A",,,None Of These Candidates,167
2016,NV,Carson City,Precinct 105,"Supreme Court Justice, Seat E",,,None Of These Candidates,185
2016,NV,Carson City,Precinct 105,"Supreme Court Justice, Seat E",,UNK,"PARRAGUIRRE, RON D.",741
2016,NV,Carson City,Precinct 105,"U.S. Representative in Congress, Dist. 2",,REP,"Amodei, Mark E.",718
2016,NV,Carson City,Precinct 105,"U.S. Representative in Congress, Dist. 2",,UNK,"EVANS, H.D. ""CHIP""",316
2016,NV,Carson City,Precinct 105,"U.S. Representative in Congress, Dist. 2",,UNK,"Everhart, John H.",18
2016,NV,Carson City,Precinct 105,"U.S. Representative in Congress, Dist. 2",,UNK,"KNIGHT, DREW",14
2016,NV,Carson City,Precinct 105,United States Senator,,DEM,"CORTEZ MASTO, CATHERINE",374
