year,state,county,precinct,office,district,party,candidate,votes
2024,NV,Carson City,101,"U.S. Representative in Congress, District 2",2,REP,"Amodei, Mark E.",397
2024,NV,Carson City,101,"Justice and Municipal Court Judge, Department 1",,UNK,"Armstrong, Thomas ""Tom""",621
2024,NV,Carson City,101,Mayor,,UNK,"Bagwell, Lori",463
2024,NV,Carson City,101,United States Senator,,REP,"BROWN, SAM",375
2024,NV,Carson City,101,"Supreme Court Justice, Seat C",,UNK,"CADISH, ELISSA",520
2024,NV,Carson City,101,"U.S. Representative in Congress, District 2",2,UNK,"CHAPMAN, LYNN",67
2024,NV,Carson City,101,United States Senator,,UNK,"Cunningham, Chris",20
2024,NV,Carson City,101,"State Board of Education, District 2",2,UNK,"DAVIS, PAUL ""Doc""",366
2024,NV,Carson City,101,United States Senator,,UNK,"Hansen, JANINE",28
2024,NV,Carson City,101,President and Vice President of the United States,,UNK,"Harris, Kamala D. and Walz, Tim",404
2024,NV,Carson City,101,"School Board Trustee, District 7",7,UNK,"Henley, John W.",305
2024,NV,Carson City,101,"U.S. Representative in Congress, District 2",2,UNK,"KIDD, Greg",326
2024,NV,Carson City,101,"District Court Judge, First Judicial District, Department  2",Court,UNK,"Krueger, Mark",347
2024,NV,Carson City,101,"Supreme Court Justice, Seat F",,UNK,"Lee, Patty",518
2024,NV,Carson City,101,"District Court Judge, First Judicial District, Department  2",Court,UNK,"Luis, Kristin",405
2024,NV,Carson City,101,"Carson City Supervisor, Ward 4",,UNK,"Maloney, Lucia",288
2024,NV,Carson City,101,President and Vice President of the United States,,,None Of These Candidates,12
2024,NV,Carson City,101,United States Senator,,,None Of These Candidates,28
2024,NV,Carson City,101,"Supreme Court Justice, Seat C",,,None Of These Candidates,229
2024,NV,Carson City,101,"Supreme Court Justice, Seat F",,,None Of These Candidates,230
2024,NV,Carson City,101,"Supreme Court Justice, Seat G",,,None Of These Candidates,226
2024,NV,Carson City,101,"State Assembly, District 40",40,UNK,"O'Neill, Philip ""PK""",444
2024,NV,Carson City,101,President and Vice President of the United States,,UNK,"Oliver, Chase and ter Maat, Michael",3
2024,NV,Carson City,101,"State Board of Education, District 2",2,UNK,"ORR, ANGELA",355
2024,NV,Carson City,101,"School Board Trustee, District 7",7,UNK,"Pedersen, Michelle",399
2024,NV,Carson City,101,"State Assembly, District 40",40,UNK,"Ramsey, Katherine",367
2024,NV,Carson City,101,"School Board Trustee, District 2",2,UNK,"Roberts, Rebecca",634
2024,NV,Carson City,101,United States Senator,,UNK,"ROSEN, JACKY S.",388
2024,NV,Carson City,101,"School Board Trustee, District 5",5,UNK,"Saucedo, Ashliee",300
2024,NV,Carson City,101,"Carson City Supervisor, Ward 4",,UNK,"Schuette, Lisa",453
2024,NV,Carson City,101,Mayor,,UNK,"Shirk, Jim",312
2024,NV,Carson City,101,President and Vice President of the United States,,UNK,"Skousen, Joel and Combs, Rik",4
2024,NV,Carson City,101,"Supreme Court Justice, Seat G",,UNK,"STIGLICH, LIDIA",521
2024,NV,Carson City,101,"U.S. Representative in Congress, District 2",2,UNK,"Tachiquin, Javi ""Trujillo""",24
2024,NV,Carson City,101,President and Vice President of the United States,,UNK,"Trump, Donald J. and Vance, JD",423
2024,NV,Carson City,101,"School Board Trustee, District 5",5,UNK,"Walker, Jr., Michael B.",395
2024,NV,Carson City,101,"Carson City Supervisor, Ward 2",,UNK,"White, Maurice ""Mo""",643
2024,NV,Carson City,103,"U.S. Representative in Congress, District 2",2,REP,"Amodei, Mark E.",644
