year,state,county,precinct,office,district,party,candidate,votes
2022,NV,Carson City,101,Attorney General,,REP,"Chattah, Sigal",263
2022,NV,Carson City,101,Attorney General,,DEM,"Ford, Aaron D.",348
2022,NV,Carson City,101,Attorney General,,,None Of These Candidates,29
2022,NV,Carson City,101,"Board of Supervisors, Ward 1",,UNK,"Bradshaw, Wade",257
2022,NV,Carson City,101,"Board of Supervisors, Ward 1",,UNK,"Giomi, Stacey",349
2022,NV,Carson City,101,"Board of Supervisors, Ward 3",,UNK,"Horton, Curtis",342
2022,NV,Carson City,101,"Board of Supervisors, Ward 3",,UNK,"Wells, James R.",250
2022,NV,Carson City,101,Clerk-Recorder,,UNK,"Hoen, William ""Scott""",273
2022,NV,Carson City,101,Clerk-Recorder,,UNK,"Wilke-McCulloch, Stacie",329
2022,NV,Carson City,101,"Court of Appeals Judge, Department 1",,UNK,"Forsberg, Rhonda K.",156
2022,NV,Carson City,101,"Court of Appeals Judge, Department 1",,,None Of These Candidates,153
2022,NV,Carson City,101,"Court of Appeals Judge, Department 1",,UNK,"Westbrook, Deborah",306
2022,NV,Carson City,101,"Court of Appeals Judge, Department 2",,UNK,"Gibbons, Michael",452
2022,NV,Carson City,101,"Court of Appeals Judge, Department 2",,,None Of These Candidates,145
2022,NV,Carson City,101,"Court of Appeals Judge, Department 3",,UNK,"Bulla, Bonnie",419
2022,NV,Carson City,101,"Court of Appeals Judge, Department 3",,,None Of These Candidates,167
2022,NV,Carson City,101,Governor,,UNK,"Bridges, Ed",14
2022,NV,Carson City,101,Governor,,UNK,"Davis, Brandon",7
2022,NV,Carson City,101,Governor,,REP,"Lombardo, Joe",315
2022,NV,Carson City,101,Governor,,,None Of These Candidates,12
2022,NV,Carson City,101,Governor,,DEM,"SISOLAK, Steve",318
2022,NV,Carson City,101,Lieutenant Governor,,UNK,"Anthony, Stavros",315
2022,NV,Carson City,101,Lieutenant Governor,,UNK,"Cano Burkhead, Elizabeth ""Lisa""",306
2022,NV,Carson City,101,Lieutenant Governor,,UNK,"Delap, John ""Trey""",3
2022,NV,Carson City,101,Lieutenant Governor,,UNK,"Hoge, William",15
2022,NV,Carson City,101,Lieutenant Governor,,,None Of These Candidates,18
2022,NV,Carson City,101,Lieutenant Governor,,UNK,"Tachiquin, Javi ""Trujillo""",8
2022,NV,Carson City,101,QUESTION NO. CC 1,,,No,248
2022,NV,Carson City,101,QUESTION NO. CC 1,,,Yes,410
2022,NV,Carson City,101,"School Trustee, District 1",1,UNK,"Ramirez, Maria ""Lupe""",334
2022,NV,Carson City,101,"School Trustee, District 1",1,UNK,"Stinson, Jason",273
2022,NV,Carson City,101,"School Trustee, District 6",6,UNK,"Cobb-Adams, Shanna",266
2022,NV,Carson City,101,"School Trustee, District 6",6,UNK,"Walt, Molly",315
2022,NV,Carson City,101,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",328
2022,NV,Carson City,101,Secretary of State,,UNK,"Crane, Ross",9
2022,NV,Carson City,101,Secretary of State,,UNK,"Hansen, Janine",18
2022,NV,Carson City,101,Secretary of State,,REP,"Marchant, Jim",292
2022,NV,Carson City,101,Secretary of State,,,None Of These Candidates,13
2022,NV,Carson City,101,"State Assembly, District 40",40,UNK,"McDaniel, Shannon C.",310
2022,NV,Carson City,101,"State Assembly, District 40",40,UNK,"O'Neill, Philip ""PK""",328
2022,NV,Carson City,101,"State Assembly, District 40",40,UNK,"Toll, Sam",16
2022,NV,Carson City,101,State Controller,,UNK,"Matthews, Andy",324
2022,NV,Carson City,101,State Controller,,,None Of These Candidates,18
2022,NV,Carson City,101,State Controller,,UNK,"Profeta, Jed W.",15
2022,NV,Carson City,101,State Controller,,UNK,"Spiegel, Ellen",304
2022,NV,Carson City,101,STATE QUESTION NO. 1 - EQUAL RIGHTS AMENDMENT,,,No,285
2022,NV,Carson City,101,STATE QUESTION NO. 1 - EQUAL RIGHTS AMENDMENT,,,Yes,367
2022,NV,Carson City,101,STATE QUESTION NO. 2 - MINIMUM WAGE AMENDMENT,,,No,313
2022,NV,Carson City,101,STATE QUESTION NO. 2 - MINIMUM WAGE AMENDMENT,,,Yes,338
2022,NV,Carson City,101,STATE QUESTION NO. 3 - TOP FIVE RANKED CHOICE VOTING INITIATIVE,,,No,302
2022,NV,Carson City,101,STATE QUESTION NO. 3 - TOP FIVE RANKED CHOICE VOTING INITIATIVE,,,Yes,354
2022,NV,Carson City,101,"State Senate, District 16",16,UNK,"Krasner, Lisa",340
2022,NV,Carson City,101,"State Senate, District 16",16,UNK,"Sims, Aaron",308
2022,NV,Carson City,101,State Treasurer,,DEM,"Conine, Zach",324
2022,NV,Carson City,101,State Treasurer,,UNK,"Elliott, Bryan",12
2022,NV,Carson City,101,State Treasurer,,REP,"Fiore, Michele",293
2022,NV,Carson City,101,State Treasurer,,UNK,"Hendrickson, Margaret",18
2022,NV,Carson City,101,State Treasurer,,,None Of These Candidates,16
2022,NV,Carson City,101,"Supreme Court Justice, Seat A",,UNK,"Bell, Linda",449
2022,NV,Carson City,101,"Supreme Court Justice, Seat A",,,None Of These Candidates,152
2022,NV,Carson City,101,"Supreme Court Justice, Seat E",,,None Of These Candidates,148
2022,NV,Carson City,101,"Supreme Court Justice, Seat E",,UNK,"Parraguirre, Ron D.",456
2022,NV,Carson City,101,"U.S. Representative in Congress, District 2",2,REP,"Amodei, Mark E.",354
2022,NV,Carson City,101,"U.S. Representative in Congress, District 2",2,UNK,"Baber, Darryl",5
2022,NV,Carson City,101,"U.S. Representative in Congress, District 2",2,UNK,"Best, Russell",14
2022,NV,Carson City,101,"U.S. Representative in Congress, District 2",2,UNK,"Krause, Elizabeth Mercedes",291
2022,NV,Carson City,101,United States Senator,,DEM,"Cortez Masto, Catherine",340
2022,NV,Carson City,101,United States Senator,,REP,"Laxalt, Adam Paul",300
2022,NV,Carson City,101,United States Senator,,UNK,"Lindemann, Barry",2
2022,NV,Carson City,101,United States Senator,,,None Of These Candidates,11
2022,NV,Carson City,101,United States Senator,,UNK,"RUBINSON, BARRY",11
2022,NV,Carson City,101,United States Senator,,UNK,"Scott, Neil",5
2022,NV,Carson City,103,Attorney General,,REP,"Chattah, Sigal",402
2022,NV,Carson City,103,Attorney General,,DEM,"Ford, Aaron D.",515
2022,NV,Carson City,103,Attorney General,,,None Of These Candidates,35
2022,NV,Carson City,103,"Board of Supervisors, Ward 1",,UNK,"Bradshaw, Wade",359
2022,NV,Carson City,103,"Board of Supervisors, Ward 1",,UNK,"Giomi, Stacey",562
2022,NV,Carson City,103,"Board of Supervisors, Ward 3",,UNK,"Horton, Curtis",563
2022,NV,Carson City,103,"Board of Supervisors, Ward 3",,UNK,"Wells, James R.",333
2022,NV,Carson City,103,Clerk-Recorder,,UNK,"Hoen, William ""Scott""",418
