year,county,precinct,votes
2004,Washoe,RENO 515,23895
2004,Washoe,SPARKS 638,23875
2004,Washoe,SPARKS 858,23863
2004,Clark,1472 - HEN,23860
2004,Clark,2133 - County,23705
2004,Clark,2300 - LAS,23571
2004,Clark,7317 - County,23535
2004,Clark,6432 - County,23525
2004,Clark,3443 - LAS,23510
2004,Clark,1455 - HEN,23480
2004,Clark,7380 - County,23480
2004,Clark,2432 - County,23435
2004,Clark,3508 - LAS,23424
2004,Clark,2454 - LAS,23395
2004,Washoe,RENO 443,23327
2004,Clark,3351 - LAS,23187
2004,Clark,7388 - County,23163
2004,Clark,1163 - HEN,23106
2004,Clark,2375 - NLV,23099
2004,Clark,1461 - HEN,22868
2004,Washoe,SPARKS 671,22850
2004,Clark,2351 - LAS,22825
2004,Washoe,RENO 103,22819
2004,Washoe,RENO 504,22776
2004,Washoe,RENO 731,22741
2004,Clark,3463 - LAS,22622
2004,Washoe,RENO 421,22515
2004,Washoe,RENO 521,22473
2004,Clark,2350 - LAS,22468
2004,Clark,6342 - LAS,22467
2004,Clark,6069 - County,22442
2004,Clark,3214 - LAS,22427
2004,Clark,6421 - County,22344
2004,Clark,2312 - LAS,22203
2004,Washoe,RENO 517,22055
2004,Clark,1142 - County,21963
2004,Clark,7424 - County,21894
2004,Washoe,RENO 539,21829
2004,Clark,7423 - County,21814
2004,Clark,1492 - HEN,21791
2004,Clark,1113 - HEN,21790
2004,Clark,7315 - County,21766
2004,Clark,1322 - County,21760
2004,Clark,7335 - County,21717
2004,Clark,1402 - HEN,21704
2004,Clark,3472 - LAS,21694
2004,Clark,4424 - County,21629
2004,Clark,7333 - County,21449
2004,Clark,6343 - LAS,21428
2004,Clark,1082 - HEN,21396
2004,Washoe,RENO 503,21392
2004,Clark,3229 - LAS,21369
2004,Clark,3042 - LAS,21349
2004,Clark,3320 - LAS,21337
2004,Clark,1321 - County,21294
2004,Washoe,RENO 535,21273
2004,Washoe,SPARKS 838,21248
2004,Clark,6083 - County,21228
2004,Clark,7386 - County,21224
2004,Clark,3352 - LAS,21031
2004,Clark,6380 - LAS,20960
2004,Washoe,RENO 507,20958
2004,Clark,1433 - HEN,20957
2004,Clark,7412 - HEN,20952
2004,Washoe,RENO 337,20863
2004,Washoe,RENO 724,20855
2004,Clark,7005 - HEN,20832
2004,Clark,2342 - LAS,20831
2004,Clark,3034 - LAS,20803
2004,Clark,1009 - BOC,20752
2004,Clark,3444 - County,20649
2004,Clark,6450 - County,20629
2004,Clark,2364 - NLV,20605
2004,Clark,3324 - County,20599
2004,Washoe,INCLINE VILLAGE 730,20532
2004,Clark,3350 - LAS,20510
2004,Clark,1008 - BOC,20505
2004,Clark,4347 - LAS,20497
2004,Washoe,RENO 224,20432
2004,Clark,1494 - HEN,20395
2004,Clark,2460 - LAS,20384
2004,Clark,2395 - NLV,20264
2004,Clark,1453 - HEN,20238
2004,Washoe,RENO 524,20200
2004,Clark,3225 - LAS,20194
2004,Clark,3485 - LAS,20194
2004,Clark,1512 - HEN,20177
2004,Washoe,RENO 237,20129
2004,Clark,2467 - MES,20086
2004,Clark,3495 - LAS,20082
2004,Clark,3483 - LAS,20065
2004,Clark,1404 - HEN,20063
2004,Clark,4330 - LAS,20063
2004,Washoe,RENO 236,20044
2004,Washoe,RENO 922,20010
2004,Clark,7345 - HEN,20002
2004,Washoe,RENO 510,19983
2004,Clark,6305 - LAS,19923
2004,Washoe,RENO 118,19910
2004,Clark,1470 - HEN,19891
2004,Washoe,RENO 853,19891
2004,Clark,5322 - County,19874
2004,Clark,1325 - County,19839
2004,Washoe,RENO 811,19733
2004,Clark,4462 - LAS,19721
2004,Washoe,RENO 228,19660
2004,Clark,5423 - County,19648
2004,Washoe,SPARKS 632,19646
2004,Clark,1421 - HEN,19594
2004,Clark,1323 - County,19590
2004,Clark,1465 - HEN,19538
2004,Clark,1127 - HEN,19534
2004,Clark,3501 - LAS,19482
2004,Clark,5432 - County,19468
2004,Clark,1007 - BOC,19404
2004,Clark,6433 - County,19396
2004,Washoe,RENO 336,19395
2004,Clark,2314 - LAS,19329
2004,Clark,2305 - LAS,19327
2004,Clark,3341 - LAS,19325
2004,Clark,6524 - County,19291
2004,Clark,3500 - LAS,19282
2004,Clark,4311 - NLV,19273
2004,Clark,3491 - LAS,19243
2004,Clark,2451 - LAS,19194
2004,Clark,2346 - LAS,19139
2004,Clark,1405 - HEN,19138
2004,Clark,1456 - HEN,19131
2004,Washoe,SPARKS 696,19128
2004,Clark,2325 - LAS,19091
2004,Clark,5320 - LAS,19087
2004,Washoe,RENO 455,19052
2004,Clark,6460 - County,19039
2004,Clark,5344 - County,18958
2004,Clark,2418 - County,18933
2004,Clark,5355 - County,18913
2004,Clark,1449 - County,18882
2004,Washoe,RENO 121,18877
2004,Clark,7365 - HEN,18868
2004,Clark,1435 - HEN,18853
2004,Clark,1392 - HEN,18810
2004,Clark,1452 - HEN,18799
2004,Washoe,SPARKS 650,18778
2004,Clark,7374 - County,18775
2004,Clark,6355 - LAS,18672
2004,Clark,5415 - County,18660
2004,Clark,3038 - LAS,18657
2004,Clark,3332 - County,18645
2004,Clark,6451 - County,18629
2004,Clark,7326 - County,18555
2004,Clark,6375 - LAS,18536
2004,Clark,3362 - LAS,18522
2004,Clark,7404 - HEN,18492
2004,Washoe,INCLINE VILLAGE 795,18486
2004,Washoe,SPARKS 726,18443
2004,Clark,6444 - County,18436
2004,Washoe,SPARKS 673,18424
2004,Washoe,INCLINE VILLAGE 729,18407
2004,Clark,6455 - County,18362
2004,Clark,3423 - LAS,18327
2004,Washoe,SPARKS 854,18295
2004,Clark,6354 - LAS,18261
2004,Washoe,INCLINE VILLAGE 722,18236
2004,Washoe,RENO 428,18225
2004,Clark,3470 - LAS,18207
2004,Washoe,RENO 525,18151
2004,Clark,7375 - County,18088
2004,Clark,6464 - County,18082
2004,Clark,3334 - County,18020
2004,Clark,3127 - LAS,18019
2004,Clark,1108 - HEN,17944
2004,Clark,6332 - LAS,17944
2004,Clark,3323 - LAS,17906
2004,Clark,5031 - County,17841
2004,Clark,6396 - LAS,17824
2004,Clark,2310 - LAS,17799
2004,Washoe,SPARKS 625,17794
2004,Washoe,RENO 245,17793
2004,Clark,6363 - LAS,17780
2004,Clark,5353 - County,17779
2004,Clark,6420 - County,17707
2004,Washoe,SPARKS 695,17687
2004,Clark,3313 - County,17685
2004,Clark,6073 - County,17644
2004,Washoe,RENO 511,17615
2004,Clark,1005 - BOC,17606
2004,Clark,1424 - HEN,17597
2004,Washoe,RENO 794,17594
2004,Washoe,SPARKS 687,17523
2004,Clark,4466 - LAS,17516
2004,Washoe,RENO 533,17509
2004,Clark,3490 - LAS,17508
2004,Clark,5365 - County,17503
2004,Clark,7300 - County,17501
2004,Clark,5411 - County,17399
2004,Clark,1516 - MES,17379
2004,Clark,6013 - LAS,17324
2004,Washoe,RENO 723,17260
2004,Washoe,RENO 316,17245
2004,Washoe,RENO 702,17188
2004,Clark,3129 - LAS,17176
2004,Clark,3412 - LAS,17164
2004,Clark,4376 - LAS,17131
2004,Washoe,RENO 123,17128
2004,Clark,3461 - County,17117
2004,Clark,3090 - LAS,17059
2004,Clark,1420 - HEN,17048
2004,Clark,3321 - LAS,17041
2004,Clark,1116 - HEN,17038
2004,Washoe,VERDI 813,17035
2004,Washoe,RENO 312,17006
2004,Clark,2306 - LAS,16974
2004,Washoe,VERDI 848,16971
2004,Clark,5351 - LAS,16940
2004,Washoe,INCLINE VILLAGE 727,16939
2004,Clark,6079 - County,16922
2004,Clark,7086 - County,16917
2004,Clark,2455 - LAS,16900
2004,Washoe,RENO 324,16882
2004,Clark,5374 - County,16881
2004,Clark,6352 - LAS,16834
2004,Clark,4430 - County,16820
2004,Washoe,RENO 902,16810
2004,Clark,2422 - County,16793
2004,Clark,3344 - LAS,16753
2004,Clark,1481 - HEN,16732
2004,Clark,7052 - County,16707
2004,Clark,4301 - NLV,16678
2004,Clark,2362 - NLV,16653
2004,Clark,3420 - LAS,16641
2004,Clark,5035 - County,16641
2004,Clark,1124 - HEN,16604
2004,Clark,6454 - County,16574
2004,Clark,2461 - LAS,16573
2004,Clark,6323 - LAS,16565
2004,Washoe,RENO 113,16557
2004,Washoe,RENO 315,16525
2004,Clark,6452 - County,16496
2004,Washoe,SPARKS 728,16490
2004,Clark,1531 - MVA,16489
2004,Clark,6403 - LAS,16463
2004,Clark,2374 - NLV,16462
2004,Washoe,SPARKS 810,16452
2004,Clark,1001 - BOC,16449
2004,Washoe,RENO 531,16432
2004,Clark,6300 - LAS,16419
2004,Clark,7033 - County,16407
2004,Clark,6344 - LAS,16403
2004,Clark,2301 - LAS,16378
2004,Clark,1440 - HEN,16338
2004,Clark,6401 - LAS,16335
2004,Clark,7314 - County,16334
2004,Washoe,RENO 802,16330
2004,Clark,3471 - LAS,16302
2004,Washoe,RENO 140,16300
2004,Washoe,RENO 132,16278
2004,Clark,7324 - County,16262
2004,Clark,1530 - BOC,16202
2004,Clark,7083 - County,16164
2004,Washoe,RENO 102,16161
2004,Clark,3335 - County,16143
2004,Clark,1480 - HEN,16125
2004,Clark,7036 - County,16125
2004,Clark,5016 - County,16066
2004,Clark,3462 - County,16031
2004,Clark,3089 - LAS,16028
2004,Clark,5387 - County,15982
2004,Washoe,RENO 115,15970
2004,Clark,2413 - County,15955
2004,Clark,1454 - HEN,15922
2004,Clark,6360 - LAS,15902
2004,Clark,6361 - LAS,15890
2004,Clark,4320 - LAS,15888
2004,Washoe,RENO 532,15844
2004,Clark,4365 - LAS,15822
2004,Washoe,SPARKS 621,15818
2004,Washoe,SPARKS 651,15812
2004,Clark,3401 - LAS,15794
2004,Clark,5361 - County,15761
2004,Clark,6374 - LAS,15754
2004,Clark,3227 - LAS,15748
2004,Clark,1445 - HEN,15690
2004,Clark,7394 - HEN,15669
2004,Washoe,RENO 430,15662
2004,Clark,3434 - LAS,15643
2004,Clark,4360 - LAS,15637
2004,Clark,3403 - LAS,15596
2004,Clark,5422 - County,15596
2004,Clark,7342 - HEN,15588
2004,Clark,4416 - NLV,15583
2004,Clark,1010 - BOC,15546
2004,Clark,6334 - LAS,15538
2004,Washoe,RENO 429,15528
2004,Clark,4325 - LAS,15521
2004,Washoe,SPARKS 647,15512
2004,Clark,5304 - County,15510
2004,Washoe,RENO 444,15509
2004,Clark,6461 - County,15500
2004,Clark,3220 - LAS,15465
2004,Clark,3449 - County,15421
2004,Clark,1442 - HEN,15342
2004,Clark,1006 - BOC,15292
2004,Clark,1493 - HEN,15267
2004,Clark,6325 - LAS,15224
2004,Clark,6465 - County,15089
2004,Clark,5024 - County,15059
2004,Clark,4380 - LAS,15053
2004,Clark,3445 - County,15029
2004,Clark,1423 - HEN,15027
2004,Clark,1401 - HEN,14988
2004,Clark,2453 - LAS,14984
2004,Clark,4460 - LAS,14940
2004,Clark,1444 - HEN,14921
2004,Washoe,RENO 707,14921
2004,Clark,1300 - County,14912
2004,Washoe,RENO 402,14912
2004,Clark,6067 - County,14907
2004,Washoe,RENO 126,14898
2004,Clark,3322 - LAS,14868
2004,Clark,3355 - LAS,14857
2004,Washoe,RENO 435,14851
2004,Clark,7377 - County,14840
2004,Clark,2431 - County,14827
2004,Clark,1313 - County,14818
2004,Washoe,SPARKS 734,14675
2004,Clark,1002 - BOC,14650
2004,Clark,1078 - HEN,14650
2004,Clark,5352 - LAS,14630
2004,Clark,3342 - LAS,14623
2004,Washoe,INCLINE VILLAGE 796,14595
2004,Washoe,SPARKS 976,14565
2004,Clark,2420 - County,14535
2004,Clark,3035 - LAS,14521
2004,Clark,6414 - County,14518
2004,Clark,6445 - County,14518
2004,Clark,1443 - HEN,14514
2004,Clark,7330 - County,14509
2004,Clark,7382 - County,14461
2004,Washoe,RENO 251,14423
2004,Clark,7321 - County,14419
2004,Washoe,SPARKS 812,14340
2004,Clark,3506 - LAS,14337
2004,Clark,1400 - HEN,14331
2004,Washoe,RENO 232,14330
2004,Washoe,RENO 354,14283
2004,Clark,7046 - County,14251
2004,Washoe,RENO 817,14146
2004,Washoe,RENO 868,14134
2004,Washoe,RENO 423,14110
2004,Washoe,RENO 107,14102
2004,Washoe,RENO 819,14087
2004,Washoe,SPARKS 692,14031
2004,Clark,5075 - County,14004
2004,Clark,7309 - County,13996
2004,Clark,2363 - NLV,13961
2004,Clark,4385 - LAS,13877
2004,Washoe,RENO 235,13868
2004,Washoe,RENO 522,13863
2004,Washoe,INCLINE VILLAGE 720,13841
2004,Washoe,SPARKS 697,13803
2004,Clark,1482 - HEN,13796
2004,Washoe,RENO 234,13727
2004,Clark,6071 - County,13662
2004,Washoe,RENO 944,13637
2004,Clark,3345 - LAS,13625
2004,Clark,7343 - HEN,13622
2004,Washoe,SPARKS 851,13613
2004,Clark,3422 - LAS,13538
2004,Clark,6311 - LAS,13515
2004,Washoe,SPARKS 642,13514
2004,Clark,2433 - County,13504
2004,Clark,4371 - LAS,13492
2004,Clark,5385 - LAS,13485
2004,Clark,7392 - HEN,13458
2004,Washoe,RENO 732,13440
2004,Washoe,SPARKS 614,13439
2004,Clark,7301 - County,13438
2004,Washoe,RENO 351,13437
2004,Clark,6523 - County,13350
2004,Clark,1430 - HEN,13345
2004,Clark,6340 - LAS,13337
2004,Washoe,RENO 314,13324
2004,Washoe,RENO 712,13316
2004,Clark,3326 - LAS,13264
2004,Clark,6310 - LAS,13263
2004,Washoe,RENO 703,13251
2004,Washoe,SPARKS 627,13224
2004,Clark,7303 - County,13195
2004,Clark,3452 - LAS,13185
2004,Clark,7084 - County,13164
2004,Clark,3421 - LAS,13159
2004,Washoe,SPARKS 684,13147
2004,Clark,7331 - County,13131
2004,Clark,1450 - HEN,13087
2004,Clark,3333 - County,13052
2004,Washoe,RENO 230,13049
2004,Washoe,RENO 508,13037
2004,Clark,6442 - County,12976
2004,Clark,3340 - LAS,12970
2004,Washoe,RENO 809,12922
2004,Clark,5370 - County,12913
2004,Washoe,RENO 119,12828
2004,Clark,5325 - County,12757
2004,Clark,5354 - County,12728
2004,Washoe,RENO 323,12720
2004,Washoe,SPARKS 635,12693
2004,Washoe,RENO 223,12662
2004,Clark,6404 - County,12640
2004,Clark,2414 - County,12630
2004,Washoe,SPARKS 653,12607
2004,Washoe,SPARKS 758,12582
2004,Clark,5363 - County,12570
2004,Clark,7313 - County,12521
2004,Washoe,RENO 226,12509
2004,Clark,7421 - HEN,12483
2004,Washoe,SPARKS 735,12396
2004,Clark,1441 - HEN,12357
2004,Clark,2424 - NLV,12331
2004,Clark,7308 - County,12318
2004,Clark,4464 - LAS,12310
2004,Clark,1524 - HEN,12309
2004,Clark,5360 - County,12282
2004,Clark,5401 - County,12270
2004,Clark,2302 - LAS,12268
2004,Clark,3525 - LAS,12256
2004,Clark,5315 - LAS,12254
2004,Washoe,SPARKS 672,12236
2004,Washoe,RENO 419,12219
2004,Clark,1109 - HEN,12179
2004,Washoe,RENO 818,12147
2004,Clark,7420 - HEN,12145
2004,Clark,6391 - LAS,12134
2004,Clark,4374 - LAS,12091
2004,Washoe,RENO 227,12085
2004,Clark,6453 - County,12075
2004,Clark,2321 - LAS,12071
2004,Washoe,RENO 125,12020
2004,Washoe,RENO 242,11980
2004,Clark,6350 - LAS,11954
2004,Washoe,SPARKS 619,11935
2004,Clark,4383 - LAS,11914
2004,Clark,6395 - LAS,11842
2004,Clark,6510 - County,11794
2004,Clark,1165 - HEN,11765
2004,Clark,6074 - County,11763
2004,Clark,5383 - LAS,11731
2004,Clark,7038 - County,11715
2004,Clark,3312 - LAS,11713
2004,Washoe,RENO 501,11682
2004,Clark,7393 - HEN,11681
2004,Clark,1425 - HEN,11673
2004,Clark,7425 - County,11659
2004,Washoe,SPARKS 657,11643
2004,Clark,6341 - LAS,11640
2004,Washoe,INCLINE VILLAGE 721,11632
2004,Clark,6472 - County,11609
2004,Washoe,RENO 964,11539
2004,Clark,5386 - County,11526
2004,Clark,2048 - LAS,11513
2004,Clark,7376 - County,11488
2004,Clark,2122 - County,11480
2004,Clark,1112 - HEN,11414
2004,Clark,6392 - LAS,11390
2004,Clark,6333 - LAS,11385
2004,Washoe,SPARKS 852,11368
2004,Clark,6394 - LAS,11367
2004,Clark,3343 - LAS,11341
2004,Clark,1460 - HEN,11308
2004,Washoe,RENO 338,11287
2004,Clark,7061 - County,11267
2004,Clark,5380 - County,11264
2004,Clark,5364 - County,11208
2004,Clark,5303 - County,11205
2004,Clark,7319 - County,11194
2004,Clark,7353 - HEN,11134
2004,Clark,7406 - HEN,11129
2004,Clark,6034 - LAS,11104
2004,Washoe,RENO 816,11069
2004,Clark,6393 - LAS,11008
2004,Washoe,VERDI 528,10958
2004,Clark,2452 - LAS,10947
2004,Clark,2047 - LAS,10927
2004,Clark,7071 - County,10886
2004,Clark,6373 - LAS,10875
2004,Clark,5420 - County,10850
2004,Clark,6351 - LAS,10825
2004,Washoe,SPARKS 629,10823
2004,Clark,7302 - County,10799
2004,Clark,1413 - County,10791
2004,Carson City,213,10755
2004,Clark,3526 - LAS,10750
2004,Clark,1312 - County,10688
2004,Clark,7346 - HEN,10676
2004,Washoe,RENO 325,10655
2004,Clark,3402 - LAS,10618
2004,Clark,5336 - County,10544
2004,Clark,1301 - County,10537
2004,Washoe,RENO 523,10535
2004,Clark,1422 - HEN,10532
2004,Clark,3410 - LAS,10518
2004,Clark,5392 - County,10378
2004,Clark,2345 - LAS,10345
2004,Clark,2425 - NLV,10337
2004,Washoe,RENO 221,10326
2004,Clark,5373 - County,10243
2004,Washoe,RENO 208,10209
2004,Clark,1305 - County,10120
2004,Washoe,RENO 131,10091
2004,Clark,7391 - County,10085
2004,Clark,4465 - LAS,10058
2004,Washoe,RENO 897,10054
2004,Washoe,RENO 309,10049
2004,Clark,3504 - County,10034
2004,Washoe,RENO 536,9962
2004,Clark,7060 - County,9929
2004,Clark,3536 - County,9920
2004,Clark,2332 - LAS,9900
2004,Washoe,SPARKS 603,9885
2004,Clark,1532 - MVA,9832
2004,Clark,3451 - LAS,9822
2004,Washoe,SPARKS 850,9774
2004,Clark,7304 - County,9765
2004,Clark,3460 - County,9753
2004,Clark,2322 - LAS,9741
2004,Clark,1462 - HEN,9707
2004,Washoe,RENO 953,9669
2004,Clark,6425 - County,9665
2004,Clark,3311 - LAS,9649
2004,Clark,4312 - NLV,9618
2004,Clark,3394 - LAS,9581
2004,Clark,4040 - LAS,9532
2004,Washoe,RENO 705,9529
2004,Clark,2426 - NLV,9491
2004,Clark,4031 - LAS,9490
2004,Washoe,RENO 243,9402
2004,Clark,2462 - LAS,9401
2004,Clark,4425 - County,9220
2004,Clark,5305 - County,9185
2004,Clark,1004 - BOC,9180
2004,Clark,6443 - County,9163
2004,Clark,6304 - County,9128
2004,Clark,7328 - County,9117
2004,Washoe,SPARKS 618,9088
2004,Clark,7390 - County,9084
2004,Clark,3484 - County,9083
2004,Washoe,RENO 214,9057
2004,Clark,2333 - LAS,9026
2004,Washoe,RENO 930,8997
2004,Clark,1060 - County,8938
2004,Washoe,RENO 122,8925
2004,Clark,6345 - LAS,8923
2004,Clark,3120 - LAS,8806
2004,Clark,5340 - County,8789
2004,Washoe,RENO 222,8781
2004,Clark,1484 - HEN,8760
2004,Clark,3384 - LAS,8725
2004,Washoe,SPARKS 615,8722
2004,Washoe,SPARKS 620,8716
2004,Clark,6382 - LAS,8714
2004,Washoe,RENO 410,8684
2004,Clark,4410 - NLV,8661
2004,Washoe,RENO 213,8638
2004,Washoe,RENO 831,8605
2004,Washoe,SPARKS 611,8601
2004,Clark,7363 - HEN,8589
2004,Washoe,RENO 801,8579
2004,Clark,2412 - County,8567
2004,Clark,3336 - County,8473
2004,Clark,2307 - LAS,8441
2004,Clark,5375 - County,8441
2004,Washoe,RENO 238,8426
2004,Clark,5381 - County,8405
2004,Clark,1483 - HEN,8362
2004,Washoe,VERDI 148,8353
2004,Clark,3396 - LAS,8302
2004,Clark,7340 - County,8298
2004,Washoe,RENO 231,8242
2004,Washoe,RENO 252,8238
2004,Washoe,RENO 209,8220
2004,Clark,4343 - LAS,8207
2004,Clark,6413 - County,8182
2004,Washoe,RENO 128,8152
2004,Clark,6381 - LAS,8142
2004,Washoe,RENO 141,8103
2004,Clark,1431 - HEN,8064
2004,Clark,6068 - County,8056
2004,Washoe,RENO 457,8010
2004,Washoe,RENO 326,8008
2004,Clark,5402 - County,7996
2004,Washoe,SPARKS 628,7989
2004,Clark,6462 - County,7946
2004,Washoe,RENO 105,7917
2004,Washoe,SPARKS 630,7902
2004,Washoe,RENO 935,7892
2004,Clark,4417 - NLV,7878
2004,Clark,3425 - LAS,7869
2004,Clark,3400 - LAS,7849
2004,Clark,1434 - HEN,7846
2004,Clark,4370 - LAS,7840
2004,Clark,7316 - County,7832
2004,Washoe,RENO 821,7818
2004,Clark,1123 - HEN,7760
2004,Clark,4364 - LAS,7691
2004,Washoe,RENO 100,7676
2004,Clark,6370 - LAS,7588
2004,Clark,7384 - County,7577
2004,Clark,6400 - LAS,7533
2004,Clark,3314 - County,7518
2004,Clark,4455 - LAS,7507
2004,Clark,7080 - County,7492
2004,Clark,7385 - County,7422
2004,Clark,5421 - County,7404
2004,Clark,1017 - BUN,7400
2004,Clark,7381 - County,7393
2004,Washoe,RENO 710,7372
2004,Clark,1485 - HEN,7351
2004,Clark,1432 - HEN,7289
2004,Washoe,WADSWORTH 815,7262
2004,Clark,7370 - LAS,7170
2004,Washoe,SPARKS 655,7156
2004,Clark,2313 - LAS,7132
2004,Clark,1314 - County,7103
2004,Clark,7323 - County,7102
2004,Clark,6415 - County,7096
2004,Clark,5302 - County,7092
2004,Clark,6430 - County,7051
2004,Clark,1466 - HEN,7038
2004,Washoe,SPARKS 754,7031
2004,Clark,4355 - LAS,6995
2004,Clark,4443 - County,6965
2004,Washoe,RENO 206,6889
2004,Washoe,RENO 310,6831
2004,Washoe,RENO 400,6775
2004,Clark,4375 - LAS,6759
2004,Washoe,RENO 867,6759
2004,Clark,4396 - NLV,6750
2004,Clark,4441 - County,6712
2004,Washoe,SPARKS 658,6696
2004,Clark,6385 - LAS,6685
2004,Washoe,RENO 442,6637
2004,Washoe,RENO 110,6544
2004,Clark,4394 - NLV,6536
2004,Clark,6516 - County,6515
2004,Washoe,RENO 789,6511
2004,Clark,1403 - HEN,6508
2004,Clark,6480 - County,6504
2004,Clark,5300 - LAS,6454
2004,Clark,1393 - HEN,6427
2004,Clark,6365 - LAS,6424
2004,Washoe,RENO 219,6378
2004,Washoe,RENO 938,6369
2004,Clark,3300 - County,6360
2004,Clark,3301 - LAS,6342
2004,Washoe,SPARKS 623,6340
2004,Washoe,RENO 304,6278
2004,Washoe,SPARKS 686,6265
2004,Washoe,RENO 526,6250
2004,Washoe,RENO 781,6226
2004,Clark,5334 - County,6215
2004,Clark,3315 - County,6203
2004,Clark,3531 - County,6183
2004,Washoe,RENO 143,6183
2004,Clark,4403 - NLV,6129
2004,Washoe,RENO 129,6094
2004,Clark,4440 - County,6093
2004,Washoe,SPARKS 725,6060
2004,Washoe,RENO 225,6051
2004,Clark,1412 - County,6013
2004,Washoe,SPARKS 654,5995
2004,Nye,AMARGOSA VLY O6,5924
2004,Clark,3303 - County,5882
2004,Washoe,SPARKS 744,5865
2004,Washoe,RENO 456,5856
2004,Clark,6372 - LAS,5816
2004,Clark,6390 - LAS,5810
2004,Clark,4452 - LAS,5783
2004,Clark,7070 - County,5710
2004,Clark,6312 - LAS,5677
2004,Clark,3325 - County,5574
2004,Nye,TONOPAH 17,5564
2004,Pershing,2,5537
2004,Clark,7373 - LAS,5499
2004,Clark,3453 - LAS,5466
2004,Clark,4414 - NLV,5461
2004,Washoe,RENO 130,5418
2004,Clark,5343 - County,5402
2004,Washoe,SPARKS 610,5330
2004,Washoe,RENO 215,5328
2004,Clark,4356 - LAS,5320
2004,Clark,7383 - County,5270
2004,Clark,4353 - LAS,5243
2004,Clark,4426 - County,5242
2004,Clark,5321 - County,5218
2004,Clark,4436 - County,5199
2004,Clark,2303 - LAS,5194
2004,Clark,2355 - LAS,5194
2004,Clark,7364 - HEN,5176
2004,Clark,6320 - LAS,5073
2004,Washoe,SPARKS 786,5066
2004,Clark,4451 - LAS,5064
2004,Clark,5362 - County,5006
2004,Washoe,RENO 346,4977
2004,Washoe,RENO 233,4959
2004,Clark,7431 - HEN,4952
2004,Clark,1500 - HEN,4942
2004,Washoe,RENO 968,4911
2004,Clark,7325 - County,4865
2004,Washoe,RENO 512 (MP),4824
2004,Washoe,VERDI 530 (MP),4746
2004,Clark,6483 - County,4703
2004,Clark,5342 - County,4681
2004,Clark,2334 - County,4656
2004,Washoe,RENO 519,4598
2004,Clark,3186 - County,4549
2004,Clark,4372 - LAS,4523
2004,Clark,1416 - HEN,4503
2004,Clark,4433 - County,4493
2004,Clark,2370 - NLV,4489
2004,Clark,5316 - LAS,4466
2004,Washoe,RENO 101 (MP),4408
2004,Clark,5367 - County,4386
2004,Washoe,RENO 856,4331
