year,state,county,precinct,office,district,party,candidate,votes
2020,NV,Carson City,105,STATE QUESTION NO. 2,,,Yes,582
2020,NV,Carson City,105,STATE QUESTION NO. 3,,,No,557
2020,NV,Carson City,105,STATE QUESTION NO. 3,,,Yes,459
2020,NV,Carson City,105,STATE QUESTION NO. 4,,,No,602
2020,NV,Carson City,105,STATE QUESTION NO. 4,,,Yes,423
2020,NV,Carson City,105,STATE QUESTION NO. 6,,,No,651
2020,NV,Carson City,105,STATE QUESTION NO. 6,,,Yes,380
2020,NV,Carson City,105,"Supreme Court Justice, Seat B",,,None Of These Candidates,145
2020,NV,Carson City,105,"Supreme Court Justice, Seat B",,UNK,"Pickering, Kristina",807
2020,NV,Carson City,105,"Supreme Court Justice, Seat D",,UNK,"FUMO, Ozzie",320
2020,NV,Carson City,105,"Supreme Court Justice, Seat D",,UNK,"HERNDON, DOUGLAS",594
2020,NV,Carson City,105,"Supreme Court Justice, Seat D",,,None Of These Candidates,93
2020,NV,Carson City,105,"U.S. Representative in Congress, Dist. 2",,UNK,"ACKERMAN, PATRICIA",382
2020,NV,Carson City,105,"U.S. Representative in Congress, Dist. 2",,REP,"Amodei, Mark E.",646
2020,NV,Carson City,105,"U.S. Representative in Congress, Dist. 2",,UNK,JANINE HANSEN,15
2020,NV,Carson City,107,"Board of Supervisors, Ward 2",,UNK,"WHITE, MAURICE ""MO""",655
2020,NV,Carson City,107,"Board of Supervisors, Ward 2",,UNK,"WILKE-MCCULLOCH, STACIE",479
2020,NV,Carson City,107,"Court Of Appeals Judge, Dept. 3",,UNK,"BULLA, BONNIE",484
2020,NV,Carson City,107,"Court Of Appeals Judge, Dept. 3",,UNK,"BUSH, SUSAN",402
2020,NV,Carson City,107,"Court Of Appeals Judge, Dept. 3",,,None Of These Candidates,247
2020,NV,Carson City,107,"District Court Judge, District 1, Department  1",Court,UNK,"RUSSELL, JAMES TODD",1016
2020,NV,Carson City,107,"District Court Judge, District 1, Department  2",Court,UNK,"WILSON, JIM",994
2020,NV,Carson City,107,President and Vice President of the United States,,UNK,"BIDEN, JOSEPH R.",494
2020,NV,Carson City,107,President and Vice President of the United States,,UNK,"BLANKENSHIP, DON",2
2020,NV,Carson City,107,President and Vice President of the United States,,UNK,"JORGENSEN, JO",13
2020,NV,Carson City,107,President and Vice President of the United States,,,None Of These Candidates,18
2020,NV,Carson City,107,President and Vice President of the United States,,REP,"TRUMP, DONALD J.",705
2020,NV,Carson City,107,"School Trustee, District 7",7,UNK,"CACIOPPO, JOE",723
2020,NV,Carson City,107,"School Trustee, District 7",7,UNK,"TRUSHENSKI, JOY R.",367
2020,NV,Carson City,107,"State Assembly, District 40",40,UNK,"LOYD, SENA",444
2020,NV,Carson City,107,"State Assembly, District 40",40,UNK,"O'Neill, Philip ""PK""",759
2020,NV,Carson City,107,STATE QUESTION NO. 1,,,No,819
2020,NV,Carson City,107,STATE QUESTION NO. 1,,,Yes,353
2020,NV,Carson City,107,STATE QUESTION NO. 2,,,No,515
2020,NV,Carson City,107,STATE QUESTION NO. 2,,,Yes,687
2020,NV,Carson City,107,STATE QUESTION NO. 3,,,No,633
2020,NV,Carson City,107,STATE QUESTION NO. 3,,,Yes,551
2020,NV,Carson City,107,STATE QUESTION NO. 4,,,No,663
2020,NV,Carson City,107,STATE QUESTION NO. 4,,,Yes,528
2020,NV,Carson City,107,STATE QUESTION NO. 6,,,No,729
2020,NV,Carson City,107,STATE QUESTION NO. 6,,,Yes,472
2020,NV,Carson City,107,"Supreme Court Justice, Seat B",,,None Of These Candidates,200
2020,NV,Carson City,107,"Supreme Court Justice, Seat B",,UNK,"Pickering, Kristina",913
2020,NV,Carson City,107,"Supreme Court Justice, Seat D",,UNK,"FUMO, Ozzie",368
2020,NV,Carson City,107,"Supreme Court Justice, Seat D",,UNK,"HERNDON, DOUGLAS",657
2020,NV,Carson City,107,"Supreme Court Justice, Seat D",,,None Of These Candidates,139
2020,NV,Carson City,107,"U.S. Representative in Congress, Dist. 2",,UNK,"ACKERMAN, PATRICIA",415
2020,NV,Carson City,107,"U.S. Representative in Congress, Dist. 2",,REP,"Amodei, Mark E.",784
2020,NV,Carson City,107,"U.S. Representative in Congress, Dist. 2",,UNK,JANINE HANSEN,17
2020,NV,Carson City,109,"Board of Supervisors, Ward 2",,UNK,"WHITE, MAURICE ""MO""",796
2020,NV,Carson City,109,"Board of Supervisors, Ward 2",,UNK,"WILKE-MCCULLOCH, STACIE",637
2020,NV,Carson City,109,"Court Of Appeals Judge, Dept. 3",,UNK,"BULLA, BONNIE",607
2020,NV,Carson City,109,"Court Of Appeals Judge, Dept. 3",,UNK,"BUSH, SUSAN",506
2020,NV,Carson City,109,"Court Of Appeals Judge, Dept. 3",,,None Of These Candidates,321
2020,NV,Carson City,109,"District Court Judge, District 1, Department  1",Court,UNK,"RUSSELL, JAMES TODD",1283
2020,NV,Carson City,109,"District Court Judge, District 1, Department  2",Court,UNK,"WILSON, JIM",1269
2020,NV,Carson City,109,President and Vice President of the United States,,UNK,"BIDEN, JOSEPH R.",701
2020,NV,Carson City,109,President and Vice President of the United States,,UNK,"BLANKENSHIP, DON",2
2020,NV,Carson City,109,President and Vice President of the United States,,UNK,"JORGENSEN, JO",16
2020,NV,Carson City,109,President and Vice President of the United States,,,None Of These Candidates,20
2020,NV,Carson City,109,President and Vice President of the United States,,REP,"TRUMP, DONALD J.",823
2020,NV,Carson City,109,"School Trustee, District 7",7,UNK,"CACIOPPO, JOE",890
2020,NV,Carson City,109,"School Trustee, District 7",7,UNK,"TRUSHENSKI, JOY R.",499
2020,NV,Carson City,109,"State Assembly, District 40",40,UNK,"LOYD, SENA",638
2020,NV,Carson City,109,"State Assembly, District 40",40,UNK,"O'Neill, Philip ""PK""",880
2020,NV,Carson City,109,STATE QUESTION NO. 1,,,No,944
2020,NV,Carson City,109,STATE QUESTION NO. 1,,,Yes,546
2020,NV,Carson City,109,STATE QUESTION NO. 2,,,No,621
2020,NV,Carson City,109,STATE QUESTION NO. 2,,,Yes,909
2020,NV,Carson City,109,STATE QUESTION NO. 3,,,No,781
2020,NV,Carson City,109,STATE QUESTION NO. 3,,,Yes,727
2020,NV,Carson City,109,STATE QUESTION NO. 4,,,No,738
2020,NV,Carson City,109,STATE QUESTION NO. 4,,,Yes,781
2020,NV,Carson City,109,STATE QUESTION NO. 6,,,No,817
2020,NV,Carson City,109,STATE QUESTION NO. 6,,,Yes,707
2020,NV,Carson City,109,"Supreme Court Justice, Seat B",,,None Of These Candidates,266
2020,NV,Carson City,109,"Supreme Court Justice, Seat B",,UNK,"Pickering, Kristina",1157
2020,NV,Carson City,109,"Supreme Court Justice, Seat D",,UNK,"FUMO, Ozzie",488
2020,NV,Carson City,109,"Supreme Court Justice, Seat D",,UNK,"HERNDON, DOUGLAS",768
2020,NV,Carson City,109,"Supreme Court Justice, Seat D",,,None Of These Candidates,216
2020,NV,Carson City,109,"U.S. Representative in Congress, Dist. 2",,UNK,"ACKERMAN, PATRICIA",616
2020,NV,Carson City,109,"U.S. Representative in Congress, Dist. 2",,REP,"Amodei, Mark E.",894
2020,NV,Carson City,109,"U.S. Representative in Congress, Dist. 2",,UNK,JANINE HANSEN,32
2020,NV,Carson City,111,"Board of Supervisors, Ward 2",,UNK,"WHITE, MAURICE ""MO""",714
2020,NV,Carson City,111,"Board of Supervisors, Ward 2",,UNK,"WILKE-MCCULLOCH, STACIE",540
2020,NV,Carson City,111,"Court Of Appeals Judge, Dept. 3",,UNK,"BULLA, BONNIE",463
2020,NV,Carson City,111,"Court Of Appeals Judge, Dept. 3",,UNK,"BUSH, SUSAN",503
2020,NV,Carson City,111,"Court Of Appeals Judge, Dept. 3",,,None Of These Candidates,327
2020,NV,Carson City,111,"District Court Judge, District 1, Department  1",Court,UNK,"RUSSELL, JAMES TODD",1128
2020,NV,Carson City,111,"District Court Judge, District 1, Department  2",Court,UNK,"WILSON, JIM",1115
2020,NV,Carson City,111,President and Vice President of the United States,,UNK,"BIDEN, JOSEPH R.",660
2020,NV,Carson City,111,President and Vice President of the United States,,UNK,"BLANKENSHIP, DON",6
2020,NV,Carson City,111,President and Vice President of the United States,,UNK,"JORGENSEN, JO",21
2020,NV,Carson City,111,President and Vice President of the United States,,,None Of These Candidates,13
2020,NV,Carson City,111,President and Vice President of the United States,,REP,"TRUMP, DONALD J.",691
2020,NV,Carson City,111,"School Trustee, District 7",7,UNK,"CACIOPPO, JOE",698
2020,NV,Carson City,111,"School Trustee, District 7",7,UNK,"TRUSHENSKI, JOY R.",510
2020,NV,Carson City,111,"State Assembly, District 40",40,UNK,"LOYD, SENA",654
2020,NV,Carson City,111,"State Assembly, District 40",40,UNK,"O'Neill, Philip ""PK""",689
2020,NV,Carson City,111,STATE QUESTION NO. 1,,,No,732
2020,NV,Carson City,111,STATE QUESTION NO. 1,,,Yes,565
2020,NV,Carson City,111,STATE QUESTION NO. 2,,,No,510
2020,NV,Carson City,111,STATE QUESTION NO. 2,,,Yes,828
2020,NV,Carson City,111,STATE QUESTION NO. 3,,,No,549
2020,NV,Carson City,111,STATE QUESTION NO. 3,,,Yes,754
2020,NV,Carson City,111,STATE QUESTION NO. 4,,,No,465
2020,NV,Carson City,111,STATE QUESTION NO. 4,,,Yes,858
2020,NV,Carson City,111,STATE QUESTION NO. 6,,,No,571
2020,NV,Carson City,111,STATE QUESTION NO. 6,,,Yes,754
2020,NV,Carson City,111,"Supreme Court Justice, Seat B",,,None Of These Candidates,312
2020,NV,Carson City,111,"Supreme Court Justice, Seat B",,UNK,"Pickering, Kristina",956
2020,NV,Carson City,111,"Supreme Court Justice, Seat D",,UNK,"FUMO, Ozzie",472
2020,NV,Carson City,111,"Supreme Court Justice, Seat D",,UNK,"HERNDON, DOUGLAS",579
2020,NV,Carson City,111,"Supreme Court Justice, Seat D",,,None Of These Candidates,261
2020,NV,Carson City,111,"U.S. Representative in Congress, Dist. 2",,UNK,"ACKERMAN, PATRICIA",630
2020,NV,Carson City,111,"U.S. Representative in Congress, Dist. 2",,REP,"Amodei, Mark E.",696
2020,NV,Carson City,111,"U.S. Representative in Congress, Dist. 2",,UNK,JANINE HANSEN,42
2020,NV,Carson City,113,"Board of Supervisors, Ward 2",,UNK,"WHITE, MAURICE ""MO""",867
2020,NV,Carson City,113,"Board of Supervisors, Ward 2",,UNK,"WILKE-MCCULLOCH, STACIE",542
2020,NV,Carson City,113,"Court Of Appeals Judge, Dept. 3",,UNK,"BULLA, BONNIE",523
2020,NV,Carson City,113,"Court Of Appeals Judge, Dept. 3",,UNK,"BUSH, SUSAN",517
2020,NV,Carson City,113,"Court Of Appeals Judge, Dept. 3",,,None Of These Candidates,360
2020,NV,Carson City,113,"District Court Judge, District 1, Department  1",Court,UNK,"RUSSELL, JAMES TODD",1224
2020,NV,Carson City,113,"District Court Judge, District 1, Department  2",Court,UNK,"WILSON, JIM",1210
2020,NV,Carson City,113,President and Vice President of the United States,,UNK,"BIDEN, JOSEPH R.",588
2020,NV,Carson City,113,President and Vice President of the United States,,UNK,"BLANKENSHIP, DON",4
2020,NV,Carson City,113,President and Vice President of the United States,,UNK,"JORGENSEN, JO",11
2020,NV,Carson City,113,President and Vice President of the United States,,,None Of These Candidates,19
2020,NV,Carson City,113,President and Vice President of the United States,,REP,"TRUMP, DONALD J.",886
2020,NV,Carson City,113,"School Trustee, District 7",7,UNK,"CACIOPPO, JOE",846
2020,NV,Carson City,113,"School Trustee, District 7",7,UNK,"TRUSHENSKI, JOY R.",503
2020,NV,Carson City,113,"State Assembly, District 40",40,UNK,"LOYD, SENA",559
2020,NV,Carson City,113,"State Assembly, District 40",40,UNK,"O'Neill, Philip ""PK""",904
2020,NV,Carson City,113,STATE QUESTION NO. 1,,,No,963
2020,NV,Carson City,113,STATE QUESTION NO. 1,,,Yes,466
2020,NV,Carson City,113,STATE QUESTION NO. 2,,,No,698
2020,NV,Carson City,113,STATE QUESTION NO. 2,,,Yes,772
2020,NV,Carson City,113,STATE QUESTION NO. 3,,,No,744
2020,NV,Carson City,113,STATE QUESTION NO. 3,,,Yes,699
2020,NV,Carson City,113,STATE QUESTION NO. 4,,,No,743
2020,NV,Carson City,113,STATE QUESTION NO. 4,,,Yes,706
2020,NV,Carson City,113,STATE QUESTION NO. 6,,,No,819
2020,NV,Carson City,113,STATE QUESTION NO. 6,,,Yes,640
2020,NV,Carson City,113,"Supreme Court Justice, Seat B",,,None Of These Candidates,273
2020,NV,Carson City,113,"Supreme Court Justice, Seat B",,UNK,"Pickering, Kristina",1101
2020,NV,Carson City,113,"Supreme Court Justice, Seat D",,UNK,"FUMO, Ozzie",431
2020,NV,Carson City,113,"Supreme Court Justice, Seat D",,UNK,"HERNDON, DOUGLAS",797
2020,NV,Carson City,113,"Supreme Court Justice, Seat D",,,None Of These Candidates,209
2020,NV,Carson City,113,"U.S. Representative in Congress, Dist. 2",,UNK,"ACKERMAN, PATRICIA",549
2020,NV,Carson City,113,"U.S. Representative in Congress, Dist. 2",,REP,"Amodei, Mark E.",906
2020,NV,Carson City,113,"U.S. Representative in Congress, Dist. 2",,UNK,JANINE HANSEN,31
2020,NV,Carson City,201,"Board of Supervisors, Ward 2",,UNK,"WHITE, MAURICE ""MO""",543
2020,NV,Carson City,201,"Board of Supervisors, Ward 2",,UNK,"WILKE-MCCULLOCH, STACIE",426
2020,NV,Carson City,201,"Court Of Appeals Judge, Dept. 3",,UNK,"BULLA, BONNIE",363
2020,NV,Carson City,201,"Court Of Appeals Judge, Dept. 3",,UNK,"BUSH, SUSAN",378
2020,NV,Carson City,201,"Court Of Appeals Judge, Dept. 3",,,None Of These Candidates,236
2020,NV,Carson City,201,"District Court Judge, District 1, Department  1",Court,UNK,"RUSSELL, JAMES TODD",892
2020,NV,Carson City,201,"District Court Judge, District 1, Department  2",Court,UNK,"WILSON, JIM",890
2020,NV,Carson City,201,President and Vice President of the United States,,UNK,"BIDEN, JOSEPH R.",468
2020,NV,Carson City,201,President and Vice President of the United States,,UNK,"BLANKENSHIP, DON",4
2020,NV,Carson City,201,President and Vice President of the United States,,UNK,"JORGENSEN, JO",14
2020,NV,Carson City,201,President and Vice President of the United States,,,None Of These Candidates,13
2020,NV,Carson City,201,President and Vice President of the United States,,REP,"TRUMP, DONALD J.",563
2020,NV,Carson City,201,"School Trustee, District 7",7,UNK,"CACIOPPO, JOE",580
2020,NV,Carson City,201,"School Trustee, District 7",7,UNK,"TRUSHENSKI, JOY R.",362
2020,NV,Carson City,201,"State Assembly, District 40",40,UNK,"LOYD, SENA",436
2020,NV,Carson City,201,"State Assembly, District 40",40,UNK,"O'Neill, Philip ""PK""",593
2020,NV,Carson City,201,STATE QUESTION NO. 1,,,No,592
2020,NV,Carson City,201,STATE QUESTION NO. 1,,,Yes,412
2020,NV,Carson City,201,STATE QUESTION NO. 2,,,No,410
2020,NV,Carson City,201,STATE QUESTION NO. 2,,,Yes,621
2020,NV,Carson City,201,STATE QUESTION NO. 3,,,No,446
2020,NV,Carson City,201,STATE QUESTION NO. 3,,,Yes,573
2020,NV,Carson City,201,STATE QUESTION NO. 4,,,No,436
2020,NV,Carson City,201,STATE QUESTION NO. 4,,,Yes,590
2020,NV,Carson City,201,STATE QUESTION NO. 6,,,No,488
2020,NV,Carson City,201,STATE QUESTION NO. 6,,,Yes,534
2020,NV,Carson City,201,"Supreme Court Justice, Seat B",,,None Of These Candidates,209
2020,NV,Carson City,201,"Supreme Court Justice, Seat B",,UNK,"Pickering, Kristina",757
2020,NV,Carson City,201,"Supreme Court Justice, Seat D",,UNK,"FUMO, Ozzie",356
2020,NV,Carson City,201,"Supreme Court Justice, Seat D",,UNK,"HERNDON, DOUGLAS",462
2020,NV,Carson City,201,"Supreme Court Justice, Seat D",,,None Of These Candidates,185
2020,NV,Carson City,201,"U.S. Representative in Congress, Dist. 2",,UNK,"ACKERMAN, PATRICIA",427
2020,NV,Carson City,201,"U.S. Representative in Congress, Dist. 2",,REP,"Amodei, Mark E.",579
2020,NV,Carson City,201,"U.S. Representative in Congress, Dist. 2",,UNK,JANINE HANSEN,38
2020,NV,Carson City,203,"Board of Supervisors, Ward 2",,UNK,"WHITE, MAURICE ""MO""",685
2020,NV,Carson City,203,"Board of Supervisors, Ward 2",,UNK,"WILKE-MCCULLOCH, STACIE",573
2020,NV,Carson City,203,"Court Of Appeals Judge, Dept. 3",,UNK,"BULLA, BONNIE",545
2020,NV,Carson City,203,"Court Of Appeals Judge, Dept. 3",,UNK,"BUSH, SUSAN",435
2020,NV,Carson City,203,"Court Of Appeals Judge, Dept. 3",,,None Of These Candidates,283
2020,NV,Carson City,203,"District Court Judge, District 1, Department  1",Court,UNK,"RUSSELL, JAMES TODD",1136
2020,NV,Carson City,203,"District Court Judge, District 1, Department  2",Court,UNK,"WILSON, JIM",1143
2020,NV,Carson City,203,President and Vice President of the United States,,UNK,"BIDEN, JOSEPH R.",661
2020,NV,Carson City,203,President and Vice President of the United States,,UNK,"BLANKENSHIP, DON",2
2020,NV,Carson City,203,President and Vice President of the United States,,UNK,"JORGENSEN, JO",20
2020,NV,Carson City,203,President and Vice President of the United States,,,None Of These Candidates,18
2020,NV,Carson City,203,President and Vice President of the United States,,REP,"TRUMP, DONALD J.",676
2020,NV,Carson City,203,"School Trustee, District 7",7,UNK,"CACIOPPO, JOE",787
2020,NV,Carson City,203,"School Trustee, District 7",7,UNK,"TRUSHENSKI, JOY R.",438
2020,NV,Carson City,203,"State Assembly, District 40",40,UNK,"LOYD, SENA",637
2020,NV,Carson City,203,"State Assembly, District 40",40,UNK,"O'Neill, Philip ""PK""",687
2020,NV,Carson City,203,STATE QUESTION NO. 1,,,No,800
2020,NV,Carson City,203,STATE QUESTION NO. 1,,,Yes,485
2020,NV,Carson City,203,STATE QUESTION NO. 2,,,No,515
2020,NV,Carson City,203,STATE QUESTION NO. 2,,,Yes,821
2020,NV,Carson City,203,STATE QUESTION NO. 3,,,No,586
2020,NV,Carson City,203,STATE QUESTION NO. 3,,,Yes,734
2020,NV,Carson City,203,STATE QUESTION NO. 4,,,No,512
2020,NV,Carson City,203,STATE QUESTION NO. 4,,,Yes,812
2020,NV,Carson City,203,STATE QUESTION NO. 6,,,No,624
2020,NV,Carson City,203,STATE QUESTION NO. 6,,,Yes,703
2020,NV,Carson City,203,"Supreme Court Justice, Seat B",,,None Of These Candidates,265
2020,NV,Carson City,203,"Supreme Court Justice, Seat B",,UNK,"Pickering, Kristina",988
2020,NV,Carson City,203,"Supreme Court Justice, Seat D",,UNK,"FUMO, Ozzie",461
2020,NV,Carson City,203,"Supreme Court Justice, Seat D",,UNK,"HERNDON, DOUGLAS",615
2020,NV,Carson City,203,"Supreme Court Justice, Seat D",,,None Of These Candidates,227
2020,NV,Carson City,203,"U.S. Representative in Congress, Dist. 2",,UNK,"ACKERMAN, PATRICIA",616
2020,NV,Carson City,203,"U.S. Representative in Congress, Dist. 2",,REP,"Amodei, Mark E.",694
2020,NV,Carson City,203,"U.S. Representative in Congress, Dist. 2",,UNK,JANINE HANSEN,35
2020,NV,Carson City,205,"Board of Supervisors, Ward 2",,UNK,"WHITE, MAURICE ""MO""",743
2020,NV,Carson City,205,"Board of Supervisors, Ward 2",,UNK,"WILKE-MCCULLOCH, STACIE",541
2020,NV,Carson City,205,"Court Of Appeals Judge, Dept. 3",,UNK,"BULLA, BONNIE",489
2020,NV,Carson City,205,"Court Of Appeals Judge, Dept. 3",,UNK,"BUSH, SUSAN",488
2020,NV,Carson City,205,"Court Of Appeals Judge, Dept. 3",,,None Of These Candidates,301
2020,NV,Carson City,205,"District Court Judge, District 1, Department  1",Court,UNK,"RUSSELL, JAMES TODD",1162
2020,NV,Carson City,205,"District Court Judge, District 1, Department  2",Court,UNK,"WILSON, JIM",1160
2020,NV,Carson City,205,President and Vice President of the United States,,UNK,"BIDEN, JOSEPH R.",646
2020,NV,Carson City,205,President and Vice President of the United States,,UNK,"BLANKENSHIP, DON",6
2020,NV,Carson City,205,President and Vice President of the United States,,UNK,"JORGENSEN, JO",15
