year,state,county,precinct,office,district,party,candidate,votes
2020,NV,Carson City,101,"Board of Supervisors, Ward 2",,UNK,"WHITE, MAURICE ""MO""",532
2020,NV,Carson City,101,"Board of Supervisors, Ward 2",,UNK,"WILKE-MCCULLOCH, STACIE",467
2020,NV,Carson City,101,"Court Of Appeals Judge, Dept. 3",,UNK,"BULLA, BONNIE",402
2020,NV,Carson City,101,"Court Of Appeals Judge, Dept. 3",,UNK,"BUSH, SUSAN",367
2020,NV,Carson City,101,"Court Of Appeals Judge, Dept. 3",,,None Of These Candidates,230
2020,NV,Carson City,101,"District Court Judge, District 1, Department  1",Court,UNK,"RUSSELL, JAMES TODD",883
2020,NV,Carson City,101,"District Court Judge, District 1, Department  2",Court,UNK,"WILSON, JIM",869
2020,NV,Carson City,101,President and Vice President of the United States,,UNK,"BIDEN, JOSEPH R.",515
2020,NV,Carson City,101,President and Vice President of the United States,,UNK,"BLANKENSHIP, DON",3
2020,NV,Carson City,101,President and Vice President of the United States,,UNK,"JORGENSEN, JO",15
2020,NV,Carson City,101,President and Vice President of the United States,,,None Of These Candidates,14
2020,NV,Carson City,101,President and Vice President of the United States,,REP,"TRUMP, DONALD J.",529
2020,NV,Carson City,101,"School Trustee, District 7",7,UNK,"CACIOPPO, JOE",627
2020,NV,Carson City,101,"School Trustee, District 7",7,UNK,"TRUSHENSKI, JOY R.",342
2020,NV,Carson City,101,"State Assembly, District 40",40,UNK,"LOYD, SENA",500
2020,NV,Carson City,101,"State Assembly, District 40",40,UNK,"O'Neill, Philip ""PK""",546
2020,NV,Carson City,101,STATE QUESTION NO. 1,,,No,615
2020,NV,Carson City,101,STATE QUESTION NO. 1,,,Yes,387
2020,NV,Carson City,101,STATE QUESTION NO. 2,,,No,411
2020,NV,Carson City,101,STATE QUESTION NO. 2,,,Yes,627
2020,NV,Carson City,101,STATE QUESTION NO. 3,,,No,467
2020,NV,Carson City,101,STATE QUESTION NO. 3,,,Yes,553
2020,NV,Carson City,101,STATE QUESTION NO. 4,,,No,424
2020,NV,Carson City,101,STATE QUESTION NO. 4,,,Yes,604
2020,NV,Carson City,101,STATE QUESTION NO. 6,,,No,499
2020,NV,Carson City,101,STATE QUESTION NO. 6,,,Yes,537
2020,NV,Carson City,101,"Supreme Court Justice, Seat B",,,None Of These Candidates,215
2020,NV,Carson City,101,"Supreme Court Justice, Seat B",,UNK,"Pickering, Kristina",761
2020,NV,Carson City,101,"Supreme Court Justice, Seat D",,UNK,"FUMO, Ozzie",394
2020,NV,Carson City,101,"Supreme Court Justice, Seat D",,UNK,"HERNDON, DOUGLAS",457
2020,NV,Carson City,101,"Supreme Court Justice, Seat D",,,None Of These Candidates,157
2020,NV,Carson City,101,"U.S. Representative in Congress, Dist. 2",,UNK,"ACKERMAN, PATRICIA",481
2020,NV,Carson City,101,"U.S. Representative in Congress, Dist. 2",,REP,"Amodei, Mark E.",552
2020,NV,Carson City,101,"U.S. Representative in Congress, Dist. 2",,UNK,JANINE HANSEN,26
2020,NV,Carson City,103,"Board of Supervisors, Ward 2",,UNK,"WHITE, MAURICE ""MO""",576
2020,NV,Carson City,103,"Board of Supervisors, Ward 2",,UNK,"WILKE-MCCULLOCH, STACIE",449
2020,NV,Carson City,103,"Court Of Appeals Judge, Dept. 3",,UNK,"BULLA, BONNIE",474
2020,NV,Carson City,103,"Court Of Appeals Judge, Dept. 3",,UNK,"BUSH, SUSAN",310
2020,NV,Carson City,103,"Court Of Appeals Judge, Dept. 3",,,None Of These Candidates,211
2020,NV,Carson City,103,"District Court Judge, District 1, Department  1",Court,UNK,"RUSSELL, JAMES TODD",912
2020,NV,Carson City,103,"District Court Judge, District 1, Department  2",Court,UNK,"WILSON, JIM",909
2020,NV,Carson City,103,President and Vice President of the United States,,UNK,"BIDEN, JOSEPH R.",484
2020,NV,Carson City,103,President and Vice President of the United States,,UNK,"BLANKENSHIP, DON",3
2020,NV,Carson City,103,President and Vice President of the United States,,UNK,"JORGENSEN, JO",18
2020,NV,Carson City,103,President and Vice President of the United States,,,None Of These Candidates,15
2020,NV,Carson City,103,President and Vice President of the United States,,REP,"TRUMP, DONALD J.",548
2020,NV,Carson City,103,"School Trustee, District 7",7,UNK,"CACIOPPO, JOE",679
2020,NV,Carson City,103,"School Trustee, District 7",7,UNK,"TRUSHENSKI, JOY R.",304
2020,NV,Carson City,103,"State Assembly, District 40",40,UNK,"LOYD, SENA",433
2020,NV,Carson City,103,"State Assembly, District 40",40,UNK,"O'Neill, Philip ""PK""",607
2020,NV,Carson City,103,STATE QUESTION NO. 1,,,No,734
2020,NV,Carson City,103,STATE QUESTION NO. 1,,,Yes,285
2020,NV,Carson City,103,STATE QUESTION NO. 2,,,No,431
2020,NV,Carson City,103,STATE QUESTION NO. 2,,,Yes,612
2020,NV,Carson City,103,STATE QUESTION NO. 3,,,No,548
2020,NV,Carson City,103,STATE QUESTION NO. 3,,,Yes,489
2020,NV,Carson City,103,STATE QUESTION NO. 4,,,No,534
2020,NV,Carson City,103,STATE QUESTION NO. 4,,,Yes,499
2020,NV,Carson City,103,STATE QUESTION NO. 6,,,No,596
2020,NV,Carson City,103,STATE QUESTION NO. 6,,,Yes,442
2020,NV,Carson City,103,"Supreme Court Justice, Seat B",,,None Of These Candidates,174
2020,NV,Carson City,103,"Supreme Court Justice, Seat B",,UNK,"Pickering, Kristina",803
2020,NV,Carson City,103,"Supreme Court Justice, Seat D",,UNK,"FUMO, Ozzie",372
2020,NV,Carson City,103,"Supreme Court Justice, Seat D",,UNK,"HERNDON, DOUGLAS",525
2020,NV,Carson City,103,"Supreme Court Justice, Seat D",,,None Of These Candidates,127
2020,NV,Carson City,103,"U.S. Representative in Congress, Dist. 2",,UNK,"ACKERMAN, PATRICIA",425
2020,NV,Carson City,103,"U.S. Representative in Congress, Dist. 2",,REP,"Amodei, Mark E.",611
2020,NV,Carson City,103,"U.S. Representative in Congress, Dist. 2",,UNK,JANINE HANSEN,22
2020,NV,Carson City,105,"Board of Supervisors, Ward 2",,UNK,"WHITE, MAURICE ""MO""",545
2020,NV,Carson City,105,"Board of Supervisors, Ward 2",,UNK,"WILKE-MCCULLOCH, STACIE",456
2020,NV,Carson City,105,"Court Of Appeals Judge, Dept. 3",,UNK,"BULLA, BONNIE",479
2020,NV,Carson City,105,"Court Of Appeals Judge, Dept. 3",,UNK,"BUSH, SUSAN",309
2020,NV,Carson City,105,"Court Of Appeals Judge, Dept. 3",,,None Of These Candidates,173
2020,NV,Carson City,105,"District Court Judge, District 1, Department  1",Court,UNK,"RUSSELL, JAMES TODD",885
2020,NV,Carson City,105,"District Court Judge, District 1, Department  2",Court,UNK,"WILSON, JIM",876
2020,NV,Carson City,105,President and Vice President of the United States,,UNK,"BIDEN, JOSEPH R.",445
2020,NV,Carson City,105,President and Vice President of the United States,,UNK,"BLANKENSHIP, DON",2
2020,NV,Carson City,105,President and Vice President of the United States,,UNK,"JORGENSEN, JO",17
2020,NV,Carson City,105,President and Vice President of the United States,,,None Of These Candidates,8
2020,NV,Carson City,105,President and Vice President of the United States,,REP,"TRUMP, DONALD J.",583
2020,NV,Carson City,105,"School Trustee, District 7",7,UNK,"CACIOPPO, JOE",644
2020,NV,Carson City,105,"School Trustee, District 7",7,UNK,"TRUSHENSKI, JOY R.",328
2020,NV,Carson City,105,"State Assembly, District 40",40,UNK,"LOYD, SENA",368
2020,NV,Carson City,105,"State Assembly, District 40",40,UNK,"O'Neill, Philip ""PK""",662
2020,NV,Carson City,105,STATE QUESTION NO. 1,,,No,708
2020,NV,Carson City,105,STATE QUESTION NO. 1,,,Yes,299
2020,NV,Carson City,105,STATE QUESTION NO. 2,,,No,455
