county,precinct,office,district,party,candidate,votes
Carson City,101,County Question Cc1,,,No,520
Carson City,101,County Question Cc1,,,Yes,317
Carson City,101,"Court Of Appeals Judge, Dept. 1",,,None Of These Candidates,193
Carson City,101,"Court Of Appeals Judge, Dept. 1",,,Jerry Tao,553
Carson City,101,"Court Of Appeals Judge, Dept. 2",,,Michael Gibbons,586
Carson City,101,"Court Of Appeals Judge, Dept. 2",,,None Of These Candidates,183
Carson City,101,"Court Of Appeals Judge, Dept. 3",,,None Of These Candidates,190
Carson City,101,"Court Of Appeals Judge, Dept. 3",,,Abbi Silver,562
Carson City,101,Mayor,,,Chris Carver,338
Carson City,101,Mayor,,,Robert B. Crowell,418
Carson City,101,President,,Independent American,Darrell Castle,5
Carson City,101,President,,Democratic,Hillary Clinton,354
Carson City,101,President,,Nonpartisan,Roque R. De La Fuente,3
Carson City,101,President,,Libertarian,Gary Johnson,39
Carson City,101,President,,,None Of These Candidates,39
Carson City,101,President,,Republican,Donald J. Trump,419
Carson City,101,School Trustee,5,,Steven Reynolds,278
Carson City,101,School Trustee,5,,Michael B. Walker,394
Carson City,101,School Trustee,6,,Susan Hart,650
Carson City,101,State Assembly,40,Democratic,Michael L. Greedy,305
Carson City,101,State Assembly,40,Republican,Al Kramer,435
Carson City,101,State Assembly,40,Independent American,John Wagner,75
Carson City,101,State Board of Education,2,,David W. Carter,345
Carson City,101,State Board of Education,2,,Pat Hickey,354
Carson City,101,State Question No.1,,,No,523
Carson City,101,State Question No.1,,,Yes,321
Carson City,101,State Question No.2,,,No,391
Carson City,101,State Question No.2,,,Yes,454
Carson City,101,State Question No.3,,,No,292
Carson City,101,State Question No.3,,,Yes,527
Carson City,101,State Question No.4,,,No,265
Carson City,101,State Question No.4,,,Yes,559
Carson City,101,"Supervisor, Ward 2",,,Brad Bonkowski,430
Carson City,101,"Supervisor, Ward 2",,,Maurice White,304
Carson City,101,"Supervisor, Ward 4",,,John Barrette,383
Carson City,101,"Supervisor, Ward 4",,,Jim Shirk,346
Carson City,101,"Supreme Court Justice, Seat A",,,Jim Hardesty,582
Carson City,101,"Supreme Court Justice, Seat A",,,None Of These Candidates,174
Carson City,101,"Supreme Court Justice, Seat E",,,None Of These Candidates,189
Carson City,101,"Supreme Court Justice, Seat E",,,Ron D. Parraguirre,571
Carson City,101,U.S. House,2,Republican,Mark E. Amodei,450
