district_id,unit_count,share_of_units
001,533,0.0063052299
002,589,0.0069676931
003,767,0.0090733796
004,971,0.0114866384
005,525,0.0062105923
006,802,0.0094874191
007,626,0.0074053920
008,480,0.0056782558
009,391,0.0046254126
010,773,0.0091443578
011,762,0.0090142311
012,545,0.0064471863
013,751,0.0088841044
014,682,0.0080678552
015,586,0.0069322040
016,983,0.0116285947
017,632,0.0074763702
018,572,0.0067665882
019,2625,0.0310529616
020,557,0.0065891427
021,700,0.0082807898
022,887,0.0104929436
023,2141,0.0253273869
024,1147,0.0135686655
025,1372,0.0162303479
026,1813,0.0214472455
027,1217,0.0143967445
028,518,0.0061277844
029,606,0.0071687980
030,988,0.0116877432
031,1071,0.0126696083
032,12494,0.1478002674
033,20423,0.2415979558
034,590,0.0069795228
035,521,0.0061632735
036,3162,0.0374055103
037,788,0.0093218033
038,11278,0.1334153526
039,3609,0.0426933860
040,2879,0.0340577053
041,634,0.0075000296
042,543,0.0064235269
