district_id,unit_count,share_of_units
001,198,0.0032550264
002,304,0.0049976163
003,632,0.0103897812
004,639,0.0105048579
005,440,0.0072333920
006,719,0.0118200201
007,490,0.0080553683
008,177,0.0029097963
009,48,0.0007890973
010,678,0.0111459994
011,710,0.0116720643
012,424,0.0069703595
013,280,0.0046030676
014,561,0.0092225748
015,505,0.0083019612
016,763,0.0125433593
017,167,0.0027454010
018,379,0.0062305808
019,1467,0.0241167864
020,508,0.0083512798
021,498,0.0081868845
022,648,0.0106528136
023,1009,0.0165874829
024,1070,0.0175902941
025,976,0.0160449785
026,899,0.0147791350
027,798,0.0131187427
028,430,0.0070689967
029,468,0.0076936987
030,822,0.0135132914
031,564,0.0092718933
032,11194,0.1840240675
033,14515,0.2386197373
034,560,0.0092061352
035,73,0.0012000855
036,2066,0.0339640632
037,702,0.0115405481
038,8413,0.1383057423
039,2143,0.0352299068
040,2000,0.0328790544
041,396,0.0065100528
042,496,0.0081540055
