geoid20,neutral_id,assign_method,top_share
32015000004,2,overlap_full,1.0000000000
32015000006,2,overlap_split,0.9999985320
32015000007,2,overlap_full,1.0000000000
32015000005,2,overlap_full,1.0000000000
32015000008,2,overlap_full,1.0000000000
32015000009,2,overlap_full,1.0000000000
32015000002,2,overlap_full,1.0000000000
32015000003,2,overlap_full,1.0000000000
32015000001,2,overlap_full,1.0000000000
32031009126,2,overlap_full,1.0000000000
32003001386,3,overlap_full,1.0000000000
32003006713,3,overlap_full,1.0000000000
32003004635,1,overlap_split,0.9986080754
32003007528,3,overlap_full,1.0000000000
32003003826,4,overlap_full,1.0000000000
32003007695,3,overlap_full,1.0000000000
32003003727,4,overlap_full,1.0000000000
32003004522,1,overlap_full,1.0000000000
32003002486,4,overlap_full,1.0000000000
32003003733,4,overlap_full,1.0000000000
32003007545,3,overlap_full,1.0000000000
32003006681,4,overlap_full,1.0000000000
32003002726,4,overlap_full,1.0000000000
32003006708,4,overlap_full,1.0000000000
32003002722,1,overlap_full,1.0000000000
32003006732,3,overlap_full,1.0000000000
32003002732,4,overlap_full,1.0000000000
32003002711,4,overlap_full,1.0000000000
32003005564,1,overlap_full,1.0000000000
32003007652,3,overlap_full,1.0000000000
32003002503,1,overlap_split,0.9999797237
32003003702,4,overlap_full,1.0000000000
32003007504,3,overlap_split,0.9999066982
32003007615,3,overlap_full,1.0000000000
32003001712,3,overlap_full,1.0000000000
32003003722,4,overlap_full,1.0000000000
32003006643,4,overlap_full,1.0000000000
32003007502,1,overlap_split,0.9999420777
32003003708,4,overlap_full,1.0000000000
32003007530,3,overlap_full,1.0000000000
32003003765,4,overlap_full,1.0000000000
32003007674,3,overlap_full,1.0000000000
32003002721,1,overlap_full,1.0000000000
32003004616,1,overlap_full,1.0000000000
32003007500,3,overlap_full,1.0000000000
32003003782,4,overlap_full,1.0000000000
32003001612,4,overlap_full,1.0000000000
32003001903,3,overlap_full,1.0000000000
32003006666,3,overlap_full,1.0000000000
32003005578,1,overlap_full,1.0000000000
32003004562,1,overlap_full,1.0000000000
32003006486,3,overlap_split,0.9999952013
32003002907,1,overlap_full,1.0000000000
32003006721,3,overlap_full,1.0000000000
32003002725,4,overlap_full,1.0000000000
32003003852,4,overlap_full,1.0000000000
32003004501,1,overlap_full,1.0000000000
32003005512,1,overlap_full,1.0000000000
32003007594,3,overlap_full,1.0000000000
32003003729,4,overlap_full,1.0000000000
32003002692,4,overlap_full,1.0000000000
32003002724,1,overlap_full,1.0000000000
32003003707,4,overlap_full,1.0000000000
32003004552,1,overlap_full,1.0000000000
32003007507,3,overlap_full,1.0000000000
32003004652,1,overlap_full,1.0000000000
32003006734,3,overlap_split,0.9999991869
32003007625,3,overlap_full,1.0000000000
32003007603,3,overlap_full,1.0000000000
32003007605,3,overlap_full,1.0000000000
32003004500,1,overlap_full,1.0000000000
32003001651,3,overlap_split,0.9999928070
32003002660,4,overlap_split,0.9999865949
32003003755,4,overlap_full,1.0000000000
32003003807,4,overlap_full,1.0000000000
32003001618,3,overlap_full,1.0000000000
32003002729,1,overlap_full,1.0000000000
32003001692,3,overlap_full,1.0000000000
32003003783,4,overlap_full,1.0000000000
32003006685,4,overlap_split,0.9999064168
32003003866,4,overlap_full,1.0000000000
