geoid20,district_id,assign_method
32015000004,02,centroid
32015000006,02,centroid
32015000007,02,centroid
32015000005,02,centroid
32015000008,02,centroid
32015000009,02,centroid
32015000002,02,centroid
32015000003,02,centroid
32015000001,02,centroid
32031009126,02,centroid
32003001386,01,centroid
32003006713,03,centroid
32003004635,04,centroid
32003007528,01,centroid
32003003826,04,centroid
32003007695,01,centroid
32003003727,03,centroid
32003004522,01,centroid
32003002486,04,centroid
32003003733,04,centroid
32003007545,01,centroid
32003006681,03,centroid
32003002726,04,centroid
32003006708,03,centroid
32003002722,04,centroid
32003006732,03,centroid
32003002732,04,centroid
32003002711,04,centroid
32003005564,01,centroid
32003007652,01,centroid
32003002503,04,centroid
32003003702,04,centroid
32003007504,01,centroid
32003007615,01,centroid
32003001712,01,centroid
32003003722,04,centroid
32003006643,03,centroid
32003007502,01,centroid
32003003708,04,centroid
32003007530,01,centroid
32003003765,03,centroid
32003007674,01,centroid
32003002721,04,centroid
32003004616,04,centroid
32003007500,01,centroid
32003003782,04,centroid
32003001612,03,centroid
32003001903,01,centroid
32003006666,03,centroid
32003005578,01,centroid
32003004562,04,centroid
32003006486,03,centroid
32003002907,04,centroid
32003006721,03,centroid
32003002725,04,centroid
32003003852,04,centroid
32003004501,04,centroid
32003005512,01,centroid
32003007594,01,centroid
32003003729,04,centroid
32003002692,04,centroid
32003002724,04,centroid
32003003707,04,centroid
32003004552,01,centroid
32003007507,01,centroid
32003004652,04,centroid
32003006734,03,centroid
32003007625,01,centroid
32003007603,01,centroid
32003007605,01,centroid
32003004500,04,centroid
32003001651,03,centroid
32003002660,04,centroid
32003003755,03,centroid
32003003807,03,centroid
32003001618,03,centroid
32003002729,04,centroid
32003001692,03,centroid
32003003783,04,centroid
32003006685,03,centroid
32003003866,03,centroid
32003003815,04,centroid
32003002737,04,centroid
32003007672,01,centroid
32003002976,04,centroid
32003006751,03,centroid
32003001704,03,centroid
32003002624,04,centroid
32003003749,03,centroid
32003007574,01,centroid
32003002676,04,centroid
32003003906,04,centroid
32003006738,03,centroid
32003007562,01,centroid
32003007724,01,centroid
32003007684,01,centroid
32003001750,03,centroid
32003002605,04,centroid
32003003763,03,centroid
32003006601,03,centroid
32003001711,01,centroid
32003007632,01,centroid
32003003750,04,centroid
32003001613,03,centroid
32003004641,04,centroid
32003001644,03,centroid
32003002654,04,centroid
32003005583,01,centroid
32003006720,03,centroid
32003002978,04,centroid
32003004642,04,centroid
32003003804,04,centroid
32003007703,01,centroid
32003007663,01,centroid
32003004611,01,centroid
32003007732,01,centroid
32003005568,01,centroid
32003006703,03,centroid
32003002606,04,centroid
32003002631,04,centroid
32003002691,04,centroid
32003003823,04,centroid
32003001681,01,centroid
32003002612,04,centroid
32003003902,04,centroid
32003001553,01,centroid
32003006611,03,centroid
32003006649,03,centroid
32003002602,04,centroid
32003002616,04,centroid
32003005575,01,centroid
32003007642,01,centroid
32003002681,04,centroid
32003006614,04,centroid
32003003801,04,centroid
32003005614,01,centroid
32003006671,03,centroid
32003007730,01,centroid
32003007692,01,centroid
32003001722,01,centroid
32003007704,01,centroid
32003003760,04,centroid
32003006664,03,centroid
32003004615,04,centroid
32003003831,04,centroid
32003003775,03,centroid
32003005585,01,centroid
32003003719,03,centroid
32003007503,01,centroid
32003002775,04,centroid
32003006625,03,centroid
32003007623,01,centroid
32003007714,01,centroid
32003005623,01,centroid
32003006711,03,centroid
32003005603,01,centroid
32003001603,03,centroid
32003005531,01,centroid
32003002704,04,centroid
32003003787,03,centroid
32003005524,01,centroid
32003002633,04,centroid
32003007675,01,centroid
32003005598,01,centroid
32003003812,04,centroid
32003004540,01,centroid
32003001614,03,centroid
32003003736,03,centroid
32003003802,04,centroid
32003002662,04,centroid
32003002951,04,centroid
32003005330,01,centroid
32003005521,01,centroid
32003001655,03,centroid
32003001624,03,centroid
32003003751,04,centroid
32003004543,01,centroid
32003002706,04,centroid
32003007720,01,centroid
32003006914,03,centroid
32003003737,04,centroid
32003001929,01,centroid
32003003776,04,centroid
32003003875,04,centroid
32003003777,03,centroid
32003002683,04,centroid
32003006617,04,centroid
32003004606,01,centroid
32003003731,04,centroid
32003002685,04,centroid
32003004572,04,centroid
32003002977,04,centroid
32003003714,04,centroid
32003001912,03,centroid
32003003580,04,centroid
32003003581,04,centroid
32003001543,01,centroid
32003001905,01,centroid
32003002920,04,centroid
32003002969,04,centroid
32003006605,04,centroid
32003004902,01,centroid
32003007920,01,centroid
32003003915,04,centroid
32003005604,01,centroid
32003003990,04,centroid
32003003785,04,centroid
32003005616,01,centroid
32003002600,04,centroid
32003003586,03,centroid
32003005571,01,centroid
32003005536,01,centroid
32003006735,03,centroid
32003006610,03,centroid
32003004637,04,centroid
32003002713,04,centroid
32003007533,01,centroid
32003006653,03,centroid
32003005545,04,centroid
32003003726,03,centroid
32003005654,01,centroid
32003002487,04,centroid
32003007575,01,centroid
32003006728,03,centroid
32003003767,04,centroid
32003004650,04,centroid
32003007552,01,centroid
32003001719,01,centroid
32003001673,01,centroid
32003005650,01,centroid
32003006635,03,centroid
32003005632,01,centroid
32003003769,03,centroid
32003004598,04,centroid
32003005596,01,centroid
32003003752,03,centroid
32003004583,04,centroid
32003002608,04,centroid
32003002643,04,centroid
32003007591,01,centroid
32003007570,01,centroid
32003001616,03,centroid
32003005584,01,centroid
32003004581,04,centroid
32003004604,04,centroid
32003006695,03,centroid
32003005621,01,centroid
32003007733,01,centroid
32003001602,03,centroid
32003003824,04,centroid
32003005653,01,centroid
32003007661,01,centroid
32003004903,04,centroid
32003003766,04,centroid
32003003800,03,centroid
32003007923,01,centroid
32003007912,01,centroid
32003002651,04,centroid
32003005593,01,centroid
32003006642,03,centroid
32003002972,04,centroid
32003002736,04,centroid
32003001619,03,centroid
32003004582,04,centroid
32003005502,01,centroid
32003004566,04,centroid
32003007573,01,centroid
32003006652,03,centroid
32003002684,04,centroid
32003002746,01,centroid
32003007506,01,centroid
32003002738,04,centroid
32003004511,04,centroid
32003007590,01,centroid
32003006633,03,centroid
32003005615,01,centroid
32003002733,01,centroid
32003005533,04,centroid
32003005613,01,centroid
32003005592,01,centroid
32003005612,01,centroid
32003005560,01,centroid
32003004434,04,centroid
32003004523,01,centroid
32003002702,04,centroid
32003003988,04,centroid
32003003725,04,centroid
32003003917,03,centroid
32003001601,03,centroid
32003006656,03,centroid
32003005643,01,centroid
32003001662,03,centroid
32003003734,03,centroid
32003005542,03,centroid
32003007581,01,centroid
32003007529,01,centroid
32003003739,03,centroid
32003001608,01,centroid
32003005591,01,centroid
32003006683,03,centroid
32003001611,03,centroid
32003002934,04,centroid
32003004599,04,centroid
32003007553,01,centroid
32003002634,04,centroid
32003002700,04,centroid
32003007926,01,centroid
32003005617,01,centroid
32003002671,04,centroid
32003001915,01,centroid
32003001604,03,centroid
32003004536,01,centroid
32003003808,03,centroid
32003006608,04,centroid
32003002743,01,centroid
32003006715,03,centroid
32003006604,03,centroid
32003006707,03,centroid
32003007662,01,centroid
32003002682,04,centroid
32003001679,03,centroid
32003004529,04,centroid
32003003790,03,centroid
32003003715,03,centroid
32003002911,04,centroid
32003003741,04,centroid
32003003704,04,centroid
32003007584,01,centroid
32003004508,04,centroid
32003007722,01,centroid
32003001605,03,centroid
32003005553,04,centroid
32003003743,04,centroid
32003002673,04,centroid
32003004645,04,centroid
32003002488,04,centroid
32003001664,03,centroid
32003005501,01,centroid
32003003832,04,centroid
32003006613,03,centroid
32003003612,03,centroid
32003002645,04,centroid
32003007508,01,centroid
32003006631,03,centroid
32003001928,01,centroid
32003006714,03,centroid
32003002693,04,centroid
32003005641,01,centroid
32003003744,04,centroid
32003004527,04,centroid
32003007665,01,centroid
32003006658,03,centroid
32003006655,03,centroid
32003007593,01,centroid
32003004530,01,centroid
32003003905,04,centroid
32003001687,03,centroid
32003005622,01,centroid
32003006651,03,centroid
