metric,value
source_shapefile,data\census\tl_2020_32_vtd20\tl_2020_32_vtd20.shp
source_units,2102
matched_units,2102
unmatched_units,0
unmatched_rate,0.0000000000
full_match_units,1965
split_units,137
split_rate,0.0651760228
avg_top_share,0.9990341391
avg_entropy,0.0019322049
assign_method_overlap_full,1965
assign_method_overlap_split,137
