vtdidfp00,bg2020ge,alloc_weight
320010005,320019503023,19.0000000001
320010005,320019503025,20.9999999999
320010010,320019503011,7.1571151621
320010010,320019503012,18.4262010172
320010010,320019503023,1.3504394090
320010010,320019503024,7.8428848379
320010010,320019503025,8.5675360267
320010010,320019505002,2.6558235472
320010015,320019503021,15.0000000000
320010015,320019503022,26.0000000000
320010015,320019507002,1.0000000000
320010020,320019501001,2.0000000000
320010020,320019503011,5.0000000000
320010020,320019503013,36.0000000000
320010025,320019503011,24.8439033114
320010025,320019503013,8.0000000000
320010025,320019503024,20.1560966886
320010030,320019503021,43.9999999999
320010035,320019503023,3.0000000000
320010035,320019503025,4.0000000000
320010035,320019506002,1.0252506245
320010035,320019506003,35.9747493755
320010040,320019501002,15.0000000000
320010040,320019503013,7.0000000000
320010040,320019503024,4.0000000000
320010045,320019501001,44.0000000000
320010045,320019503012,13.9696252970
320010045,320019505001,12.0000000000
320010045,320019505002,125.0303747029
320010045,320019506001,2.0000000000
320010050,320019506002,30.9998409358
320010050,320019506003,13.0001590641
320010055,320019507002,34.9999999999
320010055,320019507004,2.0000000000
320010060,320019501001,76.5777807885
320010060,320019501002,143.9191821033
320010060,320019503013,1.0000000000
320010060,320019504001,14.5199781884
320010060,320019507001,26.9830589195
320010065,320019501002,51.9918755988
320010065,320019504001,5.0081244011
320010070,320019501002,1.0000000000
320010070,320019507001,120.9607782269
320010070,320199609021,0.0392217729
320010075,320019503021,7.0000000000
320010075,320019507001,184.0000000002
320010075,320019507003,29.0000000000
320010075,320019507004,24.0000000001
320010080,320019506002,14.0000000000
320010080,320019507004,21.9999999998
320010085,320019506001,223.2407927102
320010085,320019507003,0.3129006149
320010085,320199601031,0.4463066744
320010090,320019501001,546.9999999997
320010090,320019505001,88.0000000000
320010090,320150003021,1.0000000000
320010095,320019507001,1.0000000000
320010095,320019507003,170.9993471394
320010095,320019507004,13.0000000000
320010095,320199602062,0.0006528609
320031001,320030055021,7.0082819611
320031001,320030055022,3.0000000000
320031001,320030055023,5.0000000000
320031001,320030057032,0.9917180389
320031002,320030055014,18.0000000001
320031003,320030055011,14.9403795203
320031003,320030055013,1.1913492414
320031003,320030055014,12.8682712383
320031003,320030056134,1.0000000000
320031004,320030055021,22.0000000000
320031004,320030055022,0.9998696114
320031004,320030055032,14.0001303886
320031005,320030055031,13.0000000000
320031005,320030055032,7.0000000000
320031005,320030055033,4.0000000000
320031006,320030055022,0.0021728004
320031006,320030055032,3.9978271996
320031006,320030055033,17.0000000000
320031007,320030055022,8.0000000000
320031007,320030055023,12.0000000000
320031008,320030055021,1.0588722269
320031008,320030055024,5.9161371098
320031008,320030055041,10.0000000000
320031008,320030057032,2.0249906635
320031009,320030055042,8.5656289847
320031009,320030055043,7.4343710153
320031010,320030055024,7.0000000000
320031010,320030055043,4.0000000000
320031011,320030055012,26.0000000000
320031011,320030055024,1.0000000000
320031011,320030057032,34.9999999999
320031011,320030057111,5.0000000000
320031012,320030056071,0.0307375304
320031012,320030076001,11.0000000000
320031012,320030076004,13.9692624696
320031013,320030056071,5.0564769799
320031013,320030076004,4.9435230200
320031014,320030056071,1.0000000000
320031014,320030056072,5.0000000000
320031014,320030056073,1.0000000000
320031014,320030056141,4.0000000000
320031014,320030056142,17.6426215832
320031014,320030056151,0.3573784168
320031015,320030056072,13.0000000000
320031015,320030056073,13.9999999999
320031015,320030056142,1.1416776151
320031015,320030056151,20.7373158017
320031015,320030059041,0.9476970184
320031015,320030076001,4.9175767811
320031015,320030076003,2.2557327840
320031016,320030059021,4.0074898431
320031016,320030059041,1.0000000000
320031016,320030076002,13.0037458744
320031016,320030076003,2.9887642826
320031017,320030056073,0.2917577304
