district_id,unit_count,share_of_units
001,59,0.0280685062
002,56,0.0266412940
003,93,0.0442435775
004,71,0.0337773549
005,74,0.0352045671
006,92,0.0437678402
007,71,0.0337773549
008,72,0.0342530923
009,53,0.0252140818
010,70,0.0333016175
011,53,0.0252140818
012,78,0.0371075167
013,116,0.0551855376
014,160,0.0761179829
015,186,0.0884871551
016,165,0.0784966698
017,141,0.0670789724
018,122,0.0580399619
019,139,0.0661274976
020,159,0.0756422455
021,72,0.0342530923
