district_id,unit_count,share_of_units
001,636,0.0110784023
002,596,0.0103816475
003,717,0.0124893309
004,1017,0.0177149924
005,515,0.0089707189
006,777,0.0135344632
007,650,0.0113222665
008,576,0.0100332700
009,475,0.0082739640
010,799,0.0139176784
011,734,0.0127854518
012,577,0.0100506889
013,832,0.0144925012
014,686,0.0119493459
015,582,0.0101377833
016,870,0.0151544183
017,710,0.0123673988
018,551,0.0095977983
019,1757,0.0306049574
020,570,0.0099287568
021,615,0.0107126060
022,892,0.0155376335
023,1528,0.0266160358
024,1046,0.0182201397
025,987,0.0171924263
026,1395,0.0242993259
027,898,0.0156421467
028,496,0.0086397603
029,659,0.0114790364
030,824,0.0143531502
031,912,0.0158860109
032,6665,0.1160967793
033,11197,0.1950391054
034,552,0.0096152171
035,517,0.0090055566
036,2393,0.0416833598
037,756,0.0131686669
038,5283,0.0920238987
039,2193,0.0381995854
040,1758,0.0306223763
041,607,0.0105732551
042,609,0.0106080928
