district_id,unit_count,share_of_units
001,1165,0.0137816001
002,1280,0.0151420155
003,1540,0.0182177375
004,1428,0.0168928111
005,1493,0.0176617416
006,1378,0.0163013261
007,1129,0.0133557309
008,1114,0.0131782854
009,934,0.0110489395
010,1569,0.0185607987
011,1001,0.0118415293
012,1334,0.0157808193
013,2135,0.0252564087
014,13565,0.1604698757
015,2589,0.0306270924
016,4692,0.0555049507
017,14887,0.1761087386
018,1722,0.0203707428
019,23585,0.2790034661
020,4766,0.0563803485
021,1227,0.0145150415
