geoid20,district_id,assign_method
32015000004,014,centroid
32015000006,014,centroid
32015000007,014,centroid
32015000005,014,centroid
32015000008,014,centroid
32015000009,014,centroid
32015000002,014,centroid
32015000003,014,centroid
32015000001,014,centroid
32031009126,015,centroid
32003001386,020,centroid
32003006713,011,centroid
32003004635,003,centroid
32003007528,007,centroid
32003003826,006,centroid
32003007695,012,centroid
32003003727,006,centroid
32003004522,002,centroid
32003002486,020,centroid
32003003733,003,centroid
32003007545,020,centroid
32003006681,003,centroid
32003002726,020,centroid
32003006708,008,centroid
32003002722,001,centroid
32003006732,011,centroid
32003002732,020,centroid
32003002711,018,centroid
32003005564,010,centroid
32003007652,005,centroid
32003002503,020,centroid
32003003702,003,centroid
32003007504,010,centroid
32003007615,005,centroid
32003001712,020,centroid
32003003722,003,centroid
32003006643,008,centroid
32003007502,010,centroid
32003003708,018,centroid
32003007530,007,centroid
32003003765,006,centroid
32003007674,005,centroid
32003002721,001,centroid
32003004616,004,centroid
32003007500,007,centroid
32003003782,006,centroid
32003001612,009,centroid
32003001903,020,centroid
32003006666,011,centroid
32003005578,021,centroid
32003004562,002,centroid
32003006486,011,centroid
32003002907,021,centroid
32003006721,011,centroid
32003002725,020,centroid
32003003852,003,centroid
32003004501,004,centroid
32003005512,002,centroid
32003007594,020,centroid
32003003729,019,centroid
32003002692,018,centroid
32003002724,001,centroid
32003003707,019,centroid
32003004552,002,centroid
32003007507,010,centroid
32003004652,004,centroid
32003006734,009,centroid
32003007625,005,centroid
32003007603,020,centroid
32003007605,005,centroid
32003004500,004,centroid
32003001651,010,centroid
32003002660,001,centroid
32003003755,006,centroid
32003003807,006,centroid
32003001618,011,centroid
32003002729,001,centroid
32003001692,010,centroid
32003003783,006,centroid
32003006685,009,centroid
32003003866,006,centroid
32003003815,003,centroid
32003002737,001,centroid
32003007672,012,centroid
32003002976,020,centroid
32003006751,011,centroid
32003001704,010,centroid
32003002624,018,centroid
32003003749,006,centroid
32003007574,020,centroid
32003002676,018,centroid
32003003906,019,centroid
32003006738,009,centroid
32003007562,020,centroid
32003007724,005,centroid
32003007684,012,centroid
32003001750,020,centroid
32003002605,018,centroid
32003003763,006,centroid
32003006601,008,centroid
32003001711,012,centroid
32003007632,012,centroid
32003003750,006,centroid
32003001613,009,centroid
32003004641,004,centroid
32003001644,010,centroid
32003002654,018,centroid
32003005583,010,centroid
32003006720,011,centroid
32003002978,020,centroid
32003004642,004,centroid
