geoid20,district_id,assign_method
32015000004,032,centroid
32015000006,032,centroid
32015000007,032,centroid
32015000005,032,centroid
32015000008,032,centroid
32015000009,032,centroid
32015000002,032,centroid
32015000003,032,centroid
32015000001,032,centroid
32031009126,025,centroid
32003001386,023,centroid
32003006713,008,centroid
32003004635,003,centroid
32003007528,018,centroid
32003003826,034,centroid
32003007695,021,centroid
32003003727,037,centroid
32003004522,028,centroid
32003002486,019,centroid
32003003733,003,centroid
32003007545,023,centroid
32003006681,010,centroid
32003002726,019,centroid
32003006708,005,centroid
32003002722,017,centroid
32003006732,035,centroid
32003002732,019,centroid
32003002711,004,centroid
32003005564,015,centroid
32003007652,022,centroid
32003002503,019,centroid
32003003702,003,centroid
32003007504,016,centroid
32003007615,029,centroid
32003001712,023,centroid
32003003722,003,centroid
32003006643,005,centroid
32003007502,015,centroid
32003003708,004,centroid
32003007530,018,centroid
32003003765,034,centroid
32003007674,029,centroid
32003002721,017,centroid
32003004616,006,centroid
32003007500,018,centroid
32003003782,034,centroid
32003001612,042,centroid
32003001903,023,centroid
32003006666,035,centroid
32003005578,014,centroid
32003004562,028,centroid
32003006486,035,centroid
32003002907,012,centroid
32003006721,008,centroid
32003002725,019,centroid
32003003852,003,centroid
32003004501,007,centroid
32003005512,028,centroid
32003007594,019,centroid
32003003729,036,centroid
32003002692,004,centroid
32003002724,017,centroid
32003003707,036,centroid
32003004552,028,centroid
32003007507,016,centroid
32003004652,006,centroid
32003006734,009,centroid
32003007625,022,centroid
32003007603,019,centroid
32003007605,022,centroid
32003004500,007,centroid
32003001651,016,centroid
32003002660,001,centroid
32003003755,034,centroid
32003003807,034,centroid
32003001618,008,centroid
32003002729,017,centroid
32003001692,016,centroid
32003003783,034,centroid
32003006685,042,centroid
32003003866,034,centroid
32003003815,003,centroid
32003002737,017,centroid
32003007672,021,centroid
32003002976,019,centroid
32003006751,035,centroid
32003001704,016,centroid
32003002624,013,centroid
32003003749,037,centroid
32003007574,019,centroid
32003002676,004,centroid
32003003906,036,centroid
32003006738,009,centroid
32003007562,023,centroid
32003007724,029,centroid
32003007684,021,centroid
32003001750,023,centroid
32003002605,013,centroid
32003003763,034,centroid
32003006601,005,centroid
32003001711,041,centroid
32003007632,021,centroid
32003003750,037,centroid
32003001613,042,centroid
32003004641,006,centroid
32003001644,016,centroid
32003002654,013,centroid
32003005583,015,centroid
32003006720,008,centroid
32003002978,019,centroid
32003004642,006,centroid
32003003804,034,centroid
32003007703,021,centroid
32003007663,021,centroid
32003004611,011,centroid
32003007732,029,centroid
32003005568,020,centroid
32003006703,002,centroid
32003002606,007,centroid
32003002631,013,centroid
32003002691,004,centroid
32003003823,003,centroid
32003001681,022,centroid
32003002612,013,centroid
32003003902,003,centroid
32003001553,041,centroid
32003006611,005,centroid
32003006649,009,centroid
32003002602,036,centroid
32003002616,001,centroid
32003005575,020,centroid
32003007642,022,centroid
32003002681,004,centroid
32003006614,010,centroid
32003003801,003,centroid
32003005614,020,centroid
32003006671,005,centroid
32003007730,029,centroid
32003007692,021,centroid
32003001722,023,centroid
32003007704,021,centroid
32003003760,003,centroid
32003006664,005,centroid
32003004615,011,centroid
32003003831,003,centroid
32003003775,034,centroid
32003005585,020,centroid
32003003719,037,centroid
32003007503,015,centroid
32003002775,019,centroid
32003006625,010,centroid
32003007623,029,centroid
32003007714,029,centroid
32003005623,020,centroid
32003006711,015,centroid
32003005603,020,centroid
32003001603,005,centroid
32003005531,012,centroid
32003002704,004,centroid
32003003787,037,centroid
32003005524,012,centroid
32003002633,036,centroid
32003007675,029,centroid
32003005598,015,centroid
32003003812,034,centroid
32003004540,028,centroid
32003001614,042,centroid
32003003736,037,centroid
32003003802,003,centroid
32003002662,013,centroid
32003002951,019,centroid
32003005330,012,centroid
32003005521,028,centroid
32003001655,016,centroid
32003001624,042,centroid
32003003751,037,centroid
32003004543,011,centroid
32003002706,004,centroid
32003007720,029,centroid
32003006914,035,centroid
32003003737,004,centroid
32003001929,023,centroid
32003003776,004,centroid
32003003875,036,centroid
32003003777,037,centroid
32003002683,004,centroid
32003006617,010,centroid
32003004606,011,centroid
32003003731,037,centroid
32003002685,004,centroid
32003004572,007,centroid
32003002977,036,centroid
32003003714,037,centroid
32003001912,023,centroid
32003003580,004,centroid
32003003581,004,centroid
32003001543,023,centroid
32003001905,023,centroid
32003002920,004,centroid
32003002969,019,centroid
32003006605,010,centroid
32003004902,011,centroid
32003007920,023,centroid
32003003915,004,centroid
32003005604,020,centroid
32003003990,036,centroid
32003003785,034,centroid
32003005616,012,centroid
