geoid10,neutral_id,assign_method,top_share
3200539,2,overlap_full,1.0000000000
3200540,2,overlap_full,1.0000000000
3200523,2,overlap_full,1.0000000000
3200534,2,overlap_full,1.0000000000
3200522,2,overlap_full,1.0000000000
3200533,2,overlap_full,1.0000000000
3200530,2,overlap_full,1.0000000000
3200529,2,overlap_full,1.0000000000
3200527,2,overlap_full,1.0000000000
3200531,2,overlap_full,1.0000000000
3200528,2,overlap_full,1.0000000000
3200532,2,overlap_full,1.0000000000
3201906,4,overlap_split,0.5489959227
3201901,2,overlap_full,1.0000000000
3201903,2,overlap_full,1.0000000000
3201902,2,overlap_split,0.9981196184
3201904,2,overlap_full,1.0000000000
3201905,2,overlap_full,1.0000000000
3201925,2,overlap_full,1.0000000000
3201912,2,overlap_full,1.0000000000
3201921,2,overlap_full,1.0000000000
3201908,4,overlap_split,0.9742556733
3201916,2,overlap_full,1.0000000000
3201918,2,overlap_full,1.0000000000
3201920,2,overlap_full,1.0000000000
3201934,2,overlap_full,1.0000000000
3201940,2,overlap_full,1.0000000000
3201931,2,overlap_full,1.0000000000
3201907,2,overlap_split,0.9999319227
3201919,2,overlap_full,1.0000000000
3201917,2,overlap_full,1.0000000000
3201915,2,overlap_full,1.0000000000
3201913,2,overlap_full,1.0000000000
3201914,2,overlap_full,1.0000000000
3201909,2,overlap_full,1.0000000000
3201910,2,overlap_full,1.0000000000
3201911,2,overlap_full,1.0000000000
3201922,2,overlap_full,1.0000000000
3201924,2,overlap_full,1.0000000000
3201926,2,overlap_full,1.0000000000
3201923,2,overlap_full,1.0000000000
3201928,2,overlap_full,1.0000000000
3201927,2,overlap_full,1.0000000000
3201929,2,overlap_full,1.0000000000
3201930,2,overlap_full,1.0000000000
3201932,2,overlap_full,1.0000000000
3201933,2,overlap_full,1.0000000000
3201935,2,overlap_full,1.0000000000
3201936,2,overlap_full,1.0000000000
3200107,2,overlap_full,1.0000000000
3201937,2,overlap_full,1.0000000000
3201938,2,overlap_full,1.0000000000
3200101,2,overlap_full,1.0000000000
3200102,2,overlap_full,1.0000000000
3200501,2,overlap_full,1.0000000000
3200516,2,overlap_full,1.0000000000
3200525,2,overlap_full,1.0000000000
3200519,2,overlap_full,1.0000000000
3201939,2,overlap_full,1.0000000000
3200103,2,overlap_full,1.0000000000
3200109,2,overlap_full,1.0000000000
3200104,2,overlap_full,1.0000000000
3200105,2,overlap_full,1.0000000000
3200106,2,overlap_full,1.0000000000
3200115,2,overlap_full,1.0000000000
3200111,2,overlap_full,1.0000000000
3200112,2,overlap_split,0.9999958622
3200512,2,overlap_full,1.0000000000
3200515,2,overlap_full,1.0000000000
3200502,2,overlap_full,1.0000000000
3200514,2,overlap_full,1.0000000000
3200517,2,overlap_full,1.0000000000
3200508,2,overlap_full,1.0000000000
3200108,2,overlap_full,1.0000000000
3200110,2,overlap_full,1.0000000000
3200118,2,overlap_full,1.0000000000
3200113,2,overlap_full,1.0000000000
3200116,2,overlap_split,0.9999978435
3200117,2,overlap_full,1.0000000000
3200119,2,overlap_full,1.0000000000
3200114,2,overlap_full,1.0000000000
3200115-03,2,overlap_full,1.0000000000
3200115-07,2,overlap_full,1.0000000000
3200518,2,overlap_full,1.0000000000
3200503,2,overlap_full,1.0000000000
3200504,2,overlap_full,1.0000000000
3200115-01,2,overlap_full,1.0000000000
3200115-02,2,overlap_full,1.0000000000
3200115-04,2,overlap_full,1.0000000000
3200115-05,2,overlap_full,1.0000000000
3200115-06,2,overlap_full,1.0000000000
3200115-09,2,overlap_full,1.0000000000
3200115-10,2,overlap_full,1.0000000000
3200107-01,2,overlap_full,1.0000000000
3200507,2,overlap_full,1.0000000000
3200513,2,overlap_full,1.0000000000
3200505,2,overlap_full,1.0000000000
3200526,2,overlap_full,1.0000000000
3200541,2,overlap_full,1.0000000000
3200108-01,2,overlap_full,1.0000000000
3200108-02,2,overlap_full,1.0000000000
3200112-01,2,overlap_full,1.0000000000
3200112-02,2,overlap_full,1.0000000000
3200112-03,2,overlap_full,1.0000000000
3200108-03,2,overlap_full,1.0000000000
3200115-08,2,overlap_full,1.0000000000
3200538,2,overlap_full,1.0000000000
3200537,2,overlap_full,1.0000000000
3200536,2,overlap_full,1.0000000000
3200535,2,overlap_full,1.0000000000
3200506,2,overlap_full,1.0000000000
3200509,2,overlap_full,1.0000000000
3200520,2,overlap_full,1.0000000000
3200510,2,overlap_full,1.0000000000
3200524,2,overlap_split,0.9979008362
3200511,2,overlap_full,1.0000000000
3200521,2,overlap_full,1.0000000000
32005ZZZZZZ,2,overlap_full,1.0000000000
320330030,2,overlap_split,0.9999996030
320330020,2,overlap_full,1.0000000000
320330015,2,overlap_full,1.0000000000
320330035,2,overlap_full,1.0000000000
320330010,2,overlap_full,1.0000000000
320330045,2,overlap_split,0.9999952911
320330050,2,overlap_split,0.9999981834
320330040,2,overlap_full,1.0000000000
320330005,2,overlap_full,1.0000000000
320330025,2,overlap_full,1.0000000000
320311035,2,overlap_full,1.0000000000
320311033,2,overlap_full,1.0000000000
320311014,2,overlap_full,1.0000000000
320314006,2,overlap_full,1.0000000000
320313011,2,overlap_full,1.0000000000
320313001,2,overlap_full,1.0000000000
320311028,2,overlap_full,1.0000000000
320318203,2,overlap_full,1.0000000000
320312049,2,overlap_full,1.0000000000
320318275,2,overlap_full,1.0000000000
320312004,2,overlap_full,1.0000000000
320312039,2,overlap_full,1.0000000000
320312007,2,overlap_full,1.0000000000
320313005,2,overlap_full,1.0000000000
320318234,2,overlap_full,1.0000000000
320313034,2,overlap_full,1.0000000000
320313006,2,overlap_full,1.0000000000
320313031,2,overlap_full,1.0000000000
320315006,2,overlap_full,1.0000000000
320313015,2,overlap_full,1.0000000000
320314000,2,overlap_full,1.0000000000
320314012,2,overlap_full,1.0000000000
320316203,2,overlap_full,1.0000000000
320311002,2,overlap_full,1.0000000000
320315016,2,overlap_full,1.0000000000
320319522,2,overlap_full,1.0000000000
320317100,2,overlap_full,1.0000000000
320319108,2,overlap_full,1.0000000000
320317524,2,overlap_full,1.0000000000
320316519,2,overlap_full,1.0000000000
320317306,2,overlap_full,1.0000000000
320317543,2,overlap_full,1.0000000000
320314043,2,overlap_full,1.0000000000
320319503,2,overlap_full,1.0000000000
320314015,2,overlap_full,1.0000000000
320319525,2,overlap_full,1.0000000000
320317414,2,overlap_full,1.0000000000
320316202,2,overlap_full,1.0000000000
320317305,2,overlap_full,1.0000000000
320317501,2,overlap_full,1.0000000000
320313017,2,overlap_full,1.0000000000
320313003,2,overlap_full,1.0000000000
320313000,2,overlap_full,1.0000000000
320317512,2,overlap_full,1.0000000000
320317308,2,overlap_full,1.0000000000
320316207,2,overlap_full,1.0000000000
320313021,2,overlap_full,1.0000000000
320313037,2,overlap_full,1.0000000000
320315027,2,overlap_full,1.0000000000
320315055,2,overlap_full,1.0000000000
320315029,2,overlap_full,1.0000000000
320311027,2,overlap_full,1.0000000000
320311017,2,overlap_full,1.0000000000
320319112,2,overlap_full,1.0000000000
320312006,2,overlap_full,1.0000000000
320312051,2,overlap_full,1.0000000000
320312011,2,overlap_full,1.0000000000
320312010,2,overlap_full,1.0000000000
320312028,2,overlap_full,1.0000000000
320312002,2,overlap_full,1.0000000000
320317539,2,overlap_full,1.0000000000
320317529,2,overlap_full,1.0000000000
320319516,2,overlap_full,1.0000000000
320317538,2,overlap_full,1.0000000000
320317525,2,overlap_full,1.0000000000
320319520,2,overlap_full,1.0000000000
320319527,2,overlap_full,1.0000000000
320319111,2,overlap_full,1.0000000000
320316423,2,overlap_full,1.0000000000
320316425,2,overlap_full,1.0000000000
320316404,2,overlap_full,1.0000000000
320313026,2,overlap_full,1.0000000000
320314039,2,overlap_full,1.0000000000
320317537,2,overlap_full,1.0000000000
320315047,2,overlap_full,1.0000000000
320315054,2,overlap_full,1.0000000000
320315039,2,overlap_full,1.0000000000
320318268,2,overlap_full,1.0000000000
320319109,2,overlap_full,1.0000000000
320311047,2,overlap_full,1.0000000000
