vtdidfp00,blk2010ge,alloc_weight
320010005,320019503023005,0.1539447981
320010005,320019503023006,0.0639770589
320010005,320019503023007,0.0019992831
320010005,320019503023008,0.0159942647
320010005,320019503023009,0.0439842280
320010005,320019503023010,0.1799354783
320010005,320019503023011,1.1882910648
320010005,320019503023012,0.1719383459
320010005,320019503023013,0.0099964155
320010005,320019503023014,0.1699390628
320010005,320019503023016,1.8454727797
320010005,320019503023017,0.7940547016
320010005,320019503023018,0.3604725187
320010005,320019503023020,2.0000000000
320010005,320019503023021,1.0000000000
320010005,320019503023022,0.4574337295
320010005,320019503023023,1.0000000000
320010005,320019503023027,1.0000000000
320010005,320019503023028,1.0000000000
320010005,320019503023029,1.5425662705
320010005,320019503023030,1.0166915749
320010005,320019503023031,1.0000000000
320010005,320019503023032,0.9833084251
320010005,320019503023033,1.0000000000
320010005,320019503023037,1.0000000000
320010005,320019503023038,1.0000000000
320010005,320019503025001,7.0000000000
320010005,320019503025002,0.4761904762
320010005,320019503025003,0.3958333333
320010005,320019503025004,0.5238095238
320010005,320019503025005,0.6041666667
320010005,320019503025006,2.0000000000
320010005,320019503025013,1.0000000000
320010005,320019503025014,0.8886559959
320010005,320019503025015,0.0182715108
320010005,320019503025016,0.0640667344
320010005,320019503025017,1.0000000000
320010005,320019503025018,1.0000000000
320010005,320019503025031,3.0000000000
320010005,320019503025032,1.0000000000
320010005,320019503025033,0.0290057588
320010005,320019503025035,2.0000000000
320010010,320019503011002,0.2195121951
320010010,320019503011005,1.0000000000
320010010,320019503011006,0.1571151621
320010010,320019503011010,1.0000000000
320010010,320019503011011,1.0000000000
320010010,320019503011012,1.0000000000
320010010,320019503011013,0.7804878049
320010010,320019503011017,1.0000000000
320010010,320019503011018,1.0000000000
320010010,320019503012006,0.9447513812
320010010,320019503012007,0.0552486188
320010010,320019503012012,0.0662389616
320010010,320019503012013,0.0251684020
320010010,320019503012014,0.1378790716
320010010,320019503012016,0.0164141752
320010010,320019503012017,1.1235432386
320010010,320019503012018,0.0120370618
320010010,320019503012019,1.0393991020
320010010,320019503012020,1.0485949895
320010010,320019503012022,0.0601853090
320010010,320019503012023,0.0120370618
320010010,320019503012024,0.0820708760
320010010,320019503012025,0.1663303086
320010010,320019503012026,1.0000000000
320010010,320019503012027,0.1028621645
320010010,320019503012028,0.0689395358
320010010,320019503012029,0.0382997421
320010010,320019503012030,1.0000000000
320010010,320019503012032,1.0000000000
320010010,320019503012033,1.0000000000
320010010,320019503012034,1.0000000000
320010010,320019503012035,1.0000000000
320010010,320019503012036,0.0180021116
320010010,320019503012037,0.0009383568
320010010,320019503012038,1.0000000000
320010010,320019503012039,1.0000000000
320010010,320019503012040,1.0000000000
320010010,320019503012041,0.9819753551
320010010,320019503012042,0.9116453325
320010010,320019503012043,0.0060729460
320010010,320019503012044,0.0040662846
320010010,320019503012045,0.0078854143
320010010,320019503012046,0.0883546675
320010010,320019503012050,0.0052230247
320010010,320019503012051,0.0578610712
320010010,320019503012053,1.0000000000
320010010,320019503023026,1.0000000000
320010010,320019503023036,0.3504394090
320010010,320019503024000,0.9085984438
320010010,320019503024001,1.0000000000
320010010,320019503024002,1.0000000000
320010010,320019503024003,1.0000000000
320010010,320019503024004,1.0000000000
320010010,320019503024005,1.0000000000
320010010,320019503024006,1.0000000000
320010010,320019503024007,0.9342863941
320010010,320019503025000,0.6486222342
320010010,320019503025019,1.0000000000
320010010,320019503025020,1.0000000000
320010010,320019503025021,1.0000000000
320010010,320019503025022,0.9819978884
320010010,320019503025023,0.8646163071
