district_id,unit_count,share_of_units
001,23,0.0108184384
002,34,0.0159924741
003,78,0.0366886171
004,58,0.0272812794
005,34,0.0159924741
006,39,0.0183443086
007,25,0.0117591722
008,15,0.0070555033
009,21,0.0098777046
010,47,0.0221072437
011,25,0.0117591722
012,30,0.0141110066
013,34,0.0159924741
014,35,0.0164628410
015,32,0.0150517404
016,36,0.0169332079
017,23,0.0108184384
018,29,0.0136406397
019,66,0.0310442145
020,35,0.0164628410
021,40,0.0188146754
022,32,0.0150517404
023,84,0.0395108184
024,58,0.0272812794
025,108,0.0507996237
026,159,0.0747883349
027,102,0.0479774224
028,28,0.0131702728
029,36,0.0169332079
030,65,0.0305738476
031,58,0.0272812794
032,118,0.0555032926
033,69,0.0324553151
034,36,0.0169332079
035,18,0.0084666040
036,56,0.0263405456
037,56,0.0263405456
038,84,0.0395108184
039,57,0.0268109125
040,69,0.0324553151
041,40,0.0188146754
042,34,0.0159924741
