file,kind,source,target,row_count,unmatched_count,columns
blk2020_to_bg2010_weighted.csv,assignment,blk2020,bg2010_weighted,57839,,blk2020ge|bg2010ge|alloc_weight
neutral_to_tabblock00.csv,assignment,neutral,tabblock00,60831,2,blkidfp00|neutral_id|assign_method
neutral_to_tabblock00_shares.csv,shares,neutral,tabblock00,4,0,neutral_id|unit_count|share_of_units
neutral_to_tabblock10.csv,assignment,neutral,tabblock10,84538,5,blkidfp10|neutral_id|assign_method
neutral_to_tabblock10_shares.csv,shares,neutral,tabblock10,4,0,neutral_id|unit_count|share_of_units
neutral_to_tabblock20.csv,assignment,neutral,tabblock20,57409,0,geoid20|neutral_id|assign_method
neutral_to_tabblock20_shares.csv,shares,neutral,tabblock20,4,0,neutral_id|unit_count|share_of_units
neutral_to_vtd10.csv,assignment,neutral,vtd10,2126,0,geoid10|neutral_id|assign_method
neutral_to_vtd10_shares.csv,shares,neutral,vtd10,4,0,neutral_id|unit_count|share_of_units
neutral_to_vtd20.csv,assignment,neutral,vtd20,2102,0,geoid20|neutral_id|assign_method
neutral_to_vtd20_shares.csv,shares,neutral,vtd20,4,0,neutral_id|unit_count|share_of_units
tabblock00_to_cd118.csv,assignment,tabblock00,cd118,60831,2,blkidfp00|district_id|assign_method
tabblock00_to_cd118_shares.csv,shares,tabblock00,cd118,4,0,district_id|unit_count|share_of_units
tabblock00_to_sldl.csv,assignment,tabblock00,sldl,60831,2,blkidfp00|district_id|assign_method
tabblock00_to_sldl_shares.csv,shares,tabblock00,sldl,42,0,district_id|unit_count|share_of_units
tabblock00_to_sldu.csv,assignment,tabblock00,sldu,60831,2,blkidfp00|district_id|assign_method
tabblock00_to_sldu_shares.csv,shares,tabblock00,sldu,21,0,district_id|unit_count|share_of_units
tabblock00_to_vtd00.csv,assignment,tabblock00,vtd00,60831,2,blkidfp00|statefp00|countyfp00|vtdidfp00|vtdst00|assign_method
tabblock10_to_cd118.csv,assignment,tabblock10,cd118,84538,5,geoid10|district_id|assign_method
tabblock10_to_cd118_shares.csv,shares,tabblock10,cd118,4,0,district_id|unit_count|share_of_units
tabblock10_to_sldl.csv,assignment,tabblock10,sldl,84538,5,geoid10|district_id|assign_method
tabblock10_to_sldl_shares.csv,shares,tabblock10,sldl,42,0,district_id|unit_count|share_of_units
tabblock10_to_sldu.csv,assignment,tabblock10,sldu,84538,5,geoid10|district_id|assign_method
tabblock10_to_sldu_shares.csv,shares,tabblock10,sldu,21,0,district_id|unit_count|share_of_units
tabblock20_to_cd118.csv,assignment,tabblock20,cd118,57409,0,geoid20|district_id|assign_method
tabblock20_to_cd118_shares.csv,shares,tabblock20,cd118,4,0,district_id|unit_count|share_of_units
tabblock20_to_sldl.csv,assignment,tabblock20,sldl,57409,0,geoid20|district_id|assign_method
tabblock20_to_sldl_shares.csv,shares,tabblock20,sldl,42,0,district_id|unit_count|share_of_units
tabblock20_to_sldu.csv,assignment,tabblock20,sldu,57409,0,geoid20|district_id|assign_method
tabblock20_to_sldu_shares.csv,shares,tabblock20,sldu,21,0,district_id|unit_count|share_of_units
vtd00_to_bg2020_weighted.csv,assignment,vtd00,bg2020_weighted,3964,,vtdidfp00|bg2020ge|alloc_weight
vtd00_to_blk2010_weighted.csv,assignment,vtd00,blk2010_weighted,77687,,vtdidfp00|blk2010ge|alloc_weight
vtd00_to_tabblock00_counts.csv,assignment,vtd00,tabblock00_counts,1274,,statefp00|countyfp00|vtdidfp00|vtdst00|tabblock00_count
vtd10_to_cd118.csv,assignment,vtd10,cd118,2126,0,geoid10|district_id|assign_method
vtd10_to_cd118_shares.csv,shares,vtd10,cd118,4,0,district_id|unit_count|share_of_units
vtd10_to_sldl.csv,assignment,vtd10,sldl,2126,0,geoid10|district_id|assign_method
vtd10_to_sldl_shares.csv,shares,vtd10,sldl,42,0,district_id|unit_count|share_of_units
vtd10_to_sldu.csv,assignment,vtd10,sldu,2126,0,geoid10|district_id|assign_method
vtd10_to_sldu_shares.csv,shares,vtd10,sldu,21,0,district_id|unit_count|share_of_units
vtd20_to_cd118.csv,assignment,vtd20,cd118,2102,0,geoid20|district_id|assign_method
vtd20_to_cd118_shares.csv,shares,vtd20,cd118,4,0,district_id|unit_count|share_of_units
vtd20_to_sldl.csv,assignment,vtd20,sldl,2102,0,geoid20|district_id|assign_method
vtd20_to_sldl_shares.csv,shares,vtd20,sldl,42,0,district_id|unit_count|share_of_units
vtd20_to_sldu.csv,assignment,vtd20,sldu,2102,0,geoid20|district_id|assign_method
vtd20_to_sldu_shares.csv,shares,vtd20,sldu,21,0,district_id|unit_count|share_of_units
