district_id,unit_count,share_of_units
001,26,0.0123691722
002,37,0.0176022835
003,54,0.0256898192
004,77,0.0366317793
005,35,0.0166508088
006,42,0.0199809705
007,29,0.0137963844
008,23,0.0109419600
009,23,0.0109419600
010,39,0.0185537583
011,29,0.0137963844
012,37,0.0176022835
013,45,0.0214081827
014,35,0.0166508088
015,27,0.0128449096
016,43,0.0204567079
017,33,0.0156993340
018,37,0.0176022835
019,73,0.0347288297
020,34,0.0161750714
021,40,0.0190294957
022,37,0.0176022835
023,86,0.0409134158
024,55,0.0261655566
025,86,0.0409134158
026,111,0.0528068506
027,100,0.0475737393
028,27,0.0128449096
029,37,0.0176022835
030,61,0.0290199810
031,65,0.0309229305
032,95,0.0451950523
033,70,0.0333016175
034,36,0.0171265461
035,30,0.0142721218
036,69,0.0328258801
037,56,0.0266412940
038,84,0.0399619410
039,57,0.0271170314
040,54,0.0256898192
041,38,0.0180780209
042,30,0.0142721218
