geoid10,district_id,assign_method
3200539,039,centroid
3200540,039,centroid
3200523,039,centroid
3200534,039,centroid
3200522,039,centroid
3200533,039,centroid
3200530,039,centroid
3200529,039,centroid
3200527,039,centroid
3200531,039,centroid
3200528,039,centroid
3200532,039,centroid
3201906,038,centroid
3201901,038,centroid
3201903,038,centroid
3201902,038,centroid
3201904,038,centroid
3201905,038,centroid
3201925,039,centroid
3201912,039,centroid
3201921,038,centroid
3201908,038,centroid
3201916,039,centroid
3201918,039,centroid
3201920,039,centroid
3201934,038,centroid
3201940,038,centroid
3201931,038,centroid
3201907,038,centroid
3201919,039,centroid
3201917,039,centroid
3201915,039,centroid
3201913,039,centroid
3201914,039,centroid
3201909,039,centroid
3201910,039,centroid
3201911,039,centroid
3201922,039,centroid
3201924,038,centroid
3201926,039,centroid
3201923,038,centroid
3201928,038,centroid
3201927,038,centroid
3201929,038,centroid
3201930,038,centroid
3201932,038,centroid
3201933,038,centroid
3201935,038,centroid
3201936,038,centroid
3200107,038,centroid
3201937,038,centroid
3201938,038,centroid
3200101,038,centroid
3200102,038,centroid
3200501,039,centroid
3200516,039,centroid
3200525,039,centroid
3200519,039,centroid
3201939,038,centroid
3200103,038,centroid
3200109,038,centroid
3200104,038,centroid
3200105,038,centroid
3200106,038,centroid
3200115,038,centroid
3200111,038,centroid
3200112,038,centroid
3200512,039,centroid
3200515,039,centroid
3200502,039,centroid
3200514,039,centroid
3200517,039,centroid
3200508,039,centroid
3200108,038,centroid
3200110,038,centroid
3200118,038,centroid
3200113,038,centroid
3200116,038,centroid
3200117,038,centroid
3200119,038,centroid
3200114,038,centroid
3200115-03,038,centroid
3200115-07,038,centroid
3200518,039,centroid
3200503,039,centroid
3200504,039,centroid
3200115-01,038,centroid
3200115-02,038,centroid
3200115-04,038,centroid
3200115-05,038,centroid
3200115-06,038,centroid
3200115-09,038,centroid
3200115-10,038,centroid
3200107-01,038,centroid
3200507,039,centroid
3200513,039,centroid
3200505,039,centroid
3200526,039,centroid
3200541,039,centroid
3200108-01,038,centroid
3200108-02,038,centroid
3200112-01,038,centroid
3200112-02,038,centroid
3200112-03,038,centroid
3200108-03,038,centroid
3200115-08,038,centroid
3200538,039,centroid
3200537,039,centroid
3200536,039,centroid
3200535,039,centroid
3200506,039,centroid
3200509,039,centroid
3200520,039,centroid
3200510,039,centroid
3200524,039,centroid
3200511,039,centroid
3200521,039,centroid
32005ZZZZZZ,039,centroid
320330030,033,centroid
320330020,033,centroid
320330015,033,centroid
320330035,033,centroid
320330010,033,centroid
320330045,033,centroid
320330050,033,centroid
320330040,033,centroid
320330005,033,centroid
320330025,033,centroid
320311035,024,centroid
320311033,024,centroid
320311014,025,centroid
320314006,024,centroid
320313011,024,centroid
320313001,024,centroid
320311028,024,centroid
320318203,026,centroid
320312049,024,centroid
320318275,026,centroid
320312004,024,centroid
320312039,025,centroid
320312007,024,centroid
320313005,024,centroid
320318234,024,centroid
320313034,030,centroid
320313006,030,centroid
320313031,024,centroid
320315006,027,centroid
320313015,024,centroid
320314000,024,centroid
320314012,027,centroid
320316203,030,centroid
320311002,025,centroid
320315016,027,centroid
320319522,027,centroid
320317100,025,centroid
320319108,032,centroid
320317524,032,centroid
320316519,031,centroid
320317306,027,centroid
320317543,032,centroid
320314043,027,centroid
320319503,027,centroid
320314015,032,centroid
320319525,027,centroid
320317414,031,centroid
320316202,030,centroid
320317305,027,centroid
320317501,027,centroid
320313017,030,centroid
320313003,030,centroid
320313000,030,centroid
320317512,030,centroid
320317308,030,centroid
320316207,030,centroid
320313021,030,centroid
320313037,024,centroid
320315027,024,centroid
320315055,027,centroid
320315029,027,centroid
320311027,025,centroid
320311017,024,centroid
320319112,025,centroid
320312006,024,centroid
320312051,024,centroid
320312011,024,centroid
320312010,024,centroid
320312028,025,centroid
320312002,024,centroid
320317539,032,centroid
320317529,032,centroid
320319516,032,centroid
320317538,032,centroid
320317525,032,centroid
320319520,032,centroid
320319527,032,centroid
320319111,026,centroid
320316423,031,centroid
320316425,031,centroid
320316404,031,centroid
320313026,024,centroid
320314039,031,centroid
320317537,027,centroid
320315047,026,centroid
320315054,026,centroid
320315039,026,centroid
320318268,026,centroid
320319109,026,centroid
320311047,025,centroid
320319504,025,centroid
320318130,025,centroid
320318118,025,centroid
320318265,026,centroid
320317508,027,centroid
320319514,027,centroid
320319412,032,centroid
320319227,026,centroid
320319228,026,centroid
320319240,026,centroid
320318288,026,centroid
320319234,026,centroid
320319233,026,centroid
320319237,026,centroid
320319224,040,centroid
320319223,040,centroid
320319236,040,centroid
320319222,040,centroid
320312024,026,centroid
320319533,032,centroid
320319217,026,centroid
320317429,032,centroid
320319418,032,centroid
320319419,032,centroid
320313009,024,centroid
320311003,025,centroid
320311006,024,centroid
320318280,025,centroid
320319103,024,centroid
320315020,024,centroid
320314013,024,centroid
320319212,026,centroid
320313010,024,centroid
320312009,025,centroid
320312017,025,centroid
320318205,026,centroid
320312021,025,centroid
320313022,024,centroid
320313024,024,centroid
320313028,025,centroid
320312008,024,centroid
320313029,024,centroid
320314014,027,centroid
320317507,027,centroid
320317551,027,centroid
320314023,027,centroid
320317307,027,centroid
320315012,027,centroid
320315026,027,centroid
320315014,025,centroid
320316411,031,centroid
320316302,030,centroid
320317540,032,centroid
320318230,026,centroid
320316300,030,centroid
320316400,030,centroid
320314028,032,centroid
320317416,031,centroid
320318111,026,centroid
320319106,026,centroid
320317509,027,centroid
320317531,032,centroid
320319521,032,centroid
320317422,032,centroid
320319404,032,centroid
320316505,030,centroid
320316509,030,centroid
320312000,024,centroid
320311036,024,centroid
320311037,024,centroid
320311019,024,centroid
320315056,024,centroid
320311039,024,centroid
320315057,024,centroid
320313014,024,centroid
320314029,032,centroid
