district_id,unit_count,share_of_units
001,46,0.0216368768
002,53,0.0249294450
003,125,0.0587958608
004,64,0.0301034807
005,68,0.0319849483
006,92,0.0432737535
007,64,0.0301034807
008,68,0.0319849483
009,55,0.0258701787
010,68,0.0319849483
011,33,0.0155221072
012,80,0.0376293509
013,123,0.0578551270
014,176,0.0827845720
015,210,0.0987770461
016,228,0.1072436500
017,141,0.0663217310
018,92,0.0432737535
019,125,0.0587958608
020,150,0.0705550329
021,65,0.0305738476
