statefp00,countyfp00,vtdidfp00,vtdst00,tabblock00_count
32,001,320010005,0005,40
32,001,320010010,0010,46
32,001,320010015,0015,42
32,001,320010020,0020,43
32,001,320010025,0025,53
32,001,320010030,0030,44
32,001,320010035,0035,44
32,001,320010040,0040,26
32,001,320010045,0045,197
32,001,320010050,0050,44
32,001,320010055,0055,37
32,001,320010060,0060,263
32,001,320010065,0065,57
32,001,320010070,0070,122
32,001,320010075,0075,244
32,001,320010080,0080,36
32,001,320010085,0085,224
32,001,320010090,0090,636
32,001,320010095,0095,185
32,003,320031001,1001,16
32,003,320031002,1002,18
32,003,320031003,1003,30
32,003,320031004,1004,37
32,003,320031005,1005,24
32,003,320031006,1006,21
32,003,320031007,1007,20
32,003,320031008,1008,19
32,003,320031009,1009,16
32,003,320031010,1010,11
32,003,320031011,1011,67
32,003,320031012,1012,25
32,003,320031013,1013,10
32,003,320031014,1014,29
32,003,320031015,1015,57
32,003,320031016,1016,21
32,003,320031017,1017,92
32,003,320031018,1018,211
32,003,320031019,1019,44
32,003,320031020,1020,9
32,003,320031021,1021,39
32,003,320031022,1022,41
32,003,320031023,1023,19
32,003,320031024,1024,25
32,003,320031026,1026,7
32,003,320031027,1027,23
32,003,320031028,1028,16
32,003,320031029,1029,34
32,003,320031030,1030,11
32,003,320031031,1031,45
32,003,320031032,1032,32
32,003,320031034,1034,75
32,003,320031035,1035,4
32,003,320031036,1036,15
32,003,320031037,1037,3
32,003,320031038,1038,5
32,003,320031039,1039,18
32,003,320031040,1040,16
32,003,320031041,1041,67
32,003,320031042,1042,75
32,003,320031043,1043,6
32,003,320031044,1044,6
32,003,320031045,1045,3
32,003,320031046,1046,20
32,003,320031047,1047,14
32,003,320031052,1052,5
32,003,320031053,1053,32
32,003,320031054,1054,54
32,003,320031055,1055,73
32,003,320031056,1056,37
32,003,320031057,1057,47
32,003,320031058,1058,30
32,003,320031059,1059,12
32,003,320031060,1060,12
32,003,320031061,1061,3
32,003,320031062,1062,319
32,003,320031063,1063,52
32,003,320031064,1064,54
32,003,320031065,1065,76
32,003,320031066,1066,19
32,003,320031069,1069,91
32,003,320031070,1070,2
32,003,320031071,1071,109
32,003,320031072,1072,323
32,003,320031073,1073,31
32,003,320031074,1074,61
32,003,320031076,1076,11
32,003,320031078,1078,1
32,003,320031079,1079,75
32,003,320031080,1080,28
32,003,320031081,1081,13
32,003,320031082,1082,38
32,003,320031083,1083,106
32,003,320031084,1084,22
32,003,320031085,1085,18
32,003,320031086,1086,25
32,003,320031087,1087,41
32,003,320031088,1088,34
32,003,320031089,1089,82
32,003,320031090,1090,47
32,003,320031091,1091,24
32,003,320031092,1092,29
32,003,320031093,1093,64
32,003,320031094,1094,66
32,003,320031095,1095,34
32,003,320031096,1096,17
32,003,320031097,1097,47
32,003,320031098,1098,12
32,003,320031099,1099,82
32,003,320031100,1100,28
32,003,320031101,1101,13
32,003,320031102,1102,14
32,003,320031103,1103,17
32,003,320031104,1104,18
32,003,320031105,1105,6
32,003,320031106,1106,16
32,003,320031107,1107,39
32,003,320031108,1108,18
32,003,320031109,1109,3
32,003,320031110,1110,27
32,003,320031111,1111,30
32,003,320031112,1112,12
32,003,320031113,1113,14
32,003,320031114,1114,28
32,003,320031115,1115,14
32,003,320031116,1116,22
32,003,320031117,1117,19
32,003,320031118,1118,38
32,003,320031119,1119,33
32,003,320031120,1120,102
32,003,320031122,1122,131
32,003,320031123,1123,8
32,003,320031124,1124,44
32,003,320031125,1125,29
32,003,320031126,1126,10
32,003,320031127,1127,47
32,003,320031128,1128,82
32,003,320032001,2001,12
32,003,320032002,2002,30
32,003,320032003,2003,142
32,003,320032004,2004,2
32,003,320032005,2005,12
32,003,320032006,2006,36
32,003,320032007,2007,37
32,003,320032008,2008,15
32,003,320032009,2009,69
32,003,320032010,2010,29
32,003,320032011,2011,53
32,003,320032012,2012,18
32,003,320032015,2015,25
32,003,320032016,2016,14
32,003,320032017,2017,3
32,003,320032018,2018,2
32,003,320032019,2019,8
32,003,320032020,2020,3
32,003,320032021,2021,4
32,003,320032022,2022,21
32,003,320032023,2023,19
32,003,320032024,2024,1
32,003,320032025,2025,132
32,003,320032026,2026,169
32,003,320032029,2029,41
32,003,320032033,2033,6
32,003,320032034,2034,58
32,003,320032035,2035,62
32,003,320032037,2037,33
32,003,320032038,2038,7
32,003,320032039,2039,17
32,003,320032042,2042,20
32,003,320032043,2043,12
32,003,320032044,2044,40
32,003,320032046,2046,19
32,003,320032047,2047,13
32,003,320032048,2048,16
32,003,320032049,2049,12
32,003,320032050,2050,1
32,003,320032051,2051,2
32,003,320032052,2052,1
32,003,320032053,2053,13
32,003,320032054,2054,3
32,003,320032055,2055,3
32,003,320032056,2056,4
32,003,320032057,2057,7
32,003,320032058,2058,14
32,003,320032059,2059,1
32,003,320032060,2060,6
32,003,320032061,2061,13
32,003,320032062,2062,18
32,003,320032063,2063,38
32,003,320032064,2064,2
32,003,320032065,2065,14
32,003,320032066,2066,24
32,003,320032067,2067,18
32,003,320032069,2069,23
32,003,320032070,2070,17
32,003,320032071,2071,35
32,003,320032072,2072,7
32,003,320032073,2073,29
32,003,320032074,2074,32
32,003,320032075,2075,32
32,003,320032076,2076,262
32,003,320032077,2077,65
32,003,320032078,2078,43
32,003,320032079,2079,1
32,003,320032082,2082,20
32,003,320032083,2083,6
32,003,320032084,2084,13
32,003,320032085,2085,23
32,003,320032087,2087,15
32,003,320032091,2091,5
32,003,320032095,2095,107
32,003,320032099,2099,16
32,003,320032102,2102,2
32,003,320032103,2103,6
32,003,320032104,2104,7
32,003,320032105,2105,12
32,003,320032106,2106,3
32,003,320032107,2107,11
32,003,320032108,2108,11
32,003,320032109,2109,10
32,003,320032110,2110,17
32,003,320032111,2111,6
32,003,320032112,2112,1
32,003,320032113,2113,18
32,003,320032114,2114,4
32,003,320032115,2115,54
32,003,320032116,2116,17
32,003,320032117,2117,10
32,003,320032118,2118,9
32,003,320032119,2119,20
32,003,320032120,2120,19
32,003,320032121,2121,4
32,003,320032122,2122,13
32,003,320032123,2123,16
32,003,320032124,2124,9
32,003,320032125,2125,21
32,003,320032126,2126,14
32,003,320032127,2127,14
32,003,320032128,2128,26
32,003,320032129,2129,18
32,003,320032130,2130,1
32,003,320032131,2131,15
32,003,320032132,2132,5
32,003,320032133,2133,25
32,003,320032134,2134,18
32,003,320032137,2137,2
32,003,320032140,2140,8
32,003,320032142,2142,1
32,003,320032147,2147,5
32,003,320033002,3002,40
32,003,320033003,3003,13
32,003,320033004,3004,25
32,003,320033005,3005,48
32,003,320033006,3006,24
32,003,320033007,3007,65
32,003,320033008,3008,58
32,003,320033009,3009,16
32,003,320033010,3010,24
32,003,320033012,3012,55
32,003,320033013,3013,49
32,003,320033014,3014,47
32,003,320033015,3015,32
32,003,320033016,3016,23
32,003,320033017,3017,17
32,003,320033018,3018,3
32,003,320033019,3019,13
32,003,320033021,3021,1
32,003,320033022,3022,5
32,003,320033023,3023,8
32,003,320033024,3024,8
32,003,320033025,3025,1
32,003,320033026,3026,28
32,003,320033027,3027,29
32,003,320033029,3029,3
32,003,320033030,3030,10
32,003,320033031,3031,14
32,003,320033032,3032,22
32,003,320033033,3033,19
32,003,320033034,3034,32
32,003,320033035,3035,12
32,003,320033036,3036,25
32,003,320033037,3037,14
32,003,320033038,3038,14
32,003,320033039,3039,27
32,003,320033040,3040,16
32,003,320033041,3041,82
32,003,320033042,3042,32
32,003,320033043,3043,32
32,003,320033044,3044,31
32,003,320033045,3045,20
32,003,320033046,3046,30
32,003,320033047,3047,5
32,003,320033048,3048,24
32,003,320033049,3049,36
32,003,320033050,3050,12
32,003,320033051,3051,14
32,003,320033053,3053,11
32,003,320033054,3054,1
32,003,320033055,3055,1
32,003,320033056,3056,2
32,003,320033057,3057,4
32,003,320033060,3060,10
32,003,320033061,3061,4
32,003,320033062,3062,1
32,003,320033063,3063,7
32,003,320033066,3066,8
32,003,320033068,3068,5
32,003,320033069,3069,24
32,003,320033070,3070,6
32,003,320033071,3071,32
32,003,320033072,3072,11
32,003,320033073,3073,14
32,003,320033074,3074,21
32,003,320033075,3075,17
32,003,320033076,3076,4
32,003,320033077,3077,6
32,003,320033078,3078,10
32,003,320033079,3079,11
32,003,320033080,3080,15
32,003,320033081,3081,9
32,003,320033082,3082,22
32,003,320033083,3083,27
32,003,320033084,3084,29
32,003,320033085,3085,28
32,003,320033086,3086,78
32,003,320033087,3087,19
32,003,320033088,3088,13
32,003,320033089,3089,22
32,003,320033090,3090,25
32,003,320033091,3091,8
32,003,320033092,3092,17
32,003,320033093,3093,13
32,003,320033095,3095,24
32,003,320033096,3096,1
32,003,320033097,3097,24
32,003,320033098,3098,11
32,003,320033099,3099,6
32,003,320033100,3100,9
32,003,320033101,3101,9
32,003,320033102,3102,26
32,003,320033103,3103,19
32,003,320033104,3104,10
32,003,320033105,3105,16
32,003,320033106,3106,18
32,003,320033107,3107,11
32,003,320033108,3108,11
32,003,320033109,3109,8
32,003,320033110,3110,15
32,003,320033111,3111,20
32,003,320033112,3112,4
32,003,320033113,3113,22
32,003,320033114,3114,10
32,003,320033115,3115,26
32,003,320033116,3116,4
32,003,320033117,3117,6
32,003,320033118,3118,9
32,003,320033119,3119,23
32,003,320033120,3120,11
32,003,320033121,3121,3
32,003,320033123,3123,1
32,003,320033124,3124,1
32,003,320033125,3125,12
32,003,320033126,3126,15
32,003,320033127,3127,11
32,003,320033128,3128,22
32,003,320033129,3129,22
32,003,320033130,3130,50
32,003,320033131,3131,15
32,003,320033133,3133,37
32,003,320033136,3136,38
32,003,320033137,3137,159
32,003,320033138,3138,26
32,003,320033139,3139,4
32,003,320033140,3140,3
32,003,320033141,3141,198
32,003,320033142,3142,3
32,003,320033143,3143,39
32,003,320033145,3145,68
32,003,320033146,3146,42
32,003,320033147,3147,2
32,003,320033151,3151,1
32,003,320033152,3152,5
32,003,320033154,3154,4
32,003,320033162,3162,4
32,003,320033165,3165,7
32,003,320033167,3167,3
32,003,320033170,3170,4
32,003,320033172,3172,3
32,003,320033173,3173,2
32,003,320033174,3174,6
32,003,320033175,3175,13
32,003,320033177,3177,4
32,003,320033178,3178,2
32,003,320033179,3179,2
32,003,320033180,3180,2
32,003,320033181,3181,12
32,003,320033183,3183,9
32,003,320033184,3184,6
32,003,320033185,3185,13
32,003,320033186,3186,10
32,003,320033187,3187,19
32,003,320033188,3188,15
32,003,320033195,3195,93
32,003,320034001,4001,26
32,003,320034002,4002,100
32,003,320034003,4003,44
32,003,320034004,4004,31
32,003,320034005,4005,103
32,003,320034007,4007,27
32,003,320034008,4008,31
32,003,320034009,4009,19
32,003,320034010,4010,14
32,003,320034011,4011,47
32,003,320034012,4012,3
32,003,320034013,4013,4
32,003,320034014,4014,5
32,003,320034015,4015,47
32,003,320034016,4016,9
32,003,320034017,4017,67
32,003,320034018,4018,51
32,003,320034019,4019,2
32,003,320034020,4020,16
32,003,320034021,4021,14
32,003,320034022,4022,2
32,003,320034023,4023,2
32,003,320034024,4024,12
32,003,320034025,4025,11
32,003,320034026,4026,21
32,003,320034027,4027,10
