district_id,unit_count,share_of_units
001,1345,0.0234283823
002,1230,0.0214252121
003,1516,0.0264070094
004,1428,0.0248741487
005,1551,0.0270166699
006,1308,0.0227838841
007,1121,0.0195265551
008,1111,0.0193523664
009,1084,0.0188820568
010,1452,0.0252922016
011,1093,0.0190388267
012,1222,0.0212858611
013,1870,0.0325732899
014,7577,0.1319827902
015,1885,0.0328345730
016,3153,0.0549217022
017,7476,0.1302234841
018,1849,0.0322074936
019,13590,0.2367224651
020,3285,0.0572209932
021,1263,0.0220000348
