geoid20,district_id,assign_method
320279601002217,032,centroid
320079517002113,033,centroid
320079517002144,033,centroid
320079517002141,033,centroid
320079517002115,033,centroid
320079517002467,033,centroid
320079517002830,032,centroid
320079517002289,033,centroid
320130106001216,032,centroid
320130106001390,032,centroid
320079517002241,032,centroid
320079517001000,032,centroid
320239602001040,033,centroid
320079517002617,033,centroid
320239805001057,033,centroid
325100008003024,040,centroid
320079516001145,033,centroid
320179502002194,033,centroid
320079517002532,033,centroid
320130105011421,032,centroid
320079517002594,033,centroid
320079517002238,032,centroid
320079517002237,032,centroid
320079517002326,033,centroid
320130105011106,032,centroid
320130106002025,032,centroid
320079515003510,033,centroid
320079517003155,033,centroid
320130106001004,032,centroid
320079517002444,033,centroid
320050023001104,039,centroid
320079515003566,033,centroid
320079507021531,033,centroid
320030056151013,019,centroid
320130105012371,032,centroid
320079516001079,033,centroid
320079517001084,032,centroid
320239805001048,033,centroid
320099501001194,038,centroid
320339701001013,033,centroid
320079517001088,032,centroid
320079517002205,032,centroid
320130105012693,032,centroid
320079517003056,033,centroid
320079515003049,033,centroid
320079517002394,033,centroid
320179502001026,033,centroid
320079517002005,033,centroid
320030056151021,019,centroid
320079517002046,033,centroid
320079507021106,032,centroid
320310026111012,032,centroid
320079515003490,033,centroid
320079515003123,033,centroid
320079517002440,033,centroid
320219708001248,038,centroid
320019501001115,038,centroid
320030076002041,019,centroid
320079515003413,033,centroid
320110001001153,033,centroid
320079515002083,033,centroid
320239805001004,033,centroid
320079517002478,033,centroid
320239603002006,033,centroid
320030076003116,019,centroid
320130106001146,032,centroid
320079517003151,033,centroid
320130105011122,032,centroid
320079515003251,033,centroid
320319901000005,032,centroid
320079515003005,033,centroid
320079507021532,033,centroid
320310035011041,032,centroid
320079517002025,033,centroid
320019501001016,038,centroid
320310023021062,025,centroid
320199602062031,038,centroid
320219708001211,038,centroid
320310025001018,027,centroid
320079515003116,033,centroid
320079517002646,033,centroid
320079517002424,033,centroid
320079507021094,033,centroid
320079517002311,033,centroid
320079507021089,033,centroid
320019501001211,038,centroid
320030057032220,023,centroid
320079512021022,033,centroid
