county,precinct,office,district,candidate,votes,party
Carson City,Carson City-Precinct 101,COUNTY QUESTION CC1,,No,520,
Carson City,Carson City-Precinct 101,COUNTY QUESTION CC1,,Yes,317,
Carson City,Carson City-Precinct 101,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,193,
Carson City,Carson City-Precinct 101,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",553,
Carson City,Carson City-Precinct 101,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",586,
Carson City,Carson City-Precinct 101,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,183,
Carson City,Carson City-Precinct 101,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,190,
Carson City,Carson City-Precinct 101,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",562,
Carson City,Carson City-Precinct 101,Mayor of Carson City,,"CARVER, CHRIS",338,
Carson City,Carson City-Precinct 101,Mayor of Carson City,,"CROWELL, ROBERT BOB""""",418,
Carson City,Carson City-Precinct 101,President,,"CASTLE, DARRELL",5,IAP
Carson City,Carson City-Precinct 101,President,,"CLINTON, HILLARY",354,DEM
Carson City,Carson City-Precinct 101,President,,"DE LA FUENTE, ROQUE ROCKY""""",3,NPP
Carson City,Carson City-Precinct 101,President,,"JOHNSON, GARY",39,LPN
Carson City,Carson City-Precinct 101,President,,None Of These Candidates,39,
Carson City,Carson City-Precinct 101,President,,"TRUMP, DONALD J.",419,REP
Carson City,Carson City-Precinct 101,School Trustee Dist. 5,,"REYNOLDS, STEVEN",278,
Carson City,Carson City-Precinct 101,School Trustee Dist. 5,,"WALKER, MICHAEL B.",394,
Carson City,Carson City-Precinct 101,School Trustee Dist. 6,,"HART, SUSAN",650,
Carson City,Carson City-Precinct 101,"State Assembly, District 40",,"GREEDY, MICHAEL L.",305,DEM
Carson City,Carson City-Precinct 101,"State Assembly, District 40",,"KRAMER, AL",435,REP
Carson City,Carson City-Precinct 101,"State Assembly, District 40",,"WAGNER, JOHN",75,IAP
Carson City,Carson City-Precinct 101,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",345,
Carson City,Carson City-Precinct 101,"State Board of Education, Dist. 2",,"HICKEY, PAT",354,
Carson City,Carson City-Precinct 101,STATE QUESTION NO.1,,No,523,
Carson City,Carson City-Precinct 101,STATE QUESTION NO.1,,Yes,321,
Carson City,Carson City-Precinct 101,STATE QUESTION NO.2,,No,391,
Carson City,Carson City-Precinct 101,STATE QUESTION NO.2,,Yes,454,
Carson City,Carson City-Precinct 101,STATE QUESTION NO.3,,No,292,
Carson City,Carson City-Precinct 101,STATE QUESTION NO.3,,Yes,527,
Carson City,Carson City-Precinct 101,STATE QUESTION NO.4,,No,265,
Carson City,Carson City-Precinct 101,STATE QUESTION NO.4,,Yes,559,
Carson City,Carson City-Precinct 101,"Supervisor, Ward 2",,"BONKOWSKI, BRAD",430,
Carson City,Carson City-Precinct 101,"Supervisor, Ward 2",,"WHITE, MAURICE",304,
Carson City,Carson City-Precinct 101,"Supervisor, Ward 4",,"BARRETTE, JOHN",383,
Carson City,Carson City-Precinct 101,"Supervisor, Ward 4",,"SHIRK, JIM",346,
Carson City,Carson City-Precinct 101,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",582,
Carson City,Carson City-Precinct 101,"Supreme Court Justice, Seat A",,None Of These Candidates,174,
Carson City,Carson City-Precinct 101,"Supreme Court Justice, Seat E",,None Of These Candidates,189,
Carson City,Carson City-Precinct 101,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",571,
Carson City,Carson City-Precinct 101,U.S. House,2,"Amodei, Mark E.",450,REP
Carson City,Carson City-Precinct 101,U.S. House,2,"EVANS, H.D. CHIP""""",327,DEM
Carson City,Carson City-Precinct 101,U.S. House,2,"Everhart, John H.",26,IAP
Carson City,Carson City-Precinct 101,U.S. House,2,"KNIGHT, DREW",22,
Carson City,Carson City-Precinct 101,U.S. Senate,,"CORTEZ MASTO, CATHERINE",342,DEM
Carson City,Carson City-Precinct 101,U.S. Senate,,"GUMINA, TONY",6,
Carson City,Carson City-Precinct 101,U.S. Senate,,"HECK, JOE",410,REP
Carson City,Carson City-Precinct 101,U.S. Senate,,"JONES, TOM",17,IAP
Carson City,Carson City-Precinct 101,U.S. Senate,,None Of These Candidates,40,
Carson City,Carson City-Precinct 101,U.S. Senate,,"SAWYER, THOMAS TOM""""",28,
Carson City,Carson City-Precinct 101,U.S. Senate,,"WILLIAMS, JARROD M.",6,
Carson City,Carson City-Precinct 101,"University Board of Regents, Dist. 9",,"DEL CARLO, CAROL",351,
Carson City,Carson City-Precinct 101,"University Board of Regents, Dist. 9",,"LAFRANCE, SARA",380,
Carson City,Carson City-Precinct 103,COUNTY QUESTION CC1,,No,528,
Carson City,Carson City-Precinct 103,COUNTY QUESTION CC1,,Yes,401,
Carson City,Carson City-Precinct 103,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,162,
Carson City,Carson City-Precinct 103,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",659,
Carson City,Carson City-Precinct 103,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",681,
Carson City,Carson City-Precinct 103,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,147,
Carson City,Carson City-Precinct 103,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,159,
Carson City,Carson City-Precinct 103,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",647,
Carson City,Carson City-Precinct 103,Mayor of Carson City,,"CARVER, CHRIS",384,
Carson City,Carson City-Precinct 103,Mayor of Carson City,,"CROWELL, ROBERT BOB""""",516,
Carson City,Carson City-Precinct 103,President,,"CASTLE, DARRELL",6,IAP
Carson City,Carson City-Precinct 103,President,,"CLINTON, HILLARY",392,DEM
Carson City,Carson City-Precinct 103,President,,"DE LA FUENTE, ROQUE ROCKY""""",1,NPP
Carson City,Carson City-Precinct 103,President,,"JOHNSON, GARY",25,LPN
Carson City,Carson City-Precinct 103,President,,None Of These Candidates,37,
Carson City,Carson City-Precinct 103,President,,"TRUMP, DONALD J.",476,REP
Carson City,Carson City-Precinct 103,School Trustee Dist. 5,,"REYNOLDS, STEVEN",364,
Carson City,Carson City-Precinct 103,School Trustee Dist. 5,,"WALKER, MICHAEL B.",390,
Carson City,Carson City-Precinct 103,School Trustee Dist. 6,,"HART, SUSAN",696,
Carson City,Carson City-Precinct 103,"State Assembly, District 40",,"GREEDY, MICHAEL L.",307,DEM
Carson City,Carson City-Precinct 103,"State Assembly, District 40",,"KRAMER, AL",554,REP
Carson City,Carson City-Precinct 103,"State Assembly, District 40",,"WAGNER, JOHN",45,IAP
Carson City,Carson City-Precinct 103,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",365,
Carson City,Carson City-Precinct 103,"State Board of Education, Dist. 2",,"HICKEY, PAT",417,
Carson City,Carson City-Precinct 103,STATE QUESTION NO.1,,No,578,
Carson City,Carson City-Precinct 103,STATE QUESTION NO.1,,Yes,355,
Carson City,Carson City-Precinct 103,STATE QUESTION NO.2,,No,531,
Carson City,Carson City-Precinct 103,STATE QUESTION NO.2,,Yes,398,
Carson City,Carson City-Precinct 103,STATE QUESTION NO.3,,No,452,
Carson City,Carson City-Precinct 103,STATE QUESTION NO.3,,Yes,462,
Carson City,Carson City-Precinct 103,STATE QUESTION NO.4,,No,361,
Carson City,Carson City-Precinct 103,STATE QUESTION NO.4,,Yes,549,
Carson City,Carson City-Precinct 103,"Supervisor, Ward 2",,"BONKOWSKI, BRAD",489,
Carson City,Carson City-Precinct 103,"Supervisor, Ward 2",,"WHITE, MAURICE",364,
Carson City,Carson City-Precinct 103,"Supervisor, Ward 4",,"BARRETTE, JOHN",469,
Carson City,Carson City-Precinct 103,"Supervisor, Ward 4",,"SHIRK, JIM",389,
Carson City,Carson City-Precinct 103,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",680,
Carson City,Carson City-Precinct 103,"Supreme Court Justice, Seat A",,None Of These Candidates,157,
Carson City,Carson City-Precinct 103,"Supreme Court Justice, Seat E",,None Of These Candidates,159,
Carson City,Carson City-Precinct 103,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",666,
Carson City,Carson City-Precinct 103,U.S. House,2,"Amodei, Mark E.",560,REP
Carson City,Carson City-Precinct 103,U.S. House,2,"EVANS, H.D. CHIP""""",343,DEM
Carson City,Carson City-Precinct 103,U.S. House,2,"Everhart, John H.",9,IAP
Carson City,Carson City-Precinct 103,U.S. House,2,"KNIGHT, DREW",13,
Carson City,Carson City-Precinct 103,U.S. Senate,,"CORTEZ MASTO, CATHERINE",389,DEM
Carson City,Carson City-Precinct 103,U.S. Senate,,"GUMINA, TONY",7,
Carson City,Carson City-Precinct 103,U.S. Senate,,"HECK, JOE",503,REP
Carson City,Carson City-Precinct 103,U.S. Senate,,"JONES, TOM",11,IAP
Carson City,Carson City-Precinct 103,U.S. Senate,,None Of These Candidates,17,
Carson City,Carson City-Precinct 103,U.S. Senate,,"SAWYER, THOMAS TOM""""",3,
Carson City,Carson City-Precinct 103,U.S. Senate,,"WILLIAMS, JARROD M.",1,
Carson City,Carson City-Precinct 103,"University Board of Regents, Dist. 9",,"DEL CARLO, CAROL",425,
Carson City,Carson City-Precinct 103,"University Board of Regents, Dist. 9",,"LAFRANCE, SARA",387,
Carson City,Carson City-Precinct 105,COUNTY QUESTION CC1,,No,652,
Carson City,Carson City-Precinct 105,COUNTY QUESTION CC1,,Yes,409,
Carson City,Carson City-Precinct 105,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,198,
Carson City,Carson City-Precinct 105,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",709,
Carson City,Carson City-Precinct 105,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",773,
Carson City,Carson City-Precinct 105,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,150,
Carson City,Carson City-Precinct 105,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,193,
Carson City,Carson City-Precinct 105,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",715,
Carson City,Carson City-Precinct 105,Mayor of Carson City,,"CARVER, CHRIS",441,
Carson City,Carson City-Precinct 105,Mayor of Carson City,,"CROWELL, ROBERT BOB""""",567,
Carson City,Carson City-Precinct 105,President,,"CASTLE, DARRELL",8,IAP
Carson City,Carson City-Precinct 105,President,,"CLINTON, HILLARY",375,DEM
Carson City,Carson City-Precinct 105,President,,"DE LA FUENTE, ROQUE ROCKY""""",1,NPP
Carson City,Carson City-Precinct 105,President,,"JOHNSON, GARY",39,LPN
Carson City,Carson City-Precinct 105,President,,None Of These Candidates,51,
Carson City,Carson City-Precinct 105,President,,"TRUMP, DONALD J.",608,REP
Carson City,Carson City-Precinct 105,School Trustee Dist. 5,,"REYNOLDS, STEVEN",372,
Carson City,Carson City-Precinct 105,School Trustee Dist. 5,,"WALKER, MICHAEL B.",452,
Carson City,Carson City-Precinct 105,School Trustee Dist. 6,,"HART, SUSAN",769,
Carson City,Carson City-Precinct 105,"State Assembly, District 40",,"GREEDY, MICHAEL L.",295,DEM
Carson City,Carson City-Precinct 105,"State Assembly, District 40",,"KRAMER, AL",707,REP
Carson City,Carson City-Precinct 105,"State Assembly, District 40",,"WAGNER, JOHN",47,IAP
Carson City,Carson City-Precinct 105,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",417,
Carson City,Carson City-Precinct 105,"State Board of Education, Dist. 2",,"HICKEY, PAT",450,
Carson City,Carson City-Precinct 105,STATE QUESTION NO.1,,No,686,
Carson City,Carson City-Precinct 105,STATE QUESTION NO.1,,Yes,387,
Carson City,Carson City-Precinct 105,STATE QUESTION NO.2,,No,736,
Carson City,Carson City-Precinct 105,STATE QUESTION NO.2,,Yes,335,
Carson City,Carson City-Precinct 105,STATE QUESTION NO.3,,No,516,
Carson City,Carson City-Precinct 105,STATE QUESTION NO.3,,Yes,537,
Carson City,Carson City-Precinct 105,STATE QUESTION NO.4,,No,396,
Carson City,Carson City-Precinct 105,STATE QUESTION NO.4,,Yes,655,
Carson City,Carson City-Precinct 105,"Supervisor, Ward 2",,"BONKOWSKI, BRAD",601,
Carson City,Carson City-Precinct 105,"Supervisor, Ward 2",,"WHITE, MAURICE",372,
Carson City,Carson City-Precinct 105,"Supervisor, Ward 4",,"BARRETTE, JOHN",516,
Carson City,Carson City-Precinct 105,"Supervisor, Ward 4",,"SHIRK, JIM",453,
Carson City,Carson City-Precinct 105,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",768,
Carson City,Carson City-Precinct 105,"Supreme Court Justice, Seat A",,None Of These Candidates,167,
Carson City,Carson City-Precinct 105,"Supreme Court Justice, Seat E",,None Of These Candidates,185,
Carson City,Carson City-Precinct 105,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",741,
Carson City,Carson City-Precinct 105,U.S. House,2,"Amodei, Mark E.",718,REP
Carson City,Carson City-Precinct 105,U.S. House,2,"EVANS, H.D. CHIP""""",316,DEM
Carson City,Carson City-Precinct 105,U.S. House,2,"Everhart, John H.",18,IAP
Carson City,Carson City-Precinct 105,U.S. House,2,"KNIGHT, DREW",14,
Carson City,Carson City-Precinct 105,U.S. Senate,,"CORTEZ MASTO, CATHERINE",374,DEM
Carson City,Carson City-Precinct 105,U.S. Senate,,"GUMINA, TONY",2,
Carson City,Carson City-Precinct 105,U.S. Senate,,"HECK, JOE",669,REP
Carson City,Carson City-Precinct 105,U.S. Senate,,"JONES, TOM",9,IAP
Carson City,Carson City-Precinct 105,U.S. Senate,,None Of These Candidates,17,
Carson City,Carson City-Precinct 105,U.S. Senate,,"SAWYER, THOMAS TOM""""",7,
Carson City,Carson City-Precinct 105,U.S. Senate,,"WILLIAMS, JARROD M.",0,
Carson City,Carson City-Precinct 105,"University Board of Regents, Dist. 9",,"DEL CARLO, CAROL",418,
Carson City,Carson City-Precinct 105,"University Board of Regents, Dist. 9",,"LAFRANCE, SARA",486,
Carson City,Carson City-Precinct 107,COUNTY QUESTION CC1,,No,638,
Carson City,Carson City-Precinct 107,COUNTY QUESTION CC1,,Yes,437,
Carson City,Carson City-Precinct 107,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,217,
Carson City,Carson City-Precinct 107,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",727,
Carson City,Carson City-Precinct 107,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",767,
Carson City,Carson City-Precinct 107,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,193,
Carson City,Carson City-Precinct 107,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,215,
Carson City,Carson City-Precinct 107,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",728,
Carson City,Carson City-Precinct 107,Mayor of Carson City,,"CARVER, CHRIS",444,
Carson City,Carson City-Precinct 107,Mayor of Carson City,,"CROWELL, ROBERT BOB""""",557,
Carson City,Carson City-Precinct 107,President,,"CASTLE, DARRELL",8,IAP
Carson City,Carson City-Precinct 107,President,,"CLINTON, HILLARY",376,DEM
Carson City,Carson City-Precinct 107,President,,"DE LA FUENTE, ROQUE ROCKY""""",1,NPP
Carson City,Carson City-Precinct 107,President,,"JOHNSON, GARY",39,LPN
Carson City,Carson City-Precinct 107,President,,None Of These Candidates,50,
Carson City,Carson City-Precinct 107,President,,"TRUMP, DONALD J.",617,REP
Carson City,Carson City-Precinct 107,School Trustee Dist. 5,,"REYNOLDS, STEVEN",398,
Carson City,Carson City-Precinct 107,School Trustee Dist. 5,,"WALKER, MICHAEL B.",424,
