district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,657677,275178,382561,174490,126780,2300,41613,4545,10514,10237,3551,6535,1991,7834,48159,139007,471317,163940,307416,152187,94013,1691,35945,3250,6259,5581,2973,4016,1519,6174,39967,101120
2,742104,155926,586174,500863,14888,9861,26576,3202,5049,6817,9566,9062,309,19730,35638,22014,580253,97541,482705,419538,12548,8107,21380,2249,2894,3274,7301,5223,213,15615,26604,16035
3,751092,151654,599339,372259,68100,2740,100049,7164,14800,13443,4174,15671,928,7862,115698,82462,584069,101983,482034,314611,51564,2149,81123,5385,8446,6117,3477,8384,785,6440,89499,58460
4,749394,164806,584629,394181,75021,3633,65520,5639,10310,11575,4320,13706,721,8668,79237,87327,587864,109414,478470,335164,56865,2952,54859,4755,6127,5879,3541,7794,487,6966,62654,63230
