statefp20,countyfp20,county_geoid20,county_name,CVAP_TOT24
32,001,32001,Churchill County,19577
32,003,32003,Clark County,1591784
32,005,32005,Douglas County,41241
32,007,32007,Elko County,37141
32,009,32009,Esmeralda County,837
32,011,32011,Eureka County,1274
32,013,32013,Humboldt County,12092
32,015,32015,Lander County,4116
32,017,32017,Lincoln County,3495
32,019,32019,Lyon County,47117
32,021,32021,Mineral County,3581
32,023,32023,Nye County,43260
32,027,32027,Pershing County,5082
32,029,32029,Storey County,3484
32,031,32031,Washoe County,359389
32,033,32033,White Pine County,6882
32,510,32510,Carson City,43180
