district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,112633,37.36,22.67,24.97,0.28,9.18,0.78,1.95
2,District 2,73491,25.38,18.01,47.99,0.4,4.25,0.6,0.56
3,District 3,95626,43.36,14.87,30.47,0.3,6.3,0.45,1.47
4,District 4,87684,22.58,28.83,38.16,0.69,4.52,0.97,1.36
5,District 5,117778,62.98,7.87,15.72,0.5,8.66,0.49,0.93
6,District 6,111618,56.57,9.29,20.71,0.26,8.14,0.82,1.28
7,District 7,93641,42.09,12.63,31.48,0.41,8.43,0.48,1.05
8,District 8,110326,55.25,9.87,15.11,0.31,13.99,0.74,1.29
9,District 9,108122,44.57,11.15,17.75,0.48,20.86,1.27,1.08
10,District 10,95423,41.71,16.66,23.06,0.21,12.08,1.23,1.43
11,District 11,112640,42.5,10.22,15.26,0.27,25.15,1.16,2.29
12,District 12,114230,52.18,7.86,18.65,0.48,14.09,1.72,1.6
13,District 13,97332,59.86,3.76,25.66,0.85,5.48,0.72,0.63
14,District 14,109844,72.81,1.38,17.5,2.05,3.46,0.47,0.38
15,District 15,106773,69.67,2.89,17.43,0.67,5.27,0.34,0.88
16,District 16,114033,77.49,1.9,12.23,0.82,3.71,0.41,0.38
17,District 17,115599,79.16,1.32,12.28,2.1,1.7,0.11,0.37
18,District 18,117480,57.97,11.68,17.73,0.34,6.86,0.63,1.2
19,District 19,121439,71.23,4.55,14.58,1.77,3.78,0.67,0.39
20,District 20,118610,73.11,4.12,12.25,0.32,6.52,0.45,0.81
21,District 21,89181,36.49,11.01,39.72,0.13,8.31,0.21,1.11
