district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,682861,215855,467001,303763,69486,2284,52284,4043,8799,10264,3732,11232,1376,7339,63483,81158,516570,133220,383349,260760,53695,1618,43370,2928,4930,5385,3095,6585,1168,5914,49908,60268
2,742127,155928,586197,500885,14888,9861,26572,3202,5049,6817,9566,9064,309,19732,35634,22014,580269,97544,482720,419553,12548,8107,21378,2249,2894,3274,7301,5223,213,15618,26599,16035
3,735811,145017,590793,337837,77025,2433,116488,8002,15133,14284,3577,15254,562,6578,131781,91877,578865,99653,479209,288452,57851,2093,96188,6615,9112,6604,3113,8622,452,5658,104845,64917
4,739468,230764,508712,299308,123390,3956,38414,5303,11692,10707,4736,9424,1702,10445,47834,135761,547799,142461,405347,252735,90896,3081,32371,3847,6790,5588,3783,4987,1171,8005,37372,97625
