district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,155748,45050,110741,52216,35067,386,12017,1184,3917,2138,727,2725,290,1378,14750,37490,112633,28120,84552,42075,25536,319,10337,884,2191,1053,725,1208,245,1256,11534,26812
2,109621,62137,47530,20771,17878,536,3998,494,755,1474,699,566,432,1673,4571,19744,73491,35269,38258,18649,13238,293,3122,444,414,757,628,462,294,1228,3585,14259
3,127803,46997,80816,46675,19615,488,7415,540,2249,1652,665,1294,250,1393,8737,21525,95626,29135,66524,41463,14222,290,6021,428,1408,1083,569,923,136,987,6954,15432
4,126023,55693,70295,22708,35051,799,4498,1541,1782,2116,850,477,415,2072,4965,37611,87684,33457,54191,19797,25275,606,3966,847,1190,1249,586,294,344,1521,4251,26899
5,151086,28348,122752,88642,11716,840,12236,924,1957,2224,983,3066,183,1976,15297,14066,117778,18512,99295,74176,9269,584,10197,573,1099,1171,731,1344,190,1483,11552,10562
6,140948,36721,104262,71824,13262,309,10401,1039,2124,1954,538,2484,274,1113,12888,15478,111618,23117,88505,63145,10367,293,9090,918,1432,870,501,1662,188,986,10745,11434
7,124453,47619,77003,42926,16142,466,9817,581,1680,2283,601,1822,617,1714,11651,19123,93641,29481,64197,39411,11828,387,7891,454,985,1087,490,1108,458,1363,9007,13465
8,138176,23702,114449,72167,13996,440,18291,1028,2027,2366,736,3389,44,1228,21671,16410,110326,16666,93637,60952,10892,344,15436,821,1421,1324,589,1822,40,978,17261,12256
9,136009,26268,109770,56183,16283,549,27148,1453,2498,2587,512,2563,46,1109,29703,18913,108122,19190,88946,48193,12056,514,22559,1373,1165,1175,404,1523,34,955,24071,13265
10,119441,33846,85529,43034,20276,240,12996,1461,2061,3113,888,1315,181,1321,14230,23596,95423,22009,73359,39805,15899,201,11531,1172,1363,1441,835,1036,157,1203,12489,17525
11,149018,24978,124035,58619,15968,293,35955,1789,4135,3065,626,3517,113,1036,39473,19147,112640,17189,95452,47872,11513,308,28331,1309,2576,1112,474,1841,114,898,30170,12741
12,145822,30070,115762,70799,11965,757,19154,2616,3344,2814,596,3751,9,1351,22902,14781,114230,21304,92935,59602,8977,544,16095,1962,1824,1317,561,2097,22,1109,18178,10324
13,123255,40234,83045,64772,4519,969,6546,1260,887,986,1369,1700,31,2371,8247,5527,97332,24980,72327,58264,3662,825,5332,700,615,434,1258,1229,32,2118,6567,4137
14,145313,29413,115929,99490,2235,2854,4992,824,926,1129,1880,1450,62,4792,6457,3448,109844,19219,90656,79973,1514,2250,3797,521,418,414,1164,587,33,3449,4385,1906
15,136870,31508,105316,87663,3428,797,6365,422,1601,1719,1305,2042,30,2130,8386,5163,106773,18607,88161,74384,3086,720,5622,358,938,635,1046,1260,32,1795,6871,3799
16,142882,22181,120693,104770,2316,1097,5733,490,808,1444,1740,2229,96,2932,7965,3857,114033,13941,100092,88369,2166,938,4228,471,437,871,1347,1241,54,2336,5473,3091
17,142976,21131,121862,108932,1668,2974,2371,121,724,1277,2531,1263,52,5554,3636,2998,115599,14195,101414,91505,1527,2428,1967,123,423,789,1964,708,20,4406,2679,2336
18,154294,31969,122283,82712,18191,435,9972,958,2607,2530,1004,3691,252,1716,13652,20972,117480,20832,96618,68104,13725,401,8054,739,1409,1446,704,1854,158,1300,9946,15344
19,157911,28635,129256,106199,6624,2670,5629,962,974,2014,1996,1934,166,4833,7575,8806,121439,17705,103724,86505,5526,2154,4593,819,471,974,1602,924,79,3836,5523,6566
20,147990,21781,126212,102581,5884,477,9777,562,1770,1818,993,2296,40,1505,12080,7759,118610,14528,104092,86710,4890,382,7729,538,957,871,759,1195,38,1177,8920,5809
21,124628,59283,65163,38110,12705,158,8447,301,1847,1369,372,1400,366,897,9896,14396,89181,35422,53690,32546,9822,118,7409,185,990,778,355,1099,336,811,8563,10883
