district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,58213,41.06,20.0,22.42,0.22,10.46,0.81,1.73
2,District 2,53973,61.28,6.81,13.2,0.15,13.43,1.16,1.17
3,District 3,48622,43.82,15.89,32.09,0.23,4.01,0.49,1.21
4,District 4,59163,54.23,13.42,19.73,0.51,6.94,0.45,1.35
5,District 5,56353,49.47,12.8,16.93,0.47,14.53,0.35,1.4
6,District 6,39094,14.64,31.81,43.53,1.26,3.81,0.49,1.46
7,District 7,48590,28.96,26.43,33.83,0.23,5.1,1.35,1.28
8,District 8,55798,35.52,11.98,15.84,0.28,29.47,1.45,2.03
9,District 9,54486,45.99,10.98,13.99,0.69,22.82,1.31,1.23
10,District 10,47004,42.88,13.82,28.79,0.38,8.66,0.41,1.74
11,District 11,36488,24.21,17.91,48.34,0.55,5.25,0.52,0.33
12,District 12,49770,39.96,9.64,35.1,0.08,10.93,0.09,1.03
13,District 13,58317,61.77,9.92,15.71,0.17,6.77,0.81,1.05
14,District 14,39411,32.12,12.75,45.55,0.19,5.0,0.35,1.22
15,District 15,42656,37.43,19.45,25.68,0.25,11.08,1.31,1.21
16,District 16,52767,45.18,14.41,20.95,0.18,12.89,1.17,1.61
17,District 17,54420,33.39,25.53,27.68,0.35,7.81,0.76,2.18
18,District 18,45810,37.82,14.01,32.41,0.22,9.88,0.29,1.26
19,District 19,56904,74.75,3.77,14.69,0.34,3.21,0.48,0.73
20,District 20,47831,46.18,11.31,30.6,0.6,7.03,0.67,0.85
21,District 21,56834,59.48,6.6,15.92,0.61,10.88,0.83,1.64
22,District 22,61411,68.76,4.8,13.93,0.39,7.97,0.53,0.93
23,District 23,61706,71.59,4.45,10.0,0.31,9.57,0.43,0.88
24,District 24,50453,62.54,4.39,22.15,1.2,5.35,0.69,0.61
25,District 25,53336,74.33,2.67,12.45,0.81,6.24,0.34,0.91
26,District 26,57861,78.71,1.83,9.75,0.35,5.08,0.76,0.32
27,District 27,53437,65.01,3.11,22.4,0.54,4.29,0.33,0.85
28,District 28,37003,26.53,18.11,47.65,0.25,3.26,0.69,0.8
29,District 29,56367,56.68,11.21,17.66,0.61,9.41,0.44,0.94
30,District 30,46879,56.98,3.08,29.45,0.47,5.61,0.76,0.66
31,District 31,55528,73.42,1.28,16.92,0.52,5.0,0.69,0.27
32,District 32,54316,72.18,1.48,18.09,3.61,1.88,0.25,0.49
33,District 33,54647,75.07,1.81,16.2,3.08,0.97,0.15,0.12
34,District 34,50855,49.85,9.46,27.22,0.16,8.99,0.87,1.05
35,District 35,56842,49.35,8.49,14.69,0.26,20.92,0.88,2.54
36,District 36,66792,68.09,6.79,13.25,0.7,6.08,1.1,0.61
37,District 37,60763,62.2,9.15,15.26,0.35,7.43,0.79,1.48
38,District 38,56291,75.11,2.07,13.6,3.09,1.68,0.12,0.53
39,District 39,59308,83.0,0.61,11.03,1.16,1.73,0.1,0.21
40,District 40,56172,76.25,1.97,14.78,1.31,2.29,0.06,0.45
41,District 41,57396,44.95,9.11,21.35,0.35,17.27,2.59,1.55
42,District 42,53636,43.13,11.32,21.57,0.26,18.88,1.23,0.92
