2012 Statewide General Election Results,,,,
"Note: In cases where the cumulative turnout for a precinct for a race or ballot question is greater than 0 but less than 10, the numbers have been replaced with an asterisk (*) in order to protect the secrecy of a voter's ballot, as required by Nevada Law. As a result, the total for a precinct may be different from what is reported on official documents. ",,,,
,,,,
Jurisdiction,Precinct,Contest,Selection,Votes
Carson City,Precinct 101,President and Vice President of the United States,"GOODE, VIRGIL",5
Carson City,Precinct 101,President and Vice President of the United States,None Of These Candidates,14
Carson City,Precinct 101,President and Vice President of the United States,"JOHNSON, GARY",15
Carson City,Precinct 101,"U.S. Representative in Congress, District 2","HAINES, MICHAEL L.",27
Carson City,Precinct 101,"U.S. Representative in Congress, District 2","Best, Russell",29
Carson City,Precinct 101,United States Senator,"VANDERBEEK, DAVID LORY",44
Carson City,Precinct 101,United States Senator,None Of These Candidates,46
Carson City,Precinct 101,"Supreme Court Justice, Seat F",None Of These Candidates,130
Carson City,Precinct 101,"Supreme Court Justice, Seat C",None Of These Candidates,134
Carson City,Precinct 101,"Supreme Court Justice, Seat G",None Of These Candidates,137
Carson City,Precinct 101,School Trustee District 2,"MOELLENDORF, DONNIE",208
Carson City,Precinct 101,"Justice of the Peace, Dept. 1","BELL, MICHAEL F.",215
Carson City,Precinct 101,"University Board of Regents, District  9","Mackedon, Michon",247
Carson City,Precinct 101,CC 1,Yes,255
Carson City,Precinct 101,Supervisor Ward 2,"JOHNSON, DENNIS E.",283
Carson City,Precinct 101,United States Senator,"Berkley, Shelley",286
Carson City,Precinct 101,"U.S. Representative in Congress, District 2","KOEPNICK, SAMUEL",288
Carson City,Precinct 101,"State Board of Education, District 2","Clontz, Donna",289
Carson City,Precinct 101,School Trustee District 7,"MUELLER, J. ALICE",292
Carson City,Precinct 101,Supervisor Ward 4,"SHIRK, JIM",295
Carson City,Precinct 101,School Trustee District 7,"CACIOPPO, JOE",316
Carson City,Precinct 101,State Question No. 1,Yes,325
Carson City,Precinct 101,President and Vice President of the United States,"Romney, Mitt",326
Carson City,Precinct 101,Supervisor Ward 4,"WALT, MOLLY",343
Carson City,Precinct 101,"State Board of Education, District 2","Cook, Dave",344
Carson City,Precinct 101,Supervisor Ward 2,"BONKOWSKI, BRAD",349
Carson City,Precinct 101,"State Assembly, District 40","Dunn, Rich",355
Carson City,Precinct 101,"State Assembly, District 40","Livermore, Pete",358
Carson City,Precinct 101,United States Senator,"Heller, Dean",365
Carson City,Precinct 101,"U.S. Representative in Congress, District 2","Amodei, Mark E.",375
Carson City,Precinct 101,School Trustee District 2,"CROSSMAN, LAUREL",381
Carson City,Precinct 101,State Question No. 1,No,388
Carson City,Precinct 101,President and Vice President of the United States,"Obama, Barack",389
Carson City,Precinct 101,"University Board of Regents, District  9","Knecht, Ron",396
Carson City,Precinct 101,"Justice of the Peace, Dept. 1","ARMSTRONG, TOM",412
Carson City,Precinct 101,CC 1,No,475
Carson City,Precinct 101,"Supreme Court Justice, Seat G","Saitta, Nancy M.",508
Carson City,Precinct 101,"Supreme Court Justice, Seat C","Cherry, Michael A.",524
Carson City,Precinct 101,"Supreme Court Justice, Seat F","Douglas, Michael L.",529
Carson City,Precinct 103,President and Vice President of the United States,"GOODE, VIRGIL",5
Carson City,Precinct 103,President and Vice President of the United States,None Of These Candidates,5
Carson City,Precinct 103,President and Vice President of the United States,"JOHNSON, GARY",6
Carson City,Precinct 103,"U.S. Representative in Congress, District 2","Best, Russell",13
Carson City,Precinct 103,"U.S. Representative in Congress, District 2","HAINES, MICHAEL L.",15
Carson City,Precinct 103,United States Senator,"VANDERBEEK, DAVID LORY",23
Carson City,Precinct 103,United States Senator,None Of These Candidates,36
Carson City,Precinct 103,"Supreme Court Justice, Seat F",None Of These Candidates,160
Carson City,Precinct 103,"Supreme Court Justice, Seat C",None Of These Candidates,165
Carson City,Precinct 103,"Supreme Court Justice, Seat G",None Of These Candidates,169
Carson City,Precinct 103,"Justice of the Peace, Dept. 1","BELL, MICHAEL F.",188
Carson City,Precinct 103,School Trustee District 2,"MOELLENDORF, DONNIE",255
Carson City,Precinct 103,School Trustee District 7,"MUELLER, J. ALICE",265
Carson City,Precinct 103,"U.S. Representative in Congress, District 2","KOEPNICK, SAMUEL",285
Carson City,Precinct 103,United States Senator,"Berkley, Shelley",311
Carson City,Precinct 103,Supervisor Ward 2,"JOHNSON, DENNIS E.",338
Carson City,Precinct 103,State Question No. 1,Yes,358
Carson City,Precinct 103,CC 1,Yes,362
Carson City,Precinct 103,"State Board of Education, District 2","Clontz, Donna",374
Carson City,Precinct 103,"State Assembly, District 40","Dunn, Rich",382
Carson City,Precinct 103,President and Vice President of the United States,"Obama, Barack",402
Carson City,Precinct 103,"University Board of Regents, District  9","Knecht, Ron",415
Carson City,Precinct 103,Supervisor Ward 4,"SHIRK, JIM",418
Carson City,Precinct 103,"University Board of Regents, District  9","Mackedon, Michon",419
Carson City,Precinct 103,"State Board of Education, District 2","Cook, Dave",422
Carson City,Precinct 103,Supervisor Ward 4,"WALT, MOLLY",425
Carson City,Precinct 103,Supervisor Ward 2,"BONKOWSKI, BRAD",438
Carson City,Precinct 103,School Trustee District 2,"CROSSMAN, LAUREL",447
Carson City,Precinct 103,School Trustee District 7,"CACIOPPO, JOE",481
Carson City,Precinct 103,President and Vice President of the United States,"Romney, Mitt",492
Carson City,Precinct 103,"State Assembly, District 40","Livermore, Pete",492
Carson City,Precinct 103,State Question No. 1,No,527
Carson City,Precinct 103,United States Senator,"Heller, Dean",538
Carson City,Precinct 103,CC 1,No,541
Carson City,Precinct 103,"Justice of the Peace, Dept. 1","ARMSTRONG, TOM",575
Carson City,Precinct 103,"U.S. Representative in Congress, District 2","Amodei, Mark E.",578
Carson City,Precinct 103,"Supreme Court Justice, Seat G","Saitta, Nancy M.",625
Carson City,Precinct 103,"Supreme Court Justice, Seat C","Cherry, Michael A.",632
Carson City,Precinct 103,"Supreme Court Justice, Seat F","Douglas, Michael L.",643
Carson City,Precinct 105,President and Vice President of the United States,"GOODE, VIRGIL",2
Carson City,Precinct 105,"U.S. Representative in Congress, District 2","Best, Russell",7
Carson City,Precinct 105,President and Vice President of the United States,"JOHNSON, GARY",8
Carson City,Precinct 105,President and Vice President of the United States,None Of These Candidates,8
Carson City,Precinct 105,United States Senator,"VANDERBEEK, DAVID LORY",12
Carson City,Precinct 105,"U.S. Representative in Congress, District 2","HAINES, MICHAEL L.",14
Carson City,Precinct 105,United States Senator,None Of These Candidates,20
Carson City,Precinct 105,"Supreme Court Justice, Seat G",None Of These Candidates,143
Carson City,Precinct 105,"Supreme Court Justice, Seat F",None Of These Candidates,144
Carson City,Precinct 105,"Supreme Court Justice, Seat C",None Of These Candidates,147
Carson City,Precinct 105,"Justice of the Peace, Dept. 1","BELL, MICHAEL F.",188
Carson City,Precinct 105,School Trustee District 7,"MUELLER, J. ALICE",218
Carson City,Precinct 105,"U.S. Representative in Congress, District 2","KOEPNICK, SAMUEL",225
Carson City,Precinct 105,School Trustee District 2,"MOELLENDORF, DONNIE",246
Carson City,Precinct 105,United States Senator,"Berkley, Shelley",256
Carson City,Precinct 105,"State Assembly, District 40","Dunn, Rich",288
Carson City,Precinct 105,President and Vice President of the United States,"Obama, Barack",311
Carson City,Precinct 105,CC 1,Yes,339
Carson City,Precinct 105,State Question No. 1,Yes,356
Carson City,Precinct 105,"State Board of Education, District 2","Clontz, Donna",360
Carson City,Precinct 105,"University Board of Regents, District  9","Mackedon, Michon",365
Carson City,Precinct 105,Supervisor Ward 2,"JOHNSON, DENNIS E.",377
Carson City,Precinct 105,Supervisor Ward 4,"WALT, MOLLY",396
Carson City,Precinct 105,Supervisor Ward 2,"BONKOWSKI, BRAD",505
Carson City,Precinct 105,"State Board of Education, District 2","Cook, Dave",506
Carson City,Precinct 105,Supervisor Ward 4,"SHIRK, JIM",509
Carson City,Precinct 105,School Trustee District 2,"CROSSMAN, LAUREL",523
Carson City,Precinct 105,"University Board of Regents, District  9","Knecht, Ron",547
Carson City,Precinct 105,State Question No. 1,No,587
Carson City,Precinct 105,School Trustee District 7,"CACIOPPO, JOE",595
Carson City,Precinct 105,CC 1,No,629
Carson City,Precinct 105,President and Vice President of the United States,"Romney, Mitt",647
Carson City,Precinct 105,"State Assembly, District 40","Livermore, Pete",655
Carson City,Precinct 105,"Justice of the Peace, Dept. 1","ARMSTRONG, TOM",680
Carson City,Precinct 105,United States Senator,"Heller, Dean",685
Carson City,Precinct 105,"Supreme Court Justice, Seat G","Saitta, Nancy M.",709
Carson City,Precinct 105,"Supreme Court Justice, Seat C","Cherry, Michael A.",713
Carson City,Precinct 105,"Supreme Court Justice, Seat F","Douglas, Michael L.",718
Carson City,Precinct 105,"U.S. Representative in Congress, District 2","Amodei, Mark E.",722
Carson City,Precinct 107,President and Vice President of the United States,"GOODE, VIRGIL",3
Carson City,Precinct 107,President and Vice President of the United States,"JOHNSON, GARY",9
Carson City,Precinct 107,President and Vice President of the United States,None Of These Candidates,11
Carson City,Precinct 107,"U.S. Representative in Congress, District 2","Best, Russell",15
Carson City,Precinct 107,"U.S. Representative in Congress, District 2","HAINES, MICHAEL L.",22
Carson City,Precinct 107,United States Senator,"VANDERBEEK, DAVID LORY",33
Carson City,Precinct 107,United States Senator,None Of These Candidates,39
Carson City,Precinct 107,"Supreme Court Justice, Seat F",None Of These Candidates,181
Carson City,Precinct 107,"Supreme Court Justice, Seat C",None Of These Candidates,182
Carson City,Precinct 107,"Supreme Court Justice, Seat G",None Of These Candidates,203
Carson City,Precinct 107,"Justice of the Peace, Dept. 1","BELL, MICHAEL F.",244
Carson City,Precinct 107,"U.S. Representative in Congress, District 2","KOEPNICK, SAMUEL",267
Carson City,Precinct 107,School Trustee District 2,"MOELLENDORF, DONNIE",272
Carson City,Precinct 107,United States Senator,"Berkley, Shelley",274
Carson City,Precinct 107,School Trustee District 7,"MUELLER, J. ALICE",291
Carson City,Precinct 107,"State Assembly, District 40","Dunn, Rich",318
Carson City,Precinct 107,"State Board of Education, District 2","Clontz, Donna",321
Carson City,Precinct 107,CC 1,Yes,346
Carson City,Precinct 107,"University Board of Regents, District  9","Mackedon, Michon",372
Carson City,Precinct 107,President and Vice President of the United States,"Obama, Barack",387
Carson City,Precinct 107,State Question No. 1,Yes,387
Carson City,Precinct 107,Supervisor Ward 2,"JOHNSON, DENNIS E.",398
Carson City,Precinct 107,Supervisor Ward 4,"WALT, MOLLY",407
Carson City,Precinct 107,Supervisor Ward 2,"BONKOWSKI, BRAD",499
Carson City,Precinct 107,Supervisor Ward 4,"SHIRK, JIM",511
Carson City,Precinct 107,School Trustee District 2,"CROSSMAN, LAUREL",520
Carson City,Precinct 107,School Trustee District 7,"CACIOPPO, JOE",529
Carson City,Precinct 107,"University Board of Regents, District  9","Knecht, Ron",546
Carson City,Precinct 107,"State Board of Education, District 2","Cook, Dave",554
Carson City,Precinct 107,State Question No. 1,No,616
Carson City,Precinct 107,"Justice of the Peace, Dept. 1","ARMSTRONG, TOM",617
Carson City,Precinct 107,President and Vice President of the United States,"Romney, Mitt",638
Carson City,Precinct 107,CC 1,No,684
Carson City,Precinct 107,"State Assembly, District 40","Livermore, Pete",688
Carson City,Precinct 107,"Supreme Court Justice, Seat G","Saitta, Nancy M.",688
Carson City,Precinct 107,United States Senator,"Heller, Dean",695
Carson City,Precinct 107,"U.S. Representative in Congress, District 2","Amodei, Mark E.",714
Carson City,Precinct 107,"Supreme Court Justice, Seat C","Cherry, Michael A.",717
Carson City,Precinct 107,"Supreme Court Justice, Seat F","Douglas, Michael L.",724
Carson City,Precinct 109,President and Vice President of the United States,"GOODE, VIRGIL",2
