county_name,county_norm,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,change_2020_2025,change_2024_2025,change_2020_2025_pct,change_2024_2025_pct
Nevada,NEVADA,3116851.0,3148472.0,3177672.0,3211077.0,3253543.0,3282188.0,165337.0,28645.0,5.3046167429883555,0.8804248168842397
Churchill County,CHURCHILL,25570.0,25663.0,25799.0,25852.0,25955.0,25851.0,281.0,-104.0,1.0989440750879937,-0.40069350799460607
Clark County,CLARK,2275833.0,2296793.0,2323145.0,2351008.0,2385746.0,2407226.0,131393.0,21480.0,5.773402529974739,0.9003473127482975
Douglas County,DOUGLAS,49525.0,50014.0,49588.0,49407.0,49591.0,50111.0,586.0,520.0,1.1832407874810702,1.0485773628279325
Elko County,ELKO,53677.0,53879.0,54075.0,54566.0,54686.0,54815.0,1138.0,129.0,2.1200886785774165,0.2358921844713455
Esmeralda County,ESMERALDA,735.0,744.0,751.0,737.0,739.0,729.0,-6.0,-10.0,-0.8163265306122449,-1.3531799729364005
Eureka County,EUREKA,1852.0,1906.0,1858.0,1904.0,1917.0,1867.0,15.0,-50.0,0.8099352051835854,-2.608242044861763
Humboldt County,HUMBOLDT,17270.0,17631.0,17258.0,17176.0,17178.0,17267.0,-3.0,89.0,-0.017371163867979152,0.5181045523343811
Lander County,LANDER,5723.0,5758.0,5765.0,5804.0,5775.0,5872.0,149.0,97.0,2.6035296173335665,1.6796536796536796
Lincoln County,LINCOLN,4435.0,4397.0,4440.0,4441.0,4376.0,4320.0,-115.0,-56.0,-2.593010146561443,-1.2797074954296161
Lyon County,LYON,59464.0,60961.0,61541.0,62658.0,63776.0,65088.0,5624.0,1312.0,9.457823220772232,2.0572002007024586
Mineral County,MINERAL,4554.0,4622.0,4542.0,4520.0,4481.0,4407.0,-147.0,-74.0,-3.227931488801054,-1.6514170943985718
Nye County,NYE,51986.0,53351.0,54815.0,55914.0,56361.0,57336.0,5350.0,975.0,10.29123225483784,1.7299196252727949
Pershing County,PERSHING,6635.0,6435.0,6439.0,6368.0,6465.0,6421.0,-214.0,-44.0,-3.225320271288621,-0.6805877803557618
Storey County,STOREY,4108.0,4151.0,4176.0,4203.0,4181.0,4260.0,152.0,79.0,3.700097370983447,1.8895001195886152
Washoe County,WASHOE,487728.0,494481.0,496521.0,499599.0,505384.0,509386.0,21658.0,4002.0,4.440589836958305,0.7918731103477751
White Pine County,WHITE PINE,9068.0,8851.0,8736.0,8553.0,8632.0,8661.0,-407.0,29.0,-4.48831054256727,0.3359592215013902
Carson City,CARSON CITY,58688.0,58835.0,58223.0,58367.0,58300.0,58571.0,-117.0,271.0,-0.19935932388222463,0.4648370497427101
